syntax_edge_id	attachment_edge_id	ayah_ref	source_word_id	target_word_id	prep_word_id	source_morpheme_id	target_morpheme_id	prep_morpheme_id	source_qac_ref	target_qac_ref	prep_qac_ref	source_attachment_unit_id	target_attachment_unit_id	prep_attachment_unit_id	source_position	target_position	prep_position	relation	status	confidence	source_part	target_part	source_form_tag	target_form_tag	object_type	prep_base	binding_status	evidence	reason	source_pointer
sx-58_0-00001	ae:v3:s001:001:pass1:attach:a1	58:0	w-s058-a000-w001	w-s058-a000-w001	w-s058-a000-w001	m-w-s058-a000-w001-01	m-w-s058-a000-w001-02	m-w-s058-a000-w001-01	1:1:1:1	1:1:1:2	1:1:1:1	q:1:1:1	q:1:1:2	q:1:1:1	1	2	1	prep_complement	strongly_licensed	high			PREP	NOUN_ABSTRACT		بـ	position_morpheme_aligned	case_government;formulaic_construction	سْمِ is governed by the prefixed بِ in the formula بِسْمِ.	resources/attachments.tsv:2
sx-58_0-00002	ae:v3:s001:001:pass1:attach:a2	58:0	w-s058-a000-w001	w-s058-a000-w002		m-w-s058-a000-w001-02	m-w-s058-a000-w002-01		1:1:1:2	1:1:2:1		q:1:1:2	q:1:1:3		2	3		idafa	syntactically_forced	high			NOUN_ABSTRACT	NOUN_PROP			position_morpheme_aligned	case_government;local_syntax	ٱللَّهِ is the genitive muḍāf ilayhi of سْمِ.	resources/attachments.tsv:3
sx-58_0-00003	ae:v3:s001:001:pass1:attach:a3	58:0	w-s058-a000-w002	w-s058-a000-w003		m-w-s058-a000-w002-01	m-w-s058-a000-w003-02		1:1:2:1	1:1:3:2		q:1:1:3	q:1:1:4		3	4		adjective	strongly_licensed	high			NOUN_PROP	NOUN_PROP			position_morpheme_aligned	agreement;local_syntax	ٱلرَّحْمَٰنِ follows ٱللَّهِ in genitive definiteness as an adjectival divine epithet.	resources/attachments.tsv:4
sx-58_0-00004	ae:v3:s001:001:pass1:attach:a4	58:0	w-s058-a000-w002	w-s058-a000-w003		m-w-s058-a000-w002-01	m-w-s058-a000-w003-02		1:1:2:1	1:1:3:2		q:1:1:3	q:1:1:5		3	5		adjective	strongly_licensed	high			NOUN_PROP	NOUN_PROP			fallback_morpheme_aligned	agreement;local_syntax	ٱلرَّحِيمِ follows ٱللَّهِ in the same genitive adjectival series.	resources/attachments.tsv:5
sx-58_1-00005	ae:v3:s058:001:pass1:attach:a1	58:1	w-s058-a001-w002	w-s058-a001-w003		m-w-s058-a001-w002-01	m-w-s058-a001-w003-01		58:1:2:1	58:1:3:1		q:58:1:2	q:58:1:3		2	3		subject	syntactically_forced	high			PV	NOUN_PROP			position_morpheme_aligned	agreement;word_order	ٱللَّهُ is nominative after سَمِعَ and is its explicit subject.	resources/attachments.tsv:52352
sx-58_1-00006	ae:v3:s058:001:pass1:attach:a2	58:1	w-s058-a001-w002	w-s058-a001-w004		m-w-s058-a001-w002-01	m-w-s058-a001-w004-01		58:1:2:1	58:1:4:1		q:58:1:2	q:58:1:4		2	4		direct_object	syntactically_forced	high			PV	GERUND	explicit		position_morpheme_aligned	case_government;local_syntax	قَوْلَ is the accusative thing heard by سَمِعَ.	resources/attachments.tsv:52353
sx-58_1-00007	ae:v3:s058:001:pass1:attach:a3	58:1	w-s058-a001-w004	w-s058-a001-w005		m-w-s058-a001-w004-01	m-w-s058-a001-w005-01		58:1:4:1	58:1:5:1		q:58:1:4	q:58:1:5		4	5		idafa	syntactically_forced	high			GERUND	REL_PRON			position_morpheme_aligned	morphology;case_government	ٱلَّتِى is the genitive complement of the construct قَوْلَ.	resources/attachments.tsv:52354
sx-58_1-00008	ae:v3:s058:001:pass1:attach:a4	58:1	w-s058-a001-w006	w-s058-a001-w006		m-w-s058-a001-w006-01	m-w-s058-a001-w006-02		58:1:6:1	58:1:6:2		q:58:1:6	q:58:1:6		6	6		direct_object	syntactically_forced	high		object_suffix	IV		clitic		position_morpheme_aligned	morphology;local_syntax	The suffix كَ in تُجَٰدِلُكَ is the object of the verbal stem تُجَٰدِلُ.	resources/attachments.tsv:52355
sx-58_1-00009	ae:v3:s058:001:pass1:attach:a5	58:1	w-s058-a001-w006	w-s058-a001-w008	w-s058-a001-w007	m-w-s058-a001-w006-01	m-w-s058-a001-w008-01	m-w-s058-a001-w007-01	58:1:6:1	58:1:8:1	58:1:7:1	q:58:1:6	q:58:1:8	q:58:1:7	6	8	7	prep_complement	syntactically_forced	high			IV	NOUN_CONCRETE		فِي	position_morpheme_aligned	case_government;local_syntax	زَوْجِهَا is governed by فِى as the matter of تُجَٰدِلُكَ.	resources/attachments.tsv:52356
sx-58_1-00010	ae:v3:s058:001:pass1:attach:a6	58:1	w-s058-a001-w006	w-s058-a001-w009		m-w-s058-a001-w006-01	m-w-s058-a001-w009-02		58:1:6:1	58:1:9:2		q:58:1:6	q:58:1:10		6	10		conjoined	strongly_licensed	high			IV	IV			position_morpheme_aligned	parallelism;local_syntax	تَشْتَكِىٓ is coordinated with تُجَٰدِلُكَ as another action of the same woman.	resources/attachments.tsv:52357
