source_token_id	ayah_ref	source_token_index	surface_ar	word_ids	qac_word_refs	binding_status
t-s039-a000-w001	39:0	1	بِسْمِ	w-s039-a000-w001	1:1:1	one_to_one
t-s039-a000-w002	39:0	2	ٱللَّهِ	w-s039-a000-w002	1:1:2	one_to_one
t-s039-a000-w003	39:0	3	ٱلرَّحْمَٰنِ	w-s039-a000-w003	1:1:3	one_to_one
t-s039-a000-w004	39:0	4	ٱلرَّحِيمِ	w-s039-a000-w004	1:1:4	one_to_one
t-s039-a001-w001	39:1	1	تَنزِيلُ	w-s039-a001-w001	39:1:1	one_to_one
t-s039-a001-w002	39:1	2	ٱلْكِتَٰبِ	w-s039-a001-w002	39:1:2	one_to_one
t-s039-a001-w003	39:1	3	مِنَ	w-s039-a001-w003	39:1:3	one_to_one
t-s039-a001-w004	39:1	4	ٱللَّهِ	w-s039-a001-w004	39:1:4	one_to_one
t-s039-a001-w005	39:1	5	ٱلْعَزِيزِ	w-s039-a001-w005	39:1:5	one_to_one
t-s039-a001-w006	39:1	6	ٱلْحَكِيمِ	w-s039-a001-w006	39:1:6	one_to_one
t-s039-a002-w001	39:2	1	إِنَّآ	w-s039-a002-w001	39:2:1	one_to_one
t-s039-a002-w002	39:2	2	أَنزَلْنَآ	w-s039-a002-w002	39:2:2	one_to_one
t-s039-a002-w003	39:2	3	إِلَيْكَ	w-s039-a002-w003	39:2:3	one_to_one
t-s039-a002-w004	39:2	4	ٱلْكِتَٰبَ	w-s039-a002-w004	39:2:4	one_to_one
t-s039-a002-w005	39:2	5	بِٱلْحَقِّ	w-s039-a002-w005	39:2:5	one_to_one
t-s039-a002-w006	39:2	6	فَٱعْبُدِ	w-s039-a002-w006	39:2:6	one_to_one
t-s039-a002-w007	39:2	7	ٱللَّهَ	w-s039-a002-w007	39:2:7	one_to_one
t-s039-a002-w008	39:2	8	مُخْلِصًۭا	w-s039-a002-w008	39:2:8	one_to_one
t-s039-a002-w009	39:2	9	لَّهُ	w-s039-a002-w009	39:2:9	one_to_one
t-s039-a002-w010	39:2	10	ٱلدِّينَ	w-s039-a002-w010	39:2:10	one_to_one
t-s039-a003-w001	39:3	1	أَلَا	w-s039-a003-w001	39:3:1	one_to_one
t-s039-a003-w002	39:3	2	لِلَّهِ	w-s039-a003-w002	39:3:2	one_to_one
t-s039-a003-w003	39:3	3	ٱلدِّينُ	w-s039-a003-w003	39:3:3	one_to_one
t-s039-a003-w004	39:3	4	ٱلْخَالِصُ	w-s039-a003-w004	39:3:4	one_to_one
t-s039-a003-w005	39:3	5	وَٱلَّذِينَ	w-s039-a003-w005	39:3:5	one_to_one
t-s039-a003-w006	39:3	6	ٱتَّخَذُوا۟	w-s039-a003-w006	39:3:6	one_to_one
t-s039-a003-w007	39:3	7	مِن	w-s039-a003-w007	39:3:7	one_to_one
t-s039-a003-w008	39:3	8	دُونِهِۦٓ	w-s039-a003-w008	39:3:8	one_to_one
t-s039-a003-w009	39:3	9	أَوْلِيَآءَ	w-s039-a003-w009	39:3:9	one_to_one
t-s039-a003-w010	39:3	10	مَا	w-s039-a003-w010	39:3:10	one_to_one
t-s039-a003-w011	39:3	11	نَعْبُدُهُمْ	w-s039-a003-w011	39:3:11	one_to_one
t-s039-a003-w012	39:3	12	إِلَّا	w-s039-a003-w012	39:3:12	one_to_one
