word_id	morpheme_ids	root_id	binding_status
w-s020-a000-w001	m-w-s020-a000-w001-02	root_000745	resolved_source_exact
w-s020-a000-w002	m-w-s020-a000-w002-01	root_000047	resolved_normalized_exact
w-s020-a000-w003	m-w-s020-a000-w003-02	root_000552	resolved_source_exact
w-s020-a000-w004	m-w-s020-a000-w004-02	root_000552	resolved_source_exact
w-s020-a002-w002	m-w-s020-a002-w002-01	root_001492	resolved_source_exact
w-s020-a002-w004	m-w-s020-a002-w004-02	root_001210	resolved_source_exact
w-s020-a002-w005	m-w-s020-a002-w005-02	root_000808	resolved_source_exact
w-s020-a003-w002	m-w-s020-a003-w002-01	root_000516	resolved_source_exact
w-s020-a003-w004	m-w-s020-a003-w004-01	root_000413	resolved_source_exact
w-s020-a004-w001	m-w-s020-a004-w001-01	root_001492	resolved_source_exact
w-s020-a004-w003	m-w-s020-a004-w003-01	root_000434	resolved_source_exact
w-s020-a004-w004	m-w-s020-a004-w004-02	root_000025	resolved_normalized_exact
w-s020-a004-w005	m-w-s020-a004-w005-03	root_000745	resolved_source_exact
w-s020-a004-w006	m-w-s020-a004-w006-02	root_001042	resolved_source_exact
w-s020-a005-w001	m-w-s020-a005-w001-02	root_000552	resolved_source_exact
w-s020-a005-w003	m-w-s020-a005-w003-02	root_001000	resolved_source_exact
w-s020-a005-w004	m-w-s020-a005-w004-01	root_000766	resolved_source_exact
w-s020-a006-w004	m-w-s020-a006-w004-02	root_000745	resolved_source_exact
w-s020-a006-w007	m-w-s020-a006-w007-02	root_000025	resolved_normalized_exact
w-s020-a006-w009	m-w-s020-a006-w009-01	root_000170	resolved_source_exact
w-s020-a006-w011	m-w-s020-a006-w011-01	root_000177	resolved_source_exact
w-s020-a006-w012	m-w-s020-a006-w012-02	root_000198	resolved_source_exact
w-s020-a007-w002	m-w-s020-a007-w002-01	root_000269	resolved_source_exact
w-s020-a007-w003	m-w-s020-a007-w003-03	root_001272	resolved_source_exact
w-s020-a007-w005	m-w-s020-a007-w005-01	root_001040	resolved_source_exact
w-s020-a007-w006	m-w-s020-a007-w006-02	root_000697	resolved_source_exact
w-s020-a007-w007	m-w-s020-a007-w007-02	root_000428	resolved_source_exact
w-s020-a008-w001	m-w-s020-a008-w001-01	root_000047	resolved_normalized_exact
w-s020-a008-w003	m-w-s020-a008-w003-01	root_000047	resolved_normalized_exact
w-s020-a008-w007	m-w-s020-a008-w007-02	root_000745	resolved_source_exact
w-s020-a008-w008	m-w-s020-a008-w008-02	root_000323	resolved_source_exact
w-s020-a009-w002	m-w-s020-a009-w002-01	root_000009	resolved_normalized_exact
w-s020-a009-w003	m-w-s020-a009-w003-01	root_000299	resolved_source_exact
w-s020-a010-w002	m-w-s020-a010-w002-01	root_000531	resolved_normalized_exact
w-s020-a010-w003	m-w-s020-a010-w003-01	root_001564	resolved_source_exact
w-s020-a010-w004	m-w-s020-a010-w004-02	root_001272	resolved_source_exact
w-s020-a010-w005	m-w-s020-a010-w005-02	root_000064	resolved_normalized_exact
w-s020-a010-w006	m-w-s020-a010-w006-01	root_001437	resolved_source_exact
