edge_id	source_position	target_position	edge_type	direction	confidence	exact_surface_span	evidence	reason
ae:v3:s114:001:pass1:attach:a1	q:114:1:1	q:114:1:2	quoted_complement	head-to-dependent	high	قُلْ | أَعُوذُ	local_syntax	The utterance أَعُوذُ بِرَبِّ ٱلنَّاسِ is the quoted content governed by قُلْ.
ae:v3:s114:001:pass1:attach:a2	q:114:1:2	q:114:1:3	prep_complement	head-to-dependent	high	أَعُوذُ | بِرَبِّ	case_government;local_syntax	بِ in بِرَبِّ marks رَبِّ as the prepositional complement of أَعُوذُ.
ae:v3:s114:001:pass1:attach:a3	q:114:1:3	q:114:1:4	idafa	head-to-dependent	high	بِرَبِّ | النَّاسِ	case_government;local_syntax	ٱلنَّاسِ completes the construct رَبِّ as its genitive complement.
ae:v3:s114:002:pass1:attach:a1	q:114:2:1	q:114:2:2	idafa	head-to-dependent	high	مَلِكِ | النَّاسِ	case_government;local_syntax	ٱلنَّاسِ completes the construct مَلِكِ as its genitive complement.
ae:v3:s114:003:pass1:attach:a1	q:114:3:1	q:114:3:2	idafa	head-to-dependent	high	إِلَهِ | النَّاسِ	case_government;local_syntax	ٱلنَّاسِ completes the construct إِلَٰهِ as its genitive complement.
ae:v3:s114:004:pass1:attach:a1	q:114:4:2	q:114:4:3	idafa	head-to-dependent	high	شَرِّ | الْوَسْوَاسِ	case_government;local_syntax	ٱلْوَسْوَاسِ completes the construct شَرِّ as its genitive complement.
ae:v3:s114:004:pass1:attach:a2	q:114:4:3	q:114:4:4	adjective	head-to-dependent	high	الْوَسْوَاسِ | الْخَنَّاسِ	agreement;local_syntax	ٱلْخَنَّاسِ matches ٱلْوَسْوَاسِ as a definite genitive descriptive epithet.
ae:v3:s114:005:pass1:attach:a1	q:114:5:2	q:114:5:4	prep_complement	head-to-dependent	high	يُوَسْوِسُ | صُدُورِ	case_government;local_syntax	صُدُورِ is governed by فِى as the locative complement of يُوَسْوِسُ.
ae:v3:s114:005:pass1:attach:a2	q:114:5:4	q:114:5:5	idafa	head-to-dependent	high	صُدُورِ | النَّاسِ	case_government;local_syntax	ٱلنَّاسِ completes the construct صُدُورِ as its genitive complement.
ae:v3:s114:006:pass1:attach:a1	q:114:6:2	q:114:6:4	conjoined	head-to-dependent	high	الْجِنَّةِ | وَالنَّاسِ	parallelism;case_government	وَٱلنَّاسِ is coordinated with ٱلْجِنَّةِ as the second genitive member after مِنَ.
