syntax_edge_id	attachment_edge_id	ayah_ref	source_word_id	target_word_id	prep_word_id	source_morpheme_id	target_morpheme_id	prep_morpheme_id	source_qac_ref	target_qac_ref	prep_qac_ref	source_attachment_unit_id	target_attachment_unit_id	prep_attachment_unit_id	source_position	target_position	prep_position	relation	status	confidence	source_part	target_part	source_form_tag	target_form_tag	object_type	prep_base	binding_status	evidence	reason	source_pointer
sx-82_0-00001	ae:v3:s001:001:pass1:attach:a1	82:0	w-s082-a000-w001	w-s082-a000-w001	w-s082-a000-w001	m-w-s082-a000-w001-01	m-w-s082-a000-w001-02	m-w-s082-a000-w001-01	1:1:1:1	1:1:1:2	1:1:1:1	q:1:1:1	q:1:1:2	q:1:1:1	1	2	1	prep_complement	strongly_licensed	high			PREP	NOUN_ABSTRACT		بـ	position_morpheme_aligned	case_government;formulaic_construction	سْمِ is governed by the prefixed بِ in the formula بِسْمِ.	resources/attachments.tsv:2
sx-82_0-00002	ae:v3:s001:001:pass1:attach:a2	82:0	w-s082-a000-w001	w-s082-a000-w002		m-w-s082-a000-w001-02	m-w-s082-a000-w002-01		1:1:1:2	1:1:2:1		q:1:1:2	q:1:1:3		2	3		idafa	syntactically_forced	high			NOUN_ABSTRACT	NOUN_PROP			position_morpheme_aligned	case_government;local_syntax	ٱللَّهِ is the genitive muḍāf ilayhi of سْمِ.	resources/attachments.tsv:3
sx-82_0-00003	ae:v3:s001:001:pass1:attach:a3	82:0	w-s082-a000-w002	w-s082-a000-w003		m-w-s082-a000-w002-01	m-w-s082-a000-w003-02		1:1:2:1	1:1:3:2		q:1:1:3	q:1:1:4		3	4		adjective	strongly_licensed	high			NOUN_PROP	NOUN_PROP			position_morpheme_aligned	agreement;local_syntax	ٱلرَّحْمَٰنِ follows ٱللَّهِ in genitive definiteness as an adjectival divine epithet.	resources/attachments.tsv:4
sx-82_0-00004	ae:v3:s001:001:pass1:attach:a4	82:0	w-s082-a000-w002	w-s082-a000-w003		m-w-s082-a000-w002-01	m-w-s082-a000-w003-02		1:1:2:1	1:1:3:2		q:1:1:3	q:1:1:5		3	5		adjective	strongly_licensed	high			NOUN_PROP	NOUN_PROP			fallback_morpheme_aligned	agreement;local_syntax	ٱلرَّحِيمِ follows ٱللَّهِ in the same genitive adjectival series.	resources/attachments.tsv:5
sx-82_1-00005	ae:v3:s082:001:pass1:attach:a1	82:1	w-s082-a001-w003	w-s082-a001-w001		m-w-s082-a001-w003-01	m-w-s082-a001-w001-01		82:1:3:1	82:1:1:1		q:82:1:3	q:82:1:1		3	1		adverbial	strongly_licensed	high			PV	ADV			position_morpheme_aligned	local_syntax	إِذَا gives the temporal frame for ٱنفَطَرَتْ.	resources/attachments.tsv:57119
sx-82_1-00006	ae:v3:s082:001:pass1:attach:a2	82:1	w-s082-a001-w003	w-s082-a001-w002		m-w-s082-a001-w003-01	m-w-s082-a001-w002-02		82:1:3:1	82:1:2:2		q:82:1:3	q:82:1:2		3	2		subject	syntactically_forced	high			PV	NOUN_CONCRETE			position_morpheme_aligned	agreement;word_order	ٱلسَّمَآءُ is nominative and agrees with the feminine verb ٱنفَطَرَتْ.	resources/attachments.tsv:57120
sx-82_2-00007	ae:v3:s082:002:pass1:attach:a1	82:2	w-s082-a002-w003	w-s082-a002-w001		m-w-s082-a002-w003-01	m-w-s082-a002-w001-02		82:2:3:1	82:2:1:2		q:82:2:4	q:82:2:2		4	2		adverbial	strongly_licensed	high			PV	ADV			position_morpheme_aligned	local_syntax	إِذَا frames the time of ٱنتَثَرَتْ.	resources/attachments.tsv:57121
sx-82_2-00008	ae:v3:s082:002:pass1:attach:a2	82:2	w-s082-a002-w003	w-s082-a002-w002		m-w-s082-a002-w003-01	m-w-s082-a002-w002-02		82:2:3:1	82:2:2:2		q:82:2:4	q:82:2:3		4	3		subject	syntactically_forced	high			PV	NOUN_CONCRETE			position_morpheme_aligned	agreement;word_order	ٱلْكَوَاكِبُ is the nominative subject of ٱنتَثَرَتْ.	resources/attachments.tsv:57122
sx-82_3-00009	ae:v3:s082:003:pass1:attach:a1	82:3	w-s082-a003-w003	w-s082-a003-w001		m-w-s082-a003-w003-01	m-w-s082-a003-w001-02		82:3:3:1	82:3:1:2		q:82:3:4	q:82:3:2		4	2		adverbial	strongly_licensed	high			PV_PASS	ADV			position_morpheme_aligned	local_syntax	إِذَا supplies the temporal frame for فُجِّرَتْ.	resources/attachments.tsv:57123
sx-82_3-00010	ae:v3:s082:003:pass1:attach:a2	82:3	w-s082-a003-w003	w-s082-a003-w002		m-w-s082-a003-w003-01	m-w-s082-a003-w002-02		82:3:3:1	82:3:2:2		q:82:3:4	q:82:3:3		4	3		subject	syntactically_forced	high			PV_PASS	NOUN_CONCRETE			position_morpheme_aligned	agreement;word_order	ٱلْبِحَارُ is the nominative passive subject of فُجِّرَتْ.	resources/attachments.tsv:57124
