source_token_id	ayah_ref	source_token_index	surface_ar	word_ids	qac_word_refs	binding_status
t-s106-a000-w001	106:0	1	بِسْمِ	w-s106-a000-w001	1:1:1	one_to_one
t-s106-a000-w002	106:0	2	ٱللَّهِ	w-s106-a000-w002	1:1:2	one_to_one
t-s106-a000-w003	106:0	3	ٱلرَّحْمَٰنِ	w-s106-a000-w003	1:1:3	one_to_one
t-s106-a000-w004	106:0	4	ٱلرَّحِيمِ	w-s106-a000-w004	1:1:4	one_to_one
t-s106-a001-w001	106:1	1	لِإِيلَٰفِ	w-s106-a001-w001	106:1:1	one_to_one
t-s106-a001-w002	106:1	2	قُرَيْشٍ	w-s106-a001-w002	106:1:2	one_to_one
t-s106-a002-w001	106:2	1	إِۦلَٰفِهِمْ	w-s106-a002-w001	106:2:1	one_to_one
t-s106-a002-w002	106:2	2	رِحْلَةَ	w-s106-a002-w002	106:2:2	one_to_one
t-s106-a002-w003	106:2	3	ٱلشِّتَآءِ	w-s106-a002-w003	106:2:3	one_to_one
t-s106-a002-w004	106:2	4	وَٱلصَّيْفِ	w-s106-a002-w004	106:2:4	one_to_one
t-s106-a003-w001	106:3	1	فَلْيَعْبُدُوا۟	w-s106-a003-w001	106:3:1	one_to_one
t-s106-a003-w002	106:3	2	رَبَّ	w-s106-a003-w002	106:3:2	one_to_one
t-s106-a003-w003	106:3	3	هَٰذَا	w-s106-a003-w003	106:3:3	one_to_one
t-s106-a003-w004	106:3	4	ٱلْبَيْتِ	w-s106-a003-w004	106:3:4	one_to_one
t-s106-a004-w001	106:4	1	ٱلَّذِىٓ	w-s106-a004-w001	106:4:1	one_to_one
t-s106-a004-w002	106:4	2	أَطْعَمَهُم	w-s106-a004-w002	106:4:2	one_to_one
t-s106-a004-w003	106:4	3	مِّن	w-s106-a004-w003	106:4:3	one_to_one
t-s106-a004-w004	106:4	4	جُوعٍۢ	w-s106-a004-w004	106:4:4	one_to_one
t-s106-a004-w005	106:4	5	وَءَامَنَهُم	w-s106-a004-w005	106:4:5	one_to_one
t-s106-a004-w006	106:4	6	مِّنْ	w-s106-a004-w006	106:4:6	one_to_one
t-s106-a004-w007	106:4	7	خَوْفٍۭ	w-s106-a004-w007	106:4:7	one_to_one
