cooccurrence_id	ayah_ref	left_word_id	right_word_id	left_root	right_root	word_distance	root_distance_min	root_distance_max	local_pair_count	corpus_window_count	corpus_pair_count	source_pair_id
co-17_0-00001	17:0	w-s017-a000-w002	w-s017-a000-w003	ء ل ه	ر ح م	1	1	2	2	130	254	intra_ayah:1:1:root:1
co-17_0-00002	17:0	w-s017-a000-w002	w-s017-a000-w004	ء ل ه	ر ح م	2	1	2	2	130	254	intra_ayah:1:1:root:1
co-17_0-00003	17:0	w-s017-a000-w002	w-s017-a000-w001	ء ل ه	س م و	1	1	1	1	185	319	intra_ayah:1:1:root:2
co-17_0-00004	17:0	w-s017-a000-w003	w-s017-a000-w001	ر ح م	س م و	2	2	3	2	18	21	intra_ayah:1:1:root:3
co-17_0-00005	17:0	w-s017-a000-w004	w-s017-a000-w001	ر ح م	س م و	3	2	3	2	18	21	intra_ayah:1:1:root:3
co-17_1-00006	17:1	w-s017-a001-w017	w-s017-a001-w013	ء ي ي	ب ر ك	4	3	3	1	3	3	intra_ayah:17:1:root:1
co-17_1-00007	17:1	w-s017-a001-w017	w-s017-a001-w004	ء ي ي	ع ب د	13	9	9	1	8	8	intra_ayah:17:1:root:10
co-17_1-00008	17:1	w-s017-a001-w017	w-s017-a001-w011	ء ي ي	ق ص و	6	4	4	1	1	1	intra_ayah:17:1:root:11
co-17_1-00009	17:1	w-s017-a001-w017	w-s017-a001-w005	ء ي ي	ل ي ل	12	8	8	1	17	25	intra_ayah:17:1:root:12
co-17_1-00010	17:1	w-s017-a001-w013	w-s017-a001-w021	ب ر ك	ب ص ر	8	5	5	1	1	1	intra_ayah:17:1:root:13
co-17_1-00011	17:1	w-s017-a001-w013	w-s017-a001-w008	ب ر ك	ح ر م	5	3	3	1	1	1	intra_ayah:17:1:root:14
co-17_1-00012	17:1	w-s017-a001-w013	w-s017-a001-w014	ب ر ك	ح و ل	1	1	1	1	3	3	intra_ayah:17:1:root:15
co-17_1-00013	17:1	w-s017-a001-w013	w-s017-a001-w015	ب ر ك	ر ء ي	2	2	2	1	1	1	intra_ayah:17:1:root:16
co-17_1-00014	17:1	w-s017-a001-w013	w-s017-a001-w001	ب ر ك	س ب ح	12	8	8	1	2	2	intra_ayah:17:1:root:17
co-17_1-00015	17:1	w-s017-a001-w013	w-s017-a001-w007	ب ر ك	س ج د	6	2	4	2	1	2	intra_ayah:17:1:root:18
co-17_1-00016	17:1	w-s017-a001-w013	w-s017-a001-w010	ب ر ك	س ج د	3	2	4	2	1	2	intra_ayah:17:1:root:18
co-17_1-00017	17:1	w-s017-a001-w013	w-s017-a001-w003	ب ر ك	س ر ي	10	7	7	1	1	1	intra_ayah:17:1:root:19
co-17_1-00018	17:1	w-s017-a001-w017	w-s017-a001-w021	ء ي ي	ب ص ر	4	2	2	1	12	16	intra_ayah:17:1:root:2
co-17_1-00019	17:1	w-s017-a001-w013	w-s017-a001-w020	ب ر ك	س م ع	7	4	4	1	1	1	intra_ayah:17:1:root:20
