edge_id	source_position	target_position	edge_type	direction	confidence	exact_surface_span	evidence	reason
ae:v3:s110:001:pass1:attach:a1	q:110:1:2	q:110:1:1	adverbial	head-to-dependent	high	جَاءَ | إِذَا	local_syntax;word_order	إِذَا sets the temporal condition for جَآءَ.
ae:v3:s110:001:pass1:attach:a2	q:110:1:2	q:110:1:3	subject	head-to-dependent	high	جَاءَ | نَصْرُ	case_government;agreement	نَصْرُ is nominative and is the explicit subject of جَآءَ.
ae:v3:s110:001:pass1:attach:a3	q:110:1:3	q:110:1:4	idafa	head-to-dependent	high	نَصْرُ | اللَّهِ	case_government;local_syntax	ٱللَّهِ is the genitive muḍāf ilayh of نَصْرُ.
ae:v3:s110:001:pass1:attach:a4	q:110:1:3	q:110:1:6	conjoined	head-to-dependent	high	نَصْرُ | وَالْفَتْحُ	case_government;local_syntax	ٱلْفَتْحُ is coordinated by وَ with نَصْرُ as the second element in the subject.
ae:v3:s110:002:pass1:attach:a1	q:110:2:2	q:110:2:3	direct_object	head-to-dependent	high	وَرَأَيْتَ | النَّاسَ	case_government;word_order	ٱلنَّاسَ is accusative as the direct object of رَأَيْتَ.
ae:v3:s110:002:pass1:attach:a2	q:110:2:3	q:110:2:4	circumstantial	head-to-dependent	high	النَّاسَ | يَدْخُلُونَ	case_government;local_syntax	يَدْخُلُونَ فِي دِينِ ٱللَّهِ أَفْوَاجًا is the ḥāl clause describing ٱلنَّاسَ after رَأَيْتَ.
ae:v3:s110:002:pass1:attach:a3	q:110:2:4	q:110:2:6	prep_complement	head-to-dependent	high	يَدْخُلُونَ | دِينِ	case_government;local_syntax	دِينِ is governed by فِي as the prepositional complement of يَدْخُلُونَ.
ae:v3:s110:002:pass1:attach:a4	q:110:2:6	q:110:2:7	idafa	head-to-dependent	high	دِينِ | اللَّهِ	case_government;local_syntax	ٱللَّهِ is the genitive muḍāf ilayh of دِينِ.
ae:v3:s110:002:pass1:attach:a5	q:110:2:4	q:110:2:8	circumstantial	head-to-dependent	high	يَدْخُلُونَ | أَفْوَاجَاً	case_government;local_syntax	أَفْوَاجًا is an accusative ḥāl describing the manner of يَدْخُلُونَ.
ae:v3:s110:003:pass1:attach:a1	q:110:3:2	q:110:3:3	prep_complement	head-to-dependent	high	فَسَبِّحْ | بِحَمْدِ	case_government;local_syntax	حَمْدِ is governed by prefixed بِـ as the complement of سَبِّحْ.
ae:v3:s110:003:pass1:attach:a2	q:110:3:3	q:110:3:4	idafa	head-to-dependent	high	بِحَمْدِ | رَبِّكَ	case_government;local_syntax	رَبِّكَ is the genitive muḍāf ilayh of حَمْدِ.
ae:v3:s110:003:pass1:attach:a3	q:110:3:4	q:110:3:4	idafa	head-to-dependent	high	رَبِّكَ	morphology;local_syntax	The suffix كَ in رَبِّكَ is the possessive muḍāf ilayh of رَبِّ.
ae:v3:s110:003:pass1:attach:a4	q:110:3:2	q:110:3:6	conjoined	head-to-dependent	high	فَسَبِّحْ | وَاسْتَغْفِرْهُ	local_syntax;parallelism	ٱسْتَغْفِرْهُ is coordinated by وَ with the imperative سَبِّحْ.
ae:v3:s110:003:pass1:attach:a5	q:110:3:6	q:110:3:6	direct_object	head-to-dependent	high	وَاسْتَغْفِرْهُ	morphology;local_syntax	The suffix هُ in ٱسْتَغْفِرْهُ is the object pronoun of ٱسْتَغْفِرْ.
ae:v3:s110:003:pass1:attach:a6	q:110:3:7	q:110:3:7	particle_complement	head-to-dependent	high		morphology;local_syntax	The suffix هُ in إِنَّهُ is the ism governed by إِنَّ.
ae:v3:s110:003:pass1:attach:a7	q:110:3:7	q:110:3:8	predication	head-to-dependent	high	إِنَّهُ | كَانَ	local_syntax	كَانَ تَوَّابًا is the khabar of إِنَّ in إِنَّهُ.
ae:v3:s110:003:pass1:attach:a8	q:110:3:8	q:110:3:9	kana_predicate	head-to-dependent	high	كَانَ | تَوَّابَاً	case_government;local_syntax	تَوَّابًا is the accusative predicate of كَانَ.
