attachment_unit_id	ayah_ref	qac_ayah_ref	unit_index	word_id	qac_word_ref	morpheme_ids	attachment_surfaces	attachment_roots	prep_bases	binding_method	binding_status
q:1:1:1	83:0	1:1	1	w-s083-a000-w001	1:1:1	m-w-s083-a000-w001-01	بِسْمِ		بـ	position_crosswalk	morpheme_aligned
q:1:1:2	83:0	1:1	2	w-s083-a000-w001	1:1:1	m-w-s083-a000-w001-02	بِسْمِ	س م و	بـ	position_crosswalk	morpheme_aligned
q:1:1:3	83:0	1:1	3	w-s083-a000-w002	1:1:2	m-w-s083-a000-w002-01	اللَّهِ	أ ل ه		position_crosswalk	morpheme_aligned
q:1:1:4	83:0	1:1	4	w-s083-a000-w003	1:1:3	m-w-s083-a000-w003-02	الرَّحْمَنِ	ر ح م		position_crosswalk	morpheme_aligned
q:1:1:5	83:0	1:1	5	w-s083-a000-w003	1:1:3	m-w-s083-a000-w003-02	الرَّحِيمِ	ر ح م		surface_root_sequence_fallback	morpheme_aligned
q:83:1:1	83:1	83:1	1	w-s083-a001-w001	83:1:1	m-w-s083-a001-w001-01	وَيْلٌ	و ي ل	لـ	position_crosswalk	morpheme_aligned
q:83:1:2	83:1	83:1	2	w-s083-a001-w001	83:1:1	m-w-s083-a001-w001-01			لـ	surface_root_sequence_fallback	morpheme_aligned
q:83:1:3	83:1	83:1	3	w-s083-a001-w002	83:1:2	m-w-s083-a001-w002-03	لِلْمُطَفِّفِينَ	ط ف ف	لـ	position_crosswalk	morpheme_aligned
q:83:2:2	83:2	83:2	2	w-s083-a002-w002	83:2:2	m-w-s083-a002-w002-01	إِذَا	أ ذ ي		position_crosswalk	morpheme_aligned
q:83:2:3	83:2	83:2	3	w-s083-a002-w003	83:2:3	m-w-s083-a002-w003-01	اكْتَالُوا	ك ي ل	عَلَى	position_crosswalk	morpheme_aligned
q:83:2:4	83:2	83:2	4	w-s083-a002-w004	83:2:4	m-w-s083-a002-w004-01			عَلَى	position_crosswalk	morpheme_aligned
q:83:2:5	83:2	83:2	5	w-s083-a002-w005	83:2:5	m-w-s083-a002-w005-02	النَّاسِ	أ ن س	عَلَى	position_crosswalk	morpheme_aligned
q:83:2:6	83:2	83:2	6	w-s083-a002-w006	83:2:6	m-w-s083-a002-w006-01	يَسْتَوْفُونَ	و ف ي		position_crosswalk	morpheme_aligned
q:83:3:2	83:3	83:3	2	w-s083-a003-w001	83:3:1	m-w-s083-a003-w001-02	وَإِذَا	أ ذ ي		position_crosswalk	morpheme_aligned
q:83:3:3	83:3	83:3	3	w-s083-a003-w002	83:3:2	m-w-s083-a003-w002-01	كَالُوهُمْ	ك ي ل		position_crosswalk	morpheme_aligned
q:83:3:5	83:3	83:3	5	w-s083-a003-w004	83:3:4	m-w-s083-a003-w004-01	وَزَنُوهُمْ	و ز ن		position_crosswalk	morpheme_aligned
q:83:3:6	83:3	83:3	6	w-s083-a003-w005	83:3:5	m-w-s083-a003-w005-01	يُخْسِرُونَ	خ س ر		position_crosswalk	morpheme_aligned
q:83:4:2	83:4	83:4	2	w-s083-a004-w002	83:4:2	m-w-s083-a004-w002-01	يَظُنُّ	ظ ن ن		surface_root_sequence_fallback	morpheme_aligned
q:83:4:3	83:4	83:4	3	w-s083-a004-w003	83:4:3	m-w-s083-a004-w003-01	أُولَئِكَ	أ و ل		surface_root_sequence_fallback	morpheme_aligned
q:83:4:4	83:4	83:4	4	w-s083-a004-w004	83:4:4	m-w-s083-a004-w004-01;m-w-s083-a004-w004-02	أَنَّهُمْ			surface_root_sequence_fallback	morpheme_aligned
q:83:4:5	83:4	83:4	5	w-s083-a004-w005	83:4:5	m-w-s083-a004-w005-01	مَبْعُوثُونَ	ب ع ث		surface_root_sequence_fallback	morpheme_aligned
q:83:5:2	83:5	83:5	2	w-s083-a005-w001	83:5:1	m-w-s083-a005-w001-02	لِيَوْمٍ	ي و م		position_crosswalk	morpheme_aligned
q:83:5:3	83:5	83:5	3	w-s083-a005-w002	83:5:2	m-w-s083-a005-w002-01	عَظِيمٍ	ع ظ م		position_crosswalk	morpheme_aligned
q:83:6:1	83:6	83:6	1	w-s083-a006-w001	83:6:1	m-w-s083-a006-w001-01	يَوْمَ	ي و م		position_crosswalk	morpheme_aligned
q:83:6:2	83:6	83:6	2	w-s083-a006-w002	83:6:2	m-w-s083-a006-w002-01	يَقُومُ	ق و م	لـ	position_crosswalk	morpheme_aligned
q:83:6:3	83:6	83:6	3	w-s083-a006-w003	83:6:3	m-w-s083-a006-w003-02	النَّاسُ	أ ن س		position_crosswalk	morpheme_aligned
q:83:6:4	83:6	83:6	4	w-s083-a006-w003	83:6:3	m-w-s083-a006-w003-02			لـ	surface_root_sequence_fallback	morpheme_aligned
q:83:6:5	83:6	83:6	5	w-s083-a006-w004	83:6:4	m-w-s083-a006-w004-02	لِرَبِّ	ر ب ب	لـ	position_crosswalk	morpheme_aligned
q:83:6:6	83:6	83:6	6	w-s083-a006-w005	83:6:5	m-w-s083-a006-w005-02	الْعَالَمِينَ	ع ل م		position_crosswalk	morpheme_aligned
q:83:7:2	83:7	83:7	2	w-s083-a007-w002	83:7:2	m-w-s083-a007-w002-01	إِنَّ			position_crosswalk	morpheme_aligned
