finding_id	ayah_ref	finding_ordinal	grade	anchor_ordinal	branch_ordinal	qac_word_ref	root_id	branch_id	word_id
f-88_0-001	88:0	1	strong	1	1	1:1:1	root_000745	B005	w-s088-a000-w001
f-88_0-001	88:0	1	strong	2	1	1:1:2	root_000047	B002	w-s088-a000-w002
f-88_0-002	88:0	2	weak	1	1	1:1:2	root_000047	B001	w-s088-a000-w002
f-88_0-002	88:0	2	weak	2	1	1:1:3	root_000552	B001	w-s088-a000-w003
f-88_0-002	88:0	2	weak	3	1	1:1:4	root_000552	B001	w-s088-a000-w004
f-88_0-003	88:0	3	weak	1	1	1:1:3	root_000552	B002	w-s088-a000-w003
f-88_0-003	88:0	3	weak	1	2	1:1:3	root_000552	B003	w-s088-a000-w003
f-88_0-003	88:0	3	weak	2	1	1:1:4	root_000552	B002	w-s088-a000-w004
f-88_0-003	88:0	3	weak	2	2	1:1:4	root_000552	B003	w-s088-a000-w004
f-88_1-001	88:1	1	strong	1	1	88:1:2	root_000009	B001	w-s088-a001-w002
f-88_1-001	88:1	1	strong	2	1	88:1:3	root_000299	B003	w-s088-a001-w003
f-88_1-001	88:1	1	strong	3	1	88:1:4	root_001088	B003	w-s088-a001-w004
f-88_1-002	88:1	2	strong	1	1	88:1:3	root_000299	B001	w-s088-a001-w003
f-88_1-002	88:1	2	strong	1	2	88:1:3	root_000299	B005	w-s088-a001-w003
f-88_1-002	88:1	2	strong	1	3	88:1:3	root_000299	B006	w-s088-a001-w003
f-88_1-003	88:1	3	strong	1	1	88:1:4	root_001088	B001	w-s088-a001-w004
f-88_1-003	88:1	3	strong	1	2	88:1:4	root_001088	B002	w-s088-a001-w004
f-88_1-004	88:1	4	weak	1	1	88:1:3	root_000299	B006	w-s088-a001-w003
f-88_1-004	88:1	4	weak	1	2	88:1:3	root_000299	B007	w-s088-a001-w003
f-88_1-004	88:1	4	weak	2	1	88:1:4	root_001088	B001	w-s088-a001-w004
f-88_2-001	88:2	1	strong	1	1	88:2:1	root_001630	B001	w-s088-a002-w001
f-88_2-001	88:2	1	strong	2	1	88:2:3	root_000412	B001	w-s088-a002-w003
f-88_2-002	88:2	2	weak	1	1	88:2:3	root_000412	B002	w-s088-a002-w003
f-88_2-003	88:2	3	reject	1	1	88:2:3	root_000412	B004	w-s088-a002-w003
f-88_3-001	88:3	1	strong	1	1	88:3:1	root_001046	B001	w-s088-a003-w001
f-88_3-001	88:3	1	strong	1	2	88:3:1	root_001046	B007	w-s088-a003-w001
f-88_3-001	88:3	1	strong	2	1	88:3:2	root_001507	B004	w-s088-a003-w002
f-88_3-002	88:3	2	weak	1	1	88:3:1	root_001046	B004	w-s088-a003-w001
f-88_3-002	88:3	2	weak	2	1	88:3:2	root_001507	B005	w-s088-a003-w002
f-88_3-003	88:3	3	strong	1	1	88:3:2	root_001507	B001	w-s088-a003-w002
f-88_3-003	88:3	3	strong	1	2	88:3:2	root_001507	B004	w-s088-a003-w002
f-88_4-001	88:4	1	strong	1	1	88:4:1	root_000880	B003	w-s088-a004-w001
f-88_4-001	88:4	1	strong	2	1	88:4:2	root_001564	B002	w-s088-a004-w002
f-88_4-001	88:4	1	strong	3	1	88:4:3	root_000358	B001	w-s088-a004-w003
f-88_4-001	88:4	1	strong	3	2	88:4:3	root_000358	B008	w-s088-a004-w003
f-88_4-002	88:4	2	weak	1	1	88:4:1	root_000880	B004	w-s088-a004-w001
f-88_4-003	88:4	3	reject	1	1	88:4:1	root_000880	B001	w-s088-a004-w001
f-88_4-003	88:4	3	reject	1	2	88:4:1	root_000880	B002	w-s088-a004-w001
f-88_4-004	88:4	4	reject	1	1	88:4:3	root_000358	B002	w-s088-a004-w003
f-88_4-004	88:4	4	reject	1	2	88:4:3	root_000358	B003	w-s088-a004-w003
f-88_5-001	88:5	1	strong	1	1	88:5:1	root_000722	B001	w-s088-a005-w001
f-88_5-001	88:5	1	strong	2	1	88:5:3	root_001069	B006	w-s088-a005-w003
f-88_5-001	88:5	1	strong	3	1	88:5:4	root_000063	B003	w-s088-a005-w004
f-88_5-002	88:5	2	weak	1	1	88:5:1	root_000722	B003	w-s088-a005-w001
f-88_5-002	88:5	2	weak	2	1	88:5:3	root_001069	B006	w-s088-a005-w003
f-88_5-003	88:5	3	reject	1	1	88:5:1	root_000722	B010	w-s088-a005-w001
f-88_5-004	88:5	4	reject	1	1	88:5:3	root_001069	B001	w-s088-a005-w003
f-88_5-004	88:5	4	reject	1	2	88:5:3	root_001069	B002	w-s088-a005-w003
f-88_5-005	88:5	5	weak	1	1	88:5:4	root_000063	B001	w-s088-a005-w004
f-88_5-005	88:5	5	weak	1	2	88:5:4	root_000063	B003	w-s088-a005-w004
f-88_6-001	88:6	1	strong	1	1	88:6:1	root_001390	B001	w-s088-a006-w001
f-88_6-001	88:6	1	strong	1	2	88:6:1	root_001390	B002	w-s088-a006-w001
f-88_6-001	88:6	1	strong	2	1	88:6:3	root_000934	B001	w-s088-a006-w003
f-88_6-001	88:6	1	strong	3	1	88:6:6	root_000908	B005	w-s088-a006-w006
f-88_6-002	88:6	2	weak	1	1	88:6:3	root_000934	B007	w-s088-a006-w003
f-88_6-002	88:6	2	weak	2	1	88:6:6	root_000908	B001	w-s088-a006-w006
