word_id	morpheme_ids	root_id	binding_status
w-s092-a000-w001	m-w-s092-a000-w001-02	root_000745	resolved_source_exact
w-s092-a000-w002	m-w-s092-a000-w002-01	root_000047	resolved_normalized_exact
w-s092-a000-w003	m-w-s092-a000-w003-02	root_000552	resolved_source_exact
w-s092-a000-w004	m-w-s092-a000-w004-02	root_000552	resolved_source_exact
w-s092-a001-w001	m-w-s092-a001-w001-03	root_001392	resolved_source_exact
w-s092-a001-w003	m-w-s092-a001-w003-01	root_001088	resolved_source_exact
w-s092-a002-w001	m-w-s092-a002-w001-03	root_001559	resolved_source_exact
w-s092-a002-w003	m-w-s092-a002-w003-01	root_000256	resolved_source_exact
w-s092-a003-w002	m-w-s092-a003-w002-01	root_000434	resolved_source_exact
w-s092-a003-w003	m-w-s092-a003-w003-02	root_000516	resolved_source_exact
w-s092-a003-w004	m-w-s092-a003-w004-03	root_000058	resolved_normalized_exact
w-s092-a004-w002	m-w-s092-a004-w002-01	root_000709	resolved_source_exact
w-s092-a004-w003	m-w-s092-a004-w003-02	root_000775	resolved_source_exact
w-s092-a005-w003	m-w-s092-a005-w003-01	root_001028	resolved_source_exact
w-s092-a005-w004	m-w-s092-a005-w004-02	root_001677	resolved_source_exact
w-s092-a006-w001	m-w-s092-a006-w001-02	root_000852	resolved_source_exact
w-s092-a006-w002	m-w-s092-a006-w002-03	root_000323	resolved_source_exact
w-s092-a007-w001	m-w-s092-a007-w001-03	root_001694	resolved_source_exact
w-s092-a007-w002	m-w-s092-a007-w002-03	root_001694	resolved_source_exact
w-s092-a008-w003	m-w-s092-a008-w003-01	root_000089	resolved_source_exact
w-s092-a008-w004	m-w-s092-a008-w004-02	root_001110	resolved_source_exact
w-s092-a009-w001	m-w-s092-a009-w001-02	root_001290	resolved_source_exact
w-s092-a009-w002	m-w-s092-a009-w002-03	root_000323	resolved_source_exact
w-s092-a010-w001	m-w-s092-a010-w001-03	root_001694	resolved_source_exact
w-s092-a010-w002	m-w-s092-a010-w002-03	root_001012	resolved_source_exact
w-s092-a011-w002	m-w-s092-a011-w002-01	root_001110	resolved_source_exact
w-s092-a011-w004	m-w-s092-a011-w004-01	root_001457	resolved_source_exact
w-s092-a011-w006	m-w-s092-a011-w006-01	root_000558	resolved_source_exact
w-s092-a012-w003	m-w-s092-a012-w003-03	root_001583	resolved_source_exact
w-s092-a013-w003	m-w-s092-a013-w003-03	root_000019	resolved_normalized_exact
w-s092-a013-w004	m-w-s092-a013-w004-03	root_000067	resolved_normalized_exact
w-s092-a014-w001	m-w-s092-a014-w001-02	root_001488	resolved_source_exact
w-s092-a014-w002	m-w-s092-a014-w002-01	root_001564	resolved_source_exact
w-s092-a014-w003	m-w-s092-a014-w003-01	root_001357	resolved_source_exact
w-s092-a015-w002	m-w-s092-a015-w002-01	root_000880	resolved_source_exact
w-s092-a015-w004	m-w-s092-a015-w004-02	root_000808	resolved_source_exact
w-s092-a016-w002	m-w-s092-a016-w002-01	root_001290	resolved_source_exact
w-s092-a016-w003	m-w-s092-a016-w003-02	root_001684	resolved_source_exact
w-s092-a017-w001	m-w-s092-a017-w001-03	root_000262	resolved_source_exact
w-s092-a017-w002	m-w-s092-a017-w002-02	root_001677	resolved_source_exact
w-s092-a018-w002	m-w-s092-a018-w002-01	root_000009	resolved_normalized_exact
w-s092-a018-w003	m-w-s092-a018-w003-01	root_001457	resolved_source_exact
w-s092-a018-w004	m-w-s092-a018-w004-01	root_000637	resolved_source_exact
w-s092-a019-w002	m-w-s092-a019-w002-02	root_000017	resolved_normalized_exact
w-s092-a019-w003	m-w-s092-a019-w003-01	root_001052	resolved_source_exact
w-s092-a019-w005	m-w-s092-a019-w005-01	root_001525	resolved_source_exact
w-s092-a019-w006	m-w-s092-a019-w006-01	root_000244	resolved_source_exact
w-s092-a020-w002	m-w-s092-a020-w002-01	root_000138	resolved_source_exact
w-s092-a020-w003	m-w-s092-a020-w003-01	root_001630	resolved_source_exact
w-s092-a020-w004	m-w-s092-a020-w004-01	root_000532	resolved_source_exact
w-s092-a020-w005	m-w-s092-a020-w005-02	root_001042	resolved_source_exact
w-s092-a021-w002	m-w-s092-a021-w002-01	root_000569	resolved_source_exact
