attachment_unit_id	ayah_ref	qac_ayah_ref	unit_index	word_id	qac_word_ref	morpheme_ids	attachment_surfaces	attachment_roots	prep_bases	binding_method	binding_status
q:1:1:1	92:0	1:1	1	w-s092-a000-w001	1:1:1	m-w-s092-a000-w001-01	بِسْمِ		بـ	position_crosswalk	morpheme_aligned
q:1:1:2	92:0	1:1	2	w-s092-a000-w001	1:1:1	m-w-s092-a000-w001-02	بِسْمِ	س م و	بـ	position_crosswalk	morpheme_aligned
q:1:1:3	92:0	1:1	3	w-s092-a000-w002	1:1:2	m-w-s092-a000-w002-01	اللَّهِ	أ ل ه		position_crosswalk	morpheme_aligned
q:1:1:4	92:0	1:1	4	w-s092-a000-w003	1:1:3	m-w-s092-a000-w003-02	الرَّحْمَنِ	ر ح م		position_crosswalk	morpheme_aligned
q:1:1:5	92:0	1:1	5	w-s092-a000-w003	1:1:3	m-w-s092-a000-w003-02	الرَّحِيمِ	ر ح م		surface_root_sequence_fallback	morpheme_aligned
q:92:1:3	92:1	92:1	3	w-s092-a001-w002	92:1:2	m-w-s092-a001-w002-01	إِذَا	أ ذ ي		position_crosswalk	morpheme_aligned
q:92:1:4	92:1	92:1	4	w-s092-a001-w003	92:1:3	m-w-s092-a001-w003-01	يَغْشَى	غ ش و		position_crosswalk	morpheme_aligned
q:92:2:3	92:2	92:2	3	w-s092-a002-w002	92:2:2	m-w-s092-a002-w002-01	إِذَا	أ ذ ي		position_crosswalk	morpheme_aligned
q:92:2:4	92:2	92:2	4	w-s092-a002-w003	92:2:3	m-w-s092-a002-w003-01	تَجَلَّى	ج ل و		position_crosswalk	morpheme_aligned
q:92:3:3	92:3	92:3	3	w-s092-a003-w002	92:3:2	m-w-s092-a003-w002-01	خَلَقَ	خ ل ق		position_crosswalk	morpheme_aligned
q:92:3:4	92:3	92:3	4	w-s092-a003-w003	92:3:3	m-w-s092-a003-w003-02	الذَّكَرَ	ذ ك ر		position_crosswalk	morpheme_aligned
