attachment_unit_id	ayah_ref	qac_ayah_ref	unit_index	word_id	qac_word_ref	morpheme_ids	attachment_surfaces	attachment_roots	prep_bases	binding_method	binding_status
q:1:1:1	89:0	1:1	1	w-s089-a000-w001	1:1:1	m-w-s089-a000-w001-01	بِسْمِ		بـ	position_crosswalk	morpheme_aligned
q:1:1:2	89:0	1:1	2	w-s089-a000-w001	1:1:1	m-w-s089-a000-w001-02	بِسْمِ	س م و	بـ	position_crosswalk	morpheme_aligned
q:1:1:3	89:0	1:1	3	w-s089-a000-w002	1:1:2	m-w-s089-a000-w002-01	اللَّهِ	أ ل ه		position_crosswalk	morpheme_aligned
q:1:1:4	89:0	1:1	4	w-s089-a000-w003	1:1:3	m-w-s089-a000-w003-02	الرَّحْمَنِ	ر ح م		position_crosswalk	morpheme_aligned
q:1:1:5	89:0	1:1	5	w-s089-a000-w003	1:1:3	m-w-s089-a000-w003-02	الرَّحِيمِ	ر ح م		surface_root_sequence_fallback	morpheme_aligned
q:89:1:1	89:1	89:1	1	w-s089-a001-w001	89:1:1	m-w-s089-a001-w001-03	وَالْفَجْرِ	أ و ي		position_crosswalk	morpheme_aligned
q:89:1:2	89:1	89:1	2	w-s089-a001-w001	89:1:1	m-w-s089-a001-w001-03	وَالْفَجْرِ	ف ج ر		position_crosswalk	morpheme_aligned
q:89:2:1	89:2	89:2	1	w-s089-a002-w001	89:2:1	m-w-s089-a002-w001-01	وَلَيَالٍ	أ و ي		position_crosswalk	morpheme_aligned
q:89:2:2	89:2	89:2	2	w-s089-a002-w001	89:2:1	m-w-s089-a002-w001-02	وَلَيَالٍ	ل ي ل		position_crosswalk	morpheme_aligned
q:89:2:3	89:2	89:2	3	w-s089-a002-w002	89:2:2	m-w-s089-a002-w002-01	عَشْرٍ	ع ش ر		position_crosswalk	morpheme_aligned
q:89:3:1	89:3	89:3	1	w-s089-a003-w001	89:3:1	m-w-s089-a003-w001-01	وَالشَّفْعِ	أ و ي		position_crosswalk	morpheme_aligned
q:89:3:2	89:3	89:3	2	w-s089-a003-w001	89:3:1	m-w-s089-a003-w001-03	وَالشَّفْعِ	ش ف ع		position_crosswalk	morpheme_aligned
q:89:3:3	89:3	89:3	3	w-s089-a003-w002	89:3:2	m-w-s089-a003-w002-01	وَالْوَتْرِ	أ و ي		position_crosswalk	morpheme_aligned
q:89:3:4	89:3	89:3	4	w-s089-a003-w002	89:3:2	m-w-s089-a003-w002-03	وَالْوَتْرِ	و ت ر		position_crosswalk	morpheme_aligned
q:89:4:1	89:4	89:4	1	w-s089-a004-w001	89:4:1	m-w-s089-a004-w001-01	وَاللَّيْلِ	أ و ي		derived_morpheme_unit	morpheme_aligned
q:89:4:2	89:4	89:4	2	w-s089-a004-w001	89:4:1	m-w-s089-a004-w001-03	وَاللَّيْلِ	ل ي ل		position_crosswalk	morpheme_aligned
q:89:4:3	89:4	89:4	3	w-s089-a004-w002	89:4:2	m-w-s089-a004-w002-01	إِذَا	أ ذ ي		position_crosswalk	morpheme_aligned
q:89:4:4	89:4	89:4	4	w-s089-a004-w003	89:4:3	m-w-s089-a004-w003-01	يَسْرِ	س ر ر		position_crosswalk	morpheme_aligned
q:89:5:2	89:5	89:5	2	w-s089-a005-w002	89:5:2	m-w-s089-a005-w002-01	فِي		فِي	position_crosswalk	morpheme_aligned
q:89:5:3	89:5	89:5	3	w-s089-a005-w003	89:5:3	m-w-s089-a005-w003-01	ذَلِكَ		فِي	position_crosswalk	morpheme_aligned
q:89:5:4	89:5	89:5	4	w-s089-a005-w004	89:5:4	m-w-s089-a005-w004-01	قَسَمٌ	ق س م	فِي;لـ	position_crosswalk	morpheme_aligned
q:89:5:5	89:5	89:5	5	w-s089-a005-w005	89:5:5	m-w-s089-a005-w005-01			لـ	position_crosswalk	morpheme_aligned
q:89:5:6	89:5	89:5	6	w-s089-a005-w005	89:5:5	m-w-s089-a005-w005-02	لِذِي	ذ و و	لـ	position_crosswalk	morpheme_aligned
q:89:5:7	89:5	89:5	7	w-s089-a005-w006	89:5:6	m-w-s089-a005-w006-01	حِجْرٍ	ح ج ر		position_crosswalk	morpheme_aligned
q:89:6:1	89:6	89:6	1	w-s089-a006-w001	89:6:1	m-w-s089-a006-w001-02	أَلَمْ	ل م م		position_crosswalk	morpheme_aligned
q:89:6:2	89:6	89:6	2	w-s089-a006-w002	89:6:2	m-w-s089-a006-w002-01	تَرَ	ر أ ي		surface_root_sequence_fallback	morpheme_aligned
q:89:6:3	89:6	89:6	3	w-s089-a006-w003	89:6:3	m-w-s089-a006-w003-01	كَيْفَ	ك ي ف		surface_root_sequence_fallback	morpheme_aligned
q:89:6:4	89:6	89:6	4	w-s089-a006-w004	89:6:4	m-w-s089-a006-w004-01	فَعَلَ	ف ع ل	بـ	surface_root_sequence_fallback	morpheme_aligned
q:89:6:5	89:6	89:6	5	w-s089-a006-w005	89:6:5	m-w-s089-a006-w005-01	رَبُّكَ	ر ب ب		surface_root_sequence_fallback	morpheme_aligned
q:89:6:6	89:6	89:6	6	w-s089-a006-w005	89:6:5	m-w-s089-a006-w005-01			بـ	position_crosswalk	morpheme_aligned
q:89:6:7	89:6	89:6	7	w-s089-a006-w006	89:6:6	m-w-s089-a006-w006-02	بِعَادٍ	ع و د	بـ	position_crosswalk	morpheme_aligned
q:89:7:1	89:7	89:7	1	w-s089-a007-w001	89:7:1	m-w-s089-a007-w001-01	إِرَمَ	إ ر م		position_crosswalk	morpheme_aligned
q:89:7:2	89:7	89:7	2	w-s089-a007-w002	89:7:2	m-w-s089-a007-w002-01	ذَاتِ	ذ و و		position_crosswalk	morpheme_aligned
q:89:7:3	89:7	89:7	3	w-s089-a007-w003	89:7:3	m-w-s089-a007-w003-02	الْعِمَادِ	ع م د		position_crosswalk	morpheme_aligned
q:89:8:2	89:8	89:8	2	w-s089-a008-w002	89:8:2	m-w-s089-a008-w002-01	لَمْ	ل م م		position_crosswalk	morpheme_aligned
q:89:8:3	89:8	89:8	3	w-s089-a008-w003	89:8:3	m-w-s089-a008-w003-01	يُخْلَقْ	خ ل ق	فِي	position_crosswalk	morpheme_aligned
q:89:8:4	89:8	89:8	4	w-s089-a008-w004	89:8:4	m-w-s089-a008-w004-01	مِثْلُهَا	م ث ل		position_crosswalk	morpheme_aligned
q:89:8:5	89:8	89:8	5	w-s089-a008-w005	89:8:5	m-w-s089-a008-w005-01			فِي	position_crosswalk	morpheme_aligned
q:89:8:6	89:8	89:8	6	w-s089-a008-w006	89:8:6	m-w-s089-a008-w006-02	الْبِلَادِ	ب ل د	فِي	position_crosswalk	morpheme_aligned
q:89:9:2	89:9	89:9	2	w-s089-a009-w001	89:9:1	m-w-s089-a009-w001-02	وَثَمُودَ	ث م و د		position_crosswalk	morpheme_aligned
q:89:9:3	89:9	89:9	3	w-s089-a009-w002	89:9:2	m-w-s089-a009-w002-01	الَّذِينَ	ل ل ذ		position_crosswalk	morpheme_aligned
q:89:9:4	89:9	89:9	4	w-s089-a009-w003	89:9:3	m-w-s089-a009-w003-01	جَابُوا	ج و ب	بـ	position_crosswalk	morpheme_aligned
q:89:9:5	89:9	89:9	5	w-s089-a009-w004	89:9:4	m-w-s089-a009-w004-02	الصَّخْرَ	ص خ ر		position_crosswalk	morpheme_aligned
q:89:9:6	89:9	89:9	6	w-s089-a009-w005	89:9:5	m-w-s089-a009-w005-01			بـ	position_crosswalk	morpheme_aligned
q:89:9:7	89:9	89:9	7	w-s089-a009-w005	89:9:5	m-w-s089-a009-w005-03	بِالْوَادِ	و د ي	بـ	position_crosswalk	morpheme_aligned
q:89:10:2	89:10	89:10	2	w-s089-a010-w001	89:10:1	m-w-s089-a010-w001-02	وَفِرْعَوْنَ	ف ر ع ن		position_crosswalk	morpheme_aligned
q:89:10:3	89:10	89:10	3	w-s089-a010-w002	89:10:2	m-w-s089-a010-w002-01	ذِي	ذ و و		position_crosswalk	morpheme_aligned
q:89:10:4	89:10	89:10	4	w-s089-a010-w003	89:10:3	m-w-s089-a010-w003-02	الْأَوْتَادِ	و ت د		position_crosswalk	morpheme_aligned
q:89:11:2	89:11	89:11	2	w-s089-a011-w002	89:11:2	m-w-s089-a011-w002-01	طَغَوْا	ط غ و	فِي	position_crosswalk	morpheme_aligned
q:89:11:3	89:11	89:11	3	w-s089-a011-w003	89:11:3	m-w-s089-a011-w003-01			فِي	position_crosswalk	morpheme_aligned
q:89:11:4	89:11	89:11	4	w-s089-a011-w004	89:11:4	m-w-s089-a011-w004-02	الْبِلَادِ	ب ل د	فِي	position_crosswalk	morpheme_aligned
q:89:12:2	89:12	89:12	2	w-s089-a012-w001	89:12:1	m-w-s089-a012-w001-02	فَأَكْثَرُوا	ك ث ر	فِي	position_crosswalk	morpheme_aligned
q:89:12:3	89:12	89:12	3	w-s089-a012-w002	89:12:2	m-w-s089-a012-w002-02;m-w-s089-a012-w002-01			فِي	position_crosswalk	morpheme_aligned
q:89:12:4	89:12	89:12	4	w-s089-a012-w003	89:12:3	m-w-s089-a012-w003-02	الْفَسَادَ	ف س د		position_crosswalk	morpheme_aligned
q:89:13:2	89:13	89:13	2	w-s089-a013-w001	89:13:1	m-w-s089-a013-w001-02	فَصَبَّ	ص ب ب	عَلَى	position_crosswalk	morpheme_aligned
q:89:13:3	89:13	89:13	3	w-s089-a013-w002	89:13:2	m-w-s089-a013-w002-02;m-w-s089-a013-w002-01			عَلَى	position_crosswalk	morpheme_aligned
q:89:13:4	89:13	89:13	4	w-s089-a013-w003	89:13:3	m-w-s089-a013-w003-01	رَبُّكَ	ر ب ب		position_crosswalk	morpheme_aligned
q:89:13:5	89:13	89:13	5	w-s089-a013-w004	89:13:4	m-w-s089-a013-w004-01	سَوْطَ	س و ط		position_crosswalk	morpheme_aligned
q:89:13:6	89:13	89:13	6	w-s089-a013-w005	89:13:5	m-w-s089-a013-w005-01	عَذَابٍ	ع ذ ب		position_crosswalk	morpheme_aligned
q:89:14:1	89:14	89:14	1	w-s089-a014-w001	89:14:1	m-w-s089-a014-w001-01	إِنَّ		بـ	position_crosswalk	morpheme_aligned
q:89:14:2	89:14	89:14	2	w-s089-a014-w002	89:14:2	m-w-s089-a014-w002-01	رَبَّكَ	ر ب ب		position_crosswalk	morpheme_aligned
q:89:14:4	89:14	89:14	4	w-s089-a014-w002	89:14:2	m-w-s089-a014-w002-01			بـ	surface_root_sequence_fallback	morpheme_aligned
q:89:14:5	89:14	89:14	5	w-s089-a014-w003	89:14:3	m-w-s089-a014-w003-04	لَبِالْمِرْصَادِ	ر ص د	بـ	position_crosswalk	morpheme_aligned
q:89:15:2	89:15	89:15	2	w-s089-a015-w001	89:15:1	m-w-s089-a015-w001-02	فَأَمَّا			position_crosswalk	morpheme_aligned
q:89:15:3	89:15	89:15	3	w-s089-a015-w002	89:15:2	m-w-s089-a015-w002-02	الْإِنْسَانُ	أ ن س		position_crosswalk	morpheme_aligned
q:89:15:4	89:15	89:15	4	w-s089-a015-w003	89:15:3	m-w-s089-a015-w003-01	إِذَا	أ ذ ي		position_crosswalk	morpheme_aligned
q:89:15:6	89:15	89:15	6	w-s089-a015-w005	89:15:5	m-w-s089-a015-w005-01;m-w-s089-a015-w005-02	ابْتَلَاهُ	ب ل و		position_crosswalk	morpheme_aligned
q:89:15:7	89:15	89:15	7	w-s089-a015-w006	89:15:6	m-w-s089-a015-w006-01	رَبُّهُ	ر ب ب		position_crosswalk	morpheme_aligned
q:89:15:9	89:15	89:15	9	w-s089-a015-w007	89:15:7	m-w-s089-a015-w007-02;m-w-s089-a015-w007-03	فَأَكْرَمَهُ	ك ر م		position_crosswalk	morpheme_aligned
q:89:15:11	89:15	89:15	11	w-s089-a015-w008	89:15:8	m-w-s089-a015-w008-02;m-w-s089-a015-w008-03	وَنَعَّمَهُ	ن ع م		position_crosswalk	morpheme_aligned
q:89:15:13	89:15	89:15	13	w-s089-a015-w009	89:15:9	m-w-s089-a015-w009-02	فَيَقُولُ	ق و ل		position_crosswalk	morpheme_aligned
q:89:15:14	89:15	89:15	14	w-s089-a015-w010	89:15:10	m-w-s089-a015-w010-01	رَبِّي	ر ب ب		position_crosswalk	morpheme_aligned
q:89:15:15	89:15	89:15	15	w-s089-a015-w011	89:15:11	m-w-s089-a015-w011-01;m-w-s089-a015-w011-02	أَكْرَمَنِ	ك ر م		position_crosswalk	morpheme_aligned
q:89:16:3	89:16	89:16	3	w-s089-a016-w002	89:16:2	m-w-s089-a016-w002-01	إِذَا	أ ذ ي		position_crosswalk	morpheme_aligned
q:89:16:5	89:16	89:16	5	w-s089-a016-w004	89:16:4	m-w-s089-a016-w004-01;m-w-s089-a016-w004-02	ابْتَلَاهُ	ب ل و		position_crosswalk	morpheme_aligned
q:89:16:7	89:16	89:16	7	w-s089-a016-w005	89:16:5	m-w-s089-a016-w005-02	فَقَدَرَ	ق د ر	عَلَى	position_crosswalk	morpheme_aligned
