edge_id	source_position	target_position	edge_type	direction	confidence	exact_surface_span	evidence	reason
ae:v3:s100:001:pass1:attach:a1	q:100:1:1	q:100:1:2	particle_complement	head-to-dependent	high	وَالْعَادِيَاتِ | وَالْعَادِيَاتِ	case_government;formulaic_construction	وَ is the oath particle governing ٱلْعَٰدِيَٰتِ in the genitive oath phrase.
ae:v3:s100:001:pass1:attach:a2	q:100:1:2	q:100:1:3	circumstantial	head-to-dependent	medium	وَالْعَادِيَاتِ | ضَبْحَاً	case_government;local_syntax	ضَبْحًا is an accusative manner expression describing ٱلْعَٰدِيَٰتِ as they run panting.
ae:v3:s100:002:pass1:attach:a1	q:100:2:2	q:100:2:3	circumstantial	head-to-dependent	medium	فَالْمُورِيَاتِ | قَدْحَاً	case_government;local_syntax	قَدْحًا is an accusative manner expression specifying how ٱلْمُورِيَٰتِ produce sparks.
ae:v3:s100:003:pass1:attach:a1	q:100:3:2	q:100:3:3	adverbial	head-to-dependent	high	فَالْمُغِيرَاتِ | صُبْحَاً	case_government;local_syntax	صُبْحًا is an accusative time adverb locating the raid of ٱلْمُغِيرَٰتِ at dawn.
ae:v3:s100:004:pass1:attach:a1	q:100:4:2	q:100:4:3	prep_complement	head-to-dependent	high	فَأَثَرْنَ	case_government;local_syntax	The pronoun in بِهِ is governed by بِ as a prepositional complement of أَثَرْنَ.
ae:v3:s100:004:pass1:attach:a2	q:100:4:2	q:100:4:4	direct_object	head-to-dependent	high	فَأَثَرْنَ | نَقْعَاً	case_government;word_order	نَقْعًا is the accusative object raised by أَثَرْنَ.
ae:v3:s100:005:pass1:attach:a1	q:100:5:2	q:100:5:3	prep_complement	head-to-dependent	high	فَوَسَطْنَ	case_government;local_syntax	The pronoun in بِهِ is governed by بِ as a prepositional complement of وَسَطْنَ.
ae:v3:s100:005:pass1:attach:a2	q:100:5:2	q:100:5:4	direct_object	head-to-dependent	high	فَوَسَطْنَ | جَمْعَاً	case_government;word_order	جَمْعًا is the accusative object entered by وَسَطْنَ.
ae:v3:s100:006:pass1:attach:a1	q:100:6:1	q:100:6:2	particle_complement	head-to-dependent	high	إِنَّ | الْإِنْسَانَ	case_government;local_syntax	ٱلْإِنسَٰنَ is the governed ism of إِنَّ.
ae:v3:s100:006:pass1:attach:a2	q:100:6:4	q:100:6:4	idafa	head-to-dependent	high	لِرَبِّهِ	morphology;local_syntax	The suffix ـهِ in رَبِّهِ is the possessive complement of رَبِّ.
ae:v3:s100:006:pass1:attach:a3	q:100:6:6	q:100:6:4	prep_complement	head-to-dependent	high	لَكَنُودٌ | لِرَبِّهِ	case_government;local_syntax	لِرَبِّهِ specifies the target with respect to which كَنُودٌ is predicated.
