surah	ayah	word_index	morpheme_index	qac_ref	surface_ar	lemma_ar	root_ar	root_norm	pos	morpheme_role	morph_features	aspect	mood	voice	measure	person	number	gender
100	1	1	1	100:1:1:1	وَ				P	PREFIX	PREFIX|w:P+							
100	1	1	2	100:1:1:2	ٱلْ				DET	PREFIX	PREFIX|Al+							
100	1	1	3	100:1:1:3	عَٰدِيَٰتِ	عَٰدِيَٰت	ع د و	ع د و	N	STEM	STEM|POS:N|ACT|PCPL|LEM:Ea`diya`t|ROOT:Edw|FP|GEN			ACT				
100	1	2	1	100:1:2:1	ضَبْحًا	ضَبْح	ض ب ح	ض ب ح	N	STEM	STEM|POS:N|LEM:DaboH|ROOT:DbH|M|INDEF|ACC							
100	2	1	1	100:2:1:1	فَ				CONJ	PREFIX	PREFIX|f:CONJ+							
100	2	1	2	100:2:1:2	ٱلْ				DET	PREFIX	PREFIX|Al+							
100	2	1	3	100:2:1:3	مُورِيَٰتِ	مُورِيَٰت	و ر ي	و ر ي	N	STEM	STEM|POS:N|ACT|PCPL|(IV)|LEM:muwriya`t|ROOT:wry|FP|GEN			ACT	IV			
100	2	2	1	100:2:2:1	قَدْحًا	قَدْح	ق د ح	ق د ح	N	STEM	STEM|POS:N|LEM:qadoH|ROOT:qdH|M|INDEF|ACC							
100	3	1	1	100:3:1:1	فَ				CONJ	PREFIX	PREFIX|f:CONJ+							
100	3	1	2	100:3:1:2	ٱلْ				DET	PREFIX	PREFIX|Al+							
100	3	1	3	100:3:1:3	مُغِيرَٰتِ	مُغِيرَٰت	غ ي ر	غ ي ر	N	STEM	STEM|POS:N|ACT|PCPL|(IV)|LEM:mugiyra`t|ROOT:gyr|FP|GEN			ACT	IV			
100	3	2	1	100:3:2:1	صُبْحًا	صُبْح	ص ب ح	ص ب ح	T	STEM	STEM|POS:T|LEM:SuboH|ROOT:SbH|M|INDEF|ACC							
100	4	1	1	100:4:1:1	فَ				CONJ	PREFIX	PREFIX|f:CONJ+							
100	4	1	2	100:4:1:2	أَثَرْ	أَثَارُ	ث و ر	ث و ر	V	STEM	STEM|POS:V|PERF|(IV)|LEM:>avaAru|ROOT:vwr|3FP	PERF			IV			
100	4	1	3	100:4:1:3	نَ				PRON	SUFFIX	SUFFIX|PRON:3FP							
100	4	2	1	100:4:2:1	بِ				P	PREFIX	PREFIX|bi+							
100	4	2	2	100:4:2:2	هِۦ				PRON	STEM	STEM|POS:PRON|3MS							
100	4	3	1	100:4:3:1	نَقْعًا	نَقْع	ن ق ع	ن ق ع	N	STEM	STEM|POS:N|LEM:naqoE|ROOT:nqE|M|INDEF|ACC							
100	5	1	1	100:5:1:1	فَ				CONJ	PREFIX	PREFIX|f:CONJ+							
100	5	1	2	100:5:1:2	وَسَطْ	وَسَطْ	و س ط	و س ط	V	STEM	STEM|POS:V|PERF|LEM:wasaTo|ROOT:wsT|3FP	PERF						
100	5	1	3	100:5:1:3	نَ				PRON	SUFFIX	SUFFIX|PRON:3FP							
100	5	2	1	100:5:2:1	بِ				P	PREFIX	PREFIX|bi+							
100	5	2	2	100:5:2:2	هِۦ				PRON	STEM	STEM|POS:PRON|3MS							
100	5	3	1	100:5:3:1	جَمْعًا	جَمْع	ج م ع	ج م ع	N	STEM	STEM|POS:N|LEM:jamoE|ROOT:jmE|M|INDEF|ACC							
100	6	1	1	100:6:1:1	إِنَّ	إِنّ			ACC	STEM	STEM|POS:ACC|LEM:<in~|SP:<in~							
100	6	2	1	100:6:2:1	ٱلْ				DET	PREFIX	PREFIX|Al+							
100	6	2	2	100:6:2:2	إِنسَٰنَ	إِنسَٰن	ء ن س	ء ن س	N	STEM	STEM|POS:N|LEM:<insa`n|ROOT:Ans|M|ACC							
100	6	3	1	100:6:3:1	لِ				P	PREFIX	PREFIX|l:P+							
100	6	3	2	100:6:3:2	رَبِّ	رَبّ	ر ب ب	ر ب ب	N	STEM	STEM|POS:N|LEM:rab~|ROOT:rbb|M|GEN							
100	6	3	3	100:6:3:3	هِۦ				PRON	SUFFIX	SUFFIX|PRON:3MS							
100	6	4	1	100:6:4:1	لَ				EMPH	PREFIX	PREFIX|l:EMPH+							
100	6	4	2	100:6:4:2	كَنُودٌ	كَنُود	ك ن د	ك ن د	N	STEM	STEM|POS:N|LEM:kanuwd|ROOT:knd|MS|INDEF|NOM							
100	7	1	1	100:7:1:1	وَ				CONJ	PREFIX	PREFIX|w:CONJ+							
100	7	1	2	100:7:1:2	إِنَّ	إِنّ			ACC	STEM	STEM|POS:ACC|LEM:<in~|SP:<in~							
100	7	1	3	100:7:1:3	هُۥ				PRON	SUFFIX	SUFFIX|PRON:3MS							
100	7	2	1	100:7:2:1	عَلَىٰ	عَلَىٰ			P	STEM	STEM|POS:P|LEM:EalaY`							
100	7	3	1	100:7:3:1	ذَٰلِكَ	ذَٰلِك			DEM	STEM	STEM|POS:DEM|LEM:*a`lik|MS							
100	7	4	1	100:7:4:1	لَ				EMPH	PREFIX	PREFIX|l:EMPH+							
100	7	4	2	100:7:4:2	شَهِيدٌ	شَهِيد	ش ه د	ش ه د	N	STEM	STEM|POS:N|LEM:$ahiyd|ROOT:$hd|MS|INDEF|NOM							
100	8	1	1	100:8:1:1	وَ				CONJ	PREFIX	PREFIX|w:CONJ+							
100	8	1	2	100:8:1:2	إِنَّ	إِنّ			ACC	STEM	STEM|POS:ACC|LEM:<in~|SP:<in~							
100	8	1	3	100:8:1:3	هُۥ				PRON	SUFFIX	SUFFIX|PRON:3MS							
100	8	2	1	100:8:2:1	لِ				P	PREFIX	PREFIX|l:P+							
100	8	2	2	100:8:2:2	حُبِّ	حُبّ	ح ب ب	ح ب ب	N	STEM	STEM|POS:N|LEM:Hub~|ROOT:Hbb|M|GEN							
100	8	3	1	100:8:3:1	ٱلْ				DET	PREFIX	PREFIX|Al+							
100	8	3	2	100:8:3:2	خَيْرِ	خَيْر	خ ي ر	خ ي ر	N	STEM	STEM|POS:N|LEM:xayor|ROOT:xyr|MS|GEN							
100	8	4	1	100:8:4:1	لَ				EMPH	PREFIX	PREFIX|l:EMPH+							
100	8	4	2	100:8:4:2	شَدِيدٌ	شَدِيد	ش د د	ش د د	N	STEM	STEM|POS:N|LEM:$adiyd|ROOT:$dd|MS|INDEF|NOM							
100	9	1	1	100:9:1:1	أَ				INTG	PREFIX	PREFIX|A:INTG+							
100	9	1	2	100:9:1:2	فَ				SUP	PREFIX	PREFIX|f:SUP+							
100	9	1	3	100:9:1:3	لَا	لَا			NEG	STEM	STEM|POS:NEG|LEM:laA							
100	9	2	1	100:9:2:1	يَعْلَمُ	عَلِمَ	ع ل م	ع ل م	V	STEM	STEM|POS:V|IMPF|LEM:Ealima|ROOT:Elm|3MS	IMPF						
100	9	3	1	100:9:3:1	إِذَا	إِذَا			T	STEM	STEM|POS:T|LEM:<i*aA							
100	9	4	1	100:9:4:1	بُعْثِرَ	بُعْثِرَ	ب ع ث ر	ب ع ث ر	V	STEM	STEM|POS:V|PERF|PASS|LEM:buEovira|ROOT:bEvr|3MS	PERF		PASS				
100	9	5	1	100:9:5:1	مَا	مَا			REL	STEM	STEM|POS:REL|LEM:maA							
100	9	6	1	100:9:6:1	فِى	فِى			P	STEM	STEM|POS:P|LEM:fiY							
100	9	7	1	100:9:7:1	ٱلْ				DET	PREFIX	PREFIX|Al+							
100	9	7	2	100:9:7:2	قُبُورِ	قَبْر	ق ب ر	ق ب ر	N	STEM	STEM|POS:N|LEM:qabor|ROOT:qbr|MP|GEN							
100	10	1	1	100:10:1:1	وَ				CONJ	PREFIX	PREFIX|w:CONJ+							
100	10	1	2	100:10:1:2	حُصِّلَ	حُصِّلَ	ح ص ل	ح ص ل	V	STEM	STEM|POS:V|PERF|PASS|(II)|LEM:HuS~ila|ROOT:HSl|3MS	PERF		PASS	II			
100	10	2	1	100:10:2:1	مَا	مَا			REL	STEM	STEM|POS:REL|LEM:maA							
100	10	3	1	100:10:3:1	فِى	فِى			P	STEM	STEM|POS:P|LEM:fiY							
100	10	4	1	100:10:4:1	ٱل				DET	PREFIX	PREFIX|Al+							
100	10	4	2	100:10:4:2	صُّدُورِ	صَدْر	ص د ر	ص د ر	N	STEM	STEM|POS:N|LEM:Sador|ROOT:Sdr|MP|GEN							
100	11	1	1	100:11:1:1	إِنَّ	إِنّ			ACC	STEM	STEM|POS:ACC|LEM:<in~|SP:<in~							
100	11	2	1	100:11:2:1	رَبَّ	رَبّ	ر ب ب	ر ب ب	N	STEM	STEM|POS:N|LEM:rab~|ROOT:rbb|M|ACC							
100	11	2	2	100:11:2:2	هُم				PRON	SUFFIX	SUFFIX|PRON:3MP							
100	11	3	1	100:11:3:1	بِ				P	PREFIX	PREFIX|bi+							
100	11	3	2	100:11:3:2	هِمْ				PRON	STEM	STEM|POS:PRON|3MP							
100	11	4	1	100:11:4:1	يَوْمَئِذٍ	يَوْمَئِذ			T	STEM	STEM|POS:T|LEM:yawoma}i*							
100	11	5	1	100:11:5:1	لَّ				EMPH	PREFIX	PREFIX|l:EMPH+							
100	11	5	2	100:11:5:2	خَبِيرٌۢ	خَبِير	خ ب ر	خ ب ر	N	STEM	STEM|POS:N|LEM:xabiyr|ROOT:xbr|MS|INDEF|NOM							
