syntax_edge_id	attachment_edge_id	ayah_ref	source_word_id	target_word_id	prep_word_id	source_morpheme_id	target_morpheme_id	prep_morpheme_id	source_qac_ref	target_qac_ref	prep_qac_ref	source_attachment_unit_id	target_attachment_unit_id	prep_attachment_unit_id	source_position	target_position	prep_position	relation	status	confidence	source_part	target_part	source_form_tag	target_form_tag	object_type	prep_base	binding_status	evidence	reason	source_pointer
sx-103_0-00001	ae:v3:s001:001:pass1:attach:a1	103:0	w-s103-a000-w001	w-s103-a000-w001	w-s103-a000-w001	m-w-s103-a000-w001-01	m-w-s103-a000-w001-02	m-w-s103-a000-w001-01	1:1:1:1	1:1:1:2	1:1:1:1	q:1:1:1	q:1:1:2	q:1:1:1	1	2	1	prep_complement	strongly_licensed	high			PREP	NOUN_ABSTRACT		بـ	position_morpheme_aligned	case_government;formulaic_construction	سْمِ is governed by the prefixed بِ in the formula بِسْمِ.	resources/attachments.tsv:2
sx-103_0-00002	ae:v3:s001:001:pass1:attach:a2	103:0	w-s103-a000-w001	w-s103-a000-w002		m-w-s103-a000-w001-02	m-w-s103-a000-w002-01		1:1:1:2	1:1:2:1		q:1:1:2	q:1:1:3		2	3		idafa	syntactically_forced	high			NOUN_ABSTRACT	NOUN_PROP			position_morpheme_aligned	case_government;local_syntax	ٱللَّهِ is the genitive muḍāf ilayhi of سْمِ.	resources/attachments.tsv:3
sx-103_0-00003	ae:v3:s001:001:pass1:attach:a3	103:0	w-s103-a000-w002	w-s103-a000-w003		m-w-s103-a000-w002-01	m-w-s103-a000-w003-02		1:1:2:1	1:1:3:2		q:1:1:3	q:1:1:4		3	4		adjective	strongly_licensed	high			NOUN_PROP	NOUN_PROP			position_morpheme_aligned	agreement;local_syntax	ٱلرَّحْمَٰنِ follows ٱللَّهِ in genitive definiteness as an adjectival divine epithet.	resources/attachments.tsv:4
sx-103_0-00004	ae:v3:s001:001:pass1:attach:a4	103:0	w-s103-a000-w002	w-s103-a000-w003		m-w-s103-a000-w002-01	m-w-s103-a000-w003-02		1:1:2:1	1:1:3:2		q:1:1:3	q:1:1:5		3	5		adjective	strongly_licensed	high			NOUN_PROP	NOUN_PROP			fallback_morpheme_aligned	agreement;local_syntax	ٱلرَّحِيمِ follows ٱللَّهِ in the same genitive adjectival series.	resources/attachments.tsv:5
sx-103_1-00005	ae:v3:s103:001:pass1:attach:a1	103:1	w-s103-a001-w001	w-s103-a001-w001		m-w-s103-a001-w001-03	m-w-s103-a001-w001-03		103:1:1:3	103:1:1:3		q:103:1:1	q:103:1:2		1	2		particle_complement	syntactically_forced	high			CONJ	NOUN_ABSTRACT			position_morpheme_aligned	case_government;formulaic_construction	وَ functions as the oath particle and governs ٱلْعَصْرِ in the oath phrase.	resources/attachments.tsv:58241
sx-103_2-00006	ae:v3:s103:002:pass1:attach:a1	103:2	w-s103-a002-w001	w-s103-a002-w002		m-w-s103-a002-w001-01	m-w-s103-a002-w002-02		103:2:1:1	103:2:2:2		q:103:2:1	q:103:2:2		1	2		particle_complement	syntactically_forced	high			ANNUL_PART	NOUN_CONCRETE			position_morpheme_aligned	case_government;local_syntax	ٱلْإِنسَٰنَ is the governed ism of إِنَّ.	resources/attachments.tsv:58242
sx-103_2-00007	ae:v3:s103:002:pass1:attach:a2	103:2	w-s103-a002-w001	w-s103-a002-w004	w-s103-a002-w003	m-w-s103-a002-w001-01	m-w-s103-a002-w004-01	m-w-s103-a002-w003-02	103:2:1:1	103:2:4:1	103:2:3:2	q:103:2:1	q:103:2:4	q:103:2:3	1	4	3	prep_complement	syntactically_forced	high			ANNUL_PART	GERUND		فِي	fallback_morpheme_aligned	case_government;local_syntax	خُسْرٍ is governed by فِى inside the khabar of إِنَّ.	resources/attachments.tsv:58243
sx-103_2-00008	ae:v3:s103:002:pass1:attach:a3	103:2	w-s103-a002-w001	w-s103-a002-w004		m-w-s103-a002-w001-01	m-w-s103-a002-w004-01		103:2:1:1	103:2:4:1		q:103:2:1	q:103:2:4		1	4		predication	strongly_licensed	high			ANNUL_PART	GERUND			fallback_morpheme_aligned	local_syntax	لَفِى خُسْرٍ supplies the khabar predication for إِنَّ.	resources/attachments.tsv:58244
sx-103_3-00009	ae:v3:s103:003:pass1:attach:a1	103:3	w-s103-a003-w001	w-s103-a003-w002		m-w-s103-a003-w001-01	m-w-s103-a003-w002-01		103:3:1:1	103:3:2:1		q:103:3:1	q:103:3:2		1	2		exception	strongly_licensed	high			EXCEPT_PART	REL_PRON			position_morpheme_aligned	local_syntax	إِلَّا marks ٱلَّذِينَ as the excepted group, with ءَامَنُوا through بِٱلصَّبْرِ completing its scope.	resources/attachments.tsv:58245
sx-103_3-00010	ae:v3:s103:003:pass1:attach:a2	103:3	w-s103-a003-w003	w-s103-a003-w004		m-w-s103-a003-w003-01	m-w-s103-a003-w004-02		103:3:3:1	103:3:4:2		q:103:3:3	q:103:3:5		3	5		conjoined	strongly_licensed	high			PV	PV			position_morpheme_aligned	local_syntax;parallelism	وَ links عَمِلُوا as a coordinated predicate after ءَامَنُوا.	resources/attachments.tsv:58246
