word_id	morpheme_ids	root_id	binding_status
w-s053-a000-w001	m-w-s053-a000-w001-02	root_000745	resolved_source_exact
w-s053-a000-w002	m-w-s053-a000-w002-01	root_000047	resolved_normalized_exact
w-s053-a000-w003	m-w-s053-a000-w003-02	root_000552	resolved_source_exact
w-s053-a000-w004	m-w-s053-a000-w004-02	root_000552	resolved_source_exact
w-s053-a001-w001	m-w-s053-a001-w001-03	root_001475	resolved_source_exact
w-s053-a001-w003	m-w-s053-a001-w003-01	root_001609	resolved_source_exact
w-s053-a002-w002	m-w-s053-a002-w002-01	root_000913	resolved_source_exact
w-s053-a002-w003	m-w-s053-a002-w003-01	root_000844	resolved_source_exact
w-s053-a002-w005	m-w-s053-a002-w005-01	root_001116	resolved_source_exact
w-s053-a003-w002	m-w-s053-a003-w002-01	root_001519	resolved_source_exact
w-s053-a003-w004	m-w-s053-a003-w004-02	root_001609	resolved_source_exact
w-s053-a004-w004	m-w-s053-a004-w004-01	root_001633	resolved_source_exact
w-s053-a004-w005	m-w-s053-a004-w005-01	root_001633	resolved_source_exact
w-s053-a005-w001	m-w-s053-a005-w001-01	root_001040	resolved_source_exact
w-s053-a005-w002	m-w-s053-a005-w002-01	root_000782	resolved_source_exact
w-s053-a005-w003	m-w-s053-a005-w003-02	root_001274	resolved_source_exact
w-s053-a006-w002	m-w-s053-a006-w002-01	root_001414	resolved_source_exact
w-s053-a006-w003	m-w-s053-a006-w003-02	root_000766	resolved_source_exact
w-s053-a007-w002	m-w-s053-a007-w002-03	root_000040	resolved_normalized_exact
w-s053-a007-w003	m-w-s053-a007-w003-02	root_001042	resolved_source_exact
w-s053-a008-w002	m-w-s053-a008-w002-01	root_000493	resolved_source_exact
w-s053-a008-w003	m-w-s053-a008-w003-02	root_000485	resolved_source_exact
w-s053-a009-w001	m-w-s053-a009-w001-02	root_001332	resolved_source_exact
w-s053-a009-w002	m-w-s053-a009-w002-01	root_001267	resolved_source_exact
w-s053-a009-w003	m-w-s053-a009-w003-01	root_001269	resolved_source_exact
w-s053-a009-w005	m-w-s053-a009-w005-01	root_000493	resolved_source_exact
w-s053-a010-w001	m-w-s053-a010-w001-02	root_001633	resolved_source_exact
w-s053-a010-w003	m-w-s053-a010-w003-01	root_000973	resolved_source_exact
w-s053-a010-w005	m-w-s053-a010-w005-01	root_001633	resolved_source_exact
w-s053-a011-w002	m-w-s053-a011-w002-01	root_001290	resolved_source_exact
w-s053-a011-w003	m-w-s053-a011-w003-02	root_001122	resolved_normalized_exact
w-s053-a011-w005	m-w-s053-a011-w005-01	root_000531	resolved_normalized_exact
w-s053-a012-w001	m-w-s053-a012-w001-03	root_001416	resolved_source_exact
w-s053-a012-w004	m-w-s053-a012-w004-01	root_000531	resolved_normalized_exact
w-s053-a013-w002	m-w-s053-a013-w002-01	root_000531	resolved_normalized_exact
w-s053-a013-w003	m-w-s053-a013-w003-01	root_001492	resolved_source_exact
w-s053-a013-w004	m-w-s053-a013-w004-01	root_000019	resolved_normalized_exact
w-s053-a014-w001	m-w-s053-a014-w001-01	root_001052	resolved_source_exact
w-s053-a014-w002	m-w-s053-a014-w002-01	root_000688	resolved_source_exact
w-s053-a014-w003	m-w-s053-a014-w003-02	root_001560	resolved_source_exact
w-s053-a015-w001	m-w-s053-a015-w001-01	root_001052	resolved_source_exact
w-s053-a015-w002	m-w-s053-a015-w002-01	root_000266	resolved_source_exact
w-s053-a015-w003	m-w-s053-a015-w003-02	root_000070	resolved_normalized_exact
w-s053-a016-w002	m-w-s053-a016-w002-01	root_001088	resolved_source_exact
w-s053-a016-w003	m-w-s053-a016-w003-02	root_000688	resolved_source_exact
w-s053-a016-w005	m-w-s053-a016-w005-01	root_001088	resolved_source_exact
