word_id	ayah_ref	qac_ayah_ref	word_index	qac_word_ref	surface_ar	lemma_ar	root	pos	aspect	mood	voice	measure	morphology_summary
w-s069-a000-w001	69:0	1:1	1	1:1:1	بِسْمِ	ٱسْم	س م و	N					PREFIX|bi+ | STEM|POS:N|LEM:{som|ROOT:smw|M|GEN
w-s069-a000-w002	69:0	1:1	2	1:1:2	ٱللَّهِ	ٱللَّه	ء ل ه	PN					STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|GEN
w-s069-a000-w003	69:0	1:1	3	1:1:3	ٱلرَّحْمَٰنِ	رَّحْمَٰن	ر ح م	ADJ					PREFIX|Al+ | STEM|POS:ADJ|LEM:r~aHoma`n|ROOT:rHm|MS|GEN
w-s069-a000-w004	69:0	1:1	4	1:1:4	ٱلرَّحِيمِ	رَّحِيم	ر ح م	ADJ					PREFIX|Al+ | STEM|POS:ADJ|LEM:r~aHiym|ROOT:rHm|MS|GEN
w-s069-a001-w001	69:1	69:1	1	69:1:1	ٱلْحَآقَّةُ	حَآقَّة	ح ق ق	N			ACT		PREFIX|Al+ | STEM|POS:N|ACT|PCPL|LEM:HaA^q~ap|ROOT:Hqq|F|NOM
w-s069-a002-w001	69:2	69:2	1	69:2:1	مَا	مَا		INTG					STEM|POS:INTG|LEM:maA
w-s069-a002-w002	69:2	69:2	2	69:2:2	ٱلْحَآقَّةُ	حَآقَّة	ح ق ق	N			ACT		PREFIX|Al+ | STEM|POS:N|ACT|PCPL|LEM:HaA^q~ap|ROOT:Hqq|F|NOM
w-s069-a003-w001	69:3	69:3	1	69:3:1	وَمَآ	مَا		INTG					PREFIX|w:CONJ+ | STEM|POS:INTG|LEM:maA
w-s069-a003-w002	69:3	69:3	2	69:3:2	أَدْرَىٰكَ	أَدْرَىٰ	د ر ي	V	PERF			IV	STEM|POS:V|PERF|(IV)|LEM:>adoraY`|ROOT:dry|3MS | SUFFIX|PRON:2MS
w-s069-a003-w003	69:3	69:3	3	69:3:3	مَا	مَا		INTG					STEM|POS:INTG|LEM:maA
w-s069-a003-w004	69:3	69:3	4	69:3:4	ٱلْحَآقَّةُ	حَآقَّة	ح ق ق	N			ACT		PREFIX|Al+ | STEM|POS:N|ACT|PCPL|LEM:HaA^q~ap|ROOT:Hqq|F|NOM
w-s069-a004-w001	69:4	69:4	1	69:4:1	كَذَّبَتْ	كَذَّبَ	ك ذ ب	V	PERF			II	STEM|POS:V|PERF|(II)|LEM:ka*~aba|ROOT:k*b|3FS
w-s069-a004-w002	69:4	69:4	2	69:4:2	ثَمُودُ	ثَمُود		PN					STEM|POS:PN|LEM:vamuwd|NOM
w-s069-a004-w003	69:4	69:4	3	69:4:3	وَعَادٌۢ	عَاد2	ع و د	PN					PREFIX|w:CONJ+ | STEM|POS:PN|LEM:EaAd2|ROOT:Ewd|NOM
