syntax_edge_id	attachment_edge_id	ayah_ref	source_word_id	target_word_id	prep_word_id	source_morpheme_id	target_morpheme_id	prep_morpheme_id	source_qac_ref	target_qac_ref	prep_qac_ref	source_attachment_unit_id	target_attachment_unit_id	prep_attachment_unit_id	source_position	target_position	prep_position	relation	status	confidence	source_part	target_part	source_form_tag	target_form_tag	object_type	prep_base	binding_status	evidence	reason	source_pointer
sx-91_0-00001	ae:v3:s001:001:pass1:attach:a1	91:0	w-s091-a000-w001	w-s091-a000-w001	w-s091-a000-w001	m-w-s091-a000-w001-01	m-w-s091-a000-w001-02	m-w-s091-a000-w001-01	1:1:1:1	1:1:1:2	1:1:1:1	q:1:1:1	q:1:1:2	q:1:1:1	1	2	1	prep_complement	strongly_licensed	high			PREP	NOUN_ABSTRACT		بـ	position_morpheme_aligned	case_government;formulaic_construction	سْمِ is governed by the prefixed بِ in the formula بِسْمِ.	resources/attachments.tsv:2
sx-91_0-00002	ae:v3:s001:001:pass1:attach:a2	91:0	w-s091-a000-w001	w-s091-a000-w002		m-w-s091-a000-w001-02	m-w-s091-a000-w002-01		1:1:1:2	1:1:2:1		q:1:1:2	q:1:1:3		2	3		idafa	syntactically_forced	high			NOUN_ABSTRACT	NOUN_PROP			position_morpheme_aligned	case_government;local_syntax	ٱللَّهِ is the genitive muḍāf ilayhi of سْمِ.	resources/attachments.tsv:3
sx-91_0-00003	ae:v3:s001:001:pass1:attach:a3	91:0	w-s091-a000-w002	w-s091-a000-w003		m-w-s091-a000-w002-01	m-w-s091-a000-w003-02		1:1:2:1	1:1:3:2		q:1:1:3	q:1:1:4		3	4		adjective	strongly_licensed	high			NOUN_PROP	NOUN_PROP			position_morpheme_aligned	agreement;local_syntax	ٱلرَّحْمَٰنِ follows ٱللَّهِ in genitive definiteness as an adjectival divine epithet.	resources/attachments.tsv:4
sx-91_0-00004	ae:v3:s001:001:pass1:attach:a4	91:0	w-s091-a000-w002	w-s091-a000-w003		m-w-s091-a000-w002-01	m-w-s091-a000-w003-02		1:1:2:1	1:1:3:2		q:1:1:3	q:1:1:5		3	5		adjective	strongly_licensed	high			NOUN_PROP	NOUN_PROP			fallback_morpheme_aligned	agreement;local_syntax	ٱلرَّحِيمِ follows ٱللَّهِ in the same genitive adjectival series.	resources/attachments.tsv:5
sx-91_1-00005	ae:v3:s091:001:pass1:attach:a1	91:1	w-s091-a001-w001	w-s091-a001-w001		m-w-s091-a001-w001-03	m-w-s091-a001-w001-03		91:1:1:3	91:1:1:3		q:91:1:1	q:91:1:2		1	2		particle_complement	syntactically_forced	high			CONJ	NOUN_CONCRETE			position_morpheme_aligned	case_government;local_syntax	وَ is واو القسم and ٱلشَّمْسِ is its genitive oath complement.	resources/attachments.tsv:57796
sx-91_1-00006	ae:v3:s091:001:pass1:attach:a2	91:1	w-s091-a001-w001	w-s091-a001-w002		m-w-s091-a001-w001-03	m-w-s091-a001-w002-02		91:1:1:3	91:1:2:2		q:91:1:2	q:91:1:4		2	4		conjoined	strongly_licensed	high			NOUN_CONCRETE	NOUN_ABSTRACT			position_morpheme_aligned	parallelism;local_syntax	وَ joins ضُحَىٰهَا to ٱلشَّمْسِ as a second oath term.	resources/attachments.tsv:57797
sx-91_1-00007	ae:v3:s091:001:pass1:attach:a3	91:1	w-s091-a001-w002	w-s091-a001-w002		m-w-s091-a001-w002-02	m-w-s091-a001-w002-02		91:1:2:2	91:1:2:2		q:91:1:4	q:91:1:4		4	4		idafa	syntactically_forced	high	whole_word	possessive_suffix	NOUN_ABSTRACT				position_morpheme_aligned	morphology;local_syntax	The suffix هَا in ضُحَىٰهَا is a possessive genitive linked to ضُحَى.	resources/attachments.tsv:57798
sx-91_2-00008	ae:v3:s091:002:pass1:attach:a1	91:2	w-s091-a002-w001	w-s091-a002-w001		m-w-s091-a002-w001-01	m-w-s091-a002-w001-03		91:2:1:1	91:2:1:3		q:91:2:1	q:91:2:2		1	2		particle_complement	syntactically_forced	high			CONJ	NOUN_CONCRETE			position_morpheme_aligned	case_government;local_syntax	وَ is oath wāw and ٱلْقَمَرِ is its genitive oath complement.	resources/attachments.tsv:57799
sx-91_2-00009	ae:v3:s091:002:pass1:attach:a2	91:2	w-s091-a002-w003	w-s091-a002-w002		m-w-s091-a002-w003-01	m-w-s091-a002-w002-01		91:2:3:1	91:2:2:1		q:91:2:4	q:91:2:3		4	3		adverbial	syntactically_forced	high			PV	ADV			position_morpheme_aligned	local_syntax	إِذَا sets the temporal condition for تَلَىٰهَا.	resources/attachments.tsv:57800
sx-91_2-00010	ae:v3:s091:002:pass1:attach:a3	91:2	w-s091-a002-w003	w-s091-a002-w003		m-w-s091-a002-w003-01	m-w-s091-a002-w003-02		91:2:3:1	91:2:3:2		q:91:2:4	q:91:2:4		4	4		direct_object	syntactically_forced	high	whole_word	object_suffix	PV		clitic		position_morpheme_aligned	morphology;local_syntax	The suffix هَا on تَلَىٰهَا is the object followed by تَلَى.	resources/attachments.tsv:57801
