syntax_edge_id	attachment_edge_id	ayah_ref	source_word_id	target_word_id	prep_word_id	source_morpheme_id	target_morpheme_id	prep_morpheme_id	source_qac_ref	target_qac_ref	prep_qac_ref	source_attachment_unit_id	target_attachment_unit_id	prep_attachment_unit_id	source_position	target_position	prep_position	relation	status	confidence	source_part	target_part	source_form_tag	target_form_tag	object_type	prep_base	binding_status	evidence	reason	source_pointer
sx-114_0-00001	ae:v3:s001:001:pass1:attach:a1	114:0	w-s114-a000-w001	w-s114-a000-w001	w-s114-a000-w001	m-w-s114-a000-w001-01	m-w-s114-a000-w001-02	m-w-s114-a000-w001-01	1:1:1:1	1:1:1:2	1:1:1:1	q:1:1:1	q:1:1:2	q:1:1:1	1	2	1	prep_complement	strongly_licensed	high			PREP	NOUN_ABSTRACT		بـ	position_morpheme_aligned	case_government;formulaic_construction	سْمِ is governed by the prefixed بِ in the formula بِسْمِ.	resources/attachments.tsv:2
sx-114_0-00002	ae:v3:s001:001:pass1:attach:a2	114:0	w-s114-a000-w001	w-s114-a000-w002		m-w-s114-a000-w001-02	m-w-s114-a000-w002-01		1:1:1:2	1:1:2:1		q:1:1:2	q:1:1:3		2	3		idafa	syntactically_forced	high			NOUN_ABSTRACT	NOUN_PROP			position_morpheme_aligned	case_government;local_syntax	ٱللَّهِ is the genitive muḍāf ilayhi of سْمِ.	resources/attachments.tsv:3
sx-114_0-00003	ae:v3:s001:001:pass1:attach:a3	114:0	w-s114-a000-w002	w-s114-a000-w003		m-w-s114-a000-w002-01	m-w-s114-a000-w003-02		1:1:2:1	1:1:3:2		q:1:1:3	q:1:1:4		3	4		adjective	strongly_licensed	high			NOUN_PROP	NOUN_PROP			position_morpheme_aligned	agreement;local_syntax	ٱلرَّحْمَٰنِ follows ٱللَّهِ in genitive definiteness as an adjectival divine epithet.	resources/attachments.tsv:4
sx-114_0-00004	ae:v3:s001:001:pass1:attach:a4	114:0	w-s114-a000-w002	w-s114-a000-w003		m-w-s114-a000-w002-01	m-w-s114-a000-w003-02		1:1:2:1	1:1:3:2		q:1:1:3	q:1:1:5		3	5		adjective	strongly_licensed	high			NOUN_PROP	NOUN_PROP			fallback_morpheme_aligned	agreement;local_syntax	ٱلرَّحِيمِ follows ٱللَّهِ in the same genitive adjectival series.	resources/attachments.tsv:5
sx-114_1-00005	ae:v3:s114:001:pass1:attach:a1	114:1	w-s114-a001-w001	w-s114-a001-w002		m-w-s114-a001-w001-01	m-w-s114-a001-w002-01		114:1:1:1	114:1:2:1		q:114:1:1	q:114:1:2		1	2		quoted_complement	syntactically_forced	high			CV	IV			position_morpheme_aligned	local_syntax	The utterance أَعُوذُ بِرَبِّ ٱلنَّاسِ is the quoted content governed by قُلْ.	resources/attachments.tsv:58419
sx-114_1-00006	ae:v3:s114:001:pass1:attach:a2	114:1	w-s114-a001-w002	w-s114-a001-w003	w-s114-a001-w003	m-w-s114-a001-w002-01	m-w-s114-a001-w003-02	m-w-s114-a001-w003-01	114:1:2:1	114:1:3:2	114:1:3:1	q:114:1:2	q:114:1:3	q:114:1:3	2	3	3	prep_complement	syntactically_forced	high			IV	NOUN_CONCRETE		بـ	position_morpheme_aligned	case_government;local_syntax	بِ in بِرَبِّ marks رَبِّ as the prepositional complement of أَعُوذُ.	resources/attachments.tsv:58420
sx-114_1-00007	ae:v3:s114:001:pass1:attach:a3	114:1	w-s114-a001-w003	w-s114-a001-w004		m-w-s114-a001-w003-02	m-w-s114-a001-w004-02		114:1:3:2	114:1:4:2		q:114:1:3	q:114:1:4		3	4		idafa	syntactically_forced	high			NOUN_CONCRETE	NOUN_CONCRETE			fallback_morpheme_aligned	case_government;local_syntax	ٱلنَّاسِ completes the construct رَبِّ as its genitive complement.	resources/attachments.tsv:58421
sx-114_2-00008	ae:v3:s114:002:pass1:attach:a1	114:2	w-s114-a002-w001	w-s114-a002-w002		m-w-s114-a002-w001-01	m-w-s114-a002-w002-02		114:2:1:1	114:2:2:2		q:114:2:1	q:114:2:2		1	2		idafa	syntactically_forced	high			NOUN_CONCRETE	NOUN_CONCRETE			position_morpheme_aligned	case_government;local_syntax	ٱلنَّاسِ completes the construct مَلِكِ as its genitive complement.	resources/attachments.tsv:58422
sx-114_3-00009	ae:v3:s114:003:pass1:attach:a1	114:3	w-s114-a003-w001	w-s114-a003-w002		m-w-s114-a003-w001-01	m-w-s114-a003-w002-02		114:3:1:1	114:3:2:2		q:114:3:1	q:114:3:2		1	2		idafa	syntactically_forced	high			NOUN_CONCRETE	NOUN_CONCRETE			position_morpheme_aligned	case_government;local_syntax	ٱلنَّاسِ completes the construct إِلَٰهِ as its genitive complement.	resources/attachments.tsv:58423
sx-114_4-00010	ae:v3:s114:004:pass1:attach:a1	114:4	w-s114-a004-w002	w-s114-a004-w003		m-w-s114-a004-w002-01	m-w-s114-a004-w003-02		114:4:2:1	114:4:3:2		q:114:4:2	q:114:4:3		2	3		idafa	syntactically_forced	high			NOUN_ABSTRACT	NOUN_PROP			position_morpheme_aligned	case_government;local_syntax	ٱلْوَسْوَاسِ completes the construct شَرِّ as its genitive complement.	resources/attachments.tsv:58424
