source_token_id	ayah_ref	source_token_index	surface_ar	word_ids	qac_word_refs	binding_status
t-s051-a000-w001	51:0	1	بِسْمِ	w-s051-a000-w001	1:1:1	one_to_one
t-s051-a000-w002	51:0	2	ٱللَّهِ	w-s051-a000-w002	1:1:2	one_to_one
t-s051-a000-w003	51:0	3	ٱلرَّحْمَٰنِ	w-s051-a000-w003	1:1:3	one_to_one
t-s051-a000-w004	51:0	4	ٱلرَّحِيمِ	w-s051-a000-w004	1:1:4	one_to_one
t-s051-a001-w001	51:1	1	وَٱلذَّٰرِيَٰتِ	w-s051-a001-w001	51:1:1	one_to_one
t-s051-a001-w002	51:1	2	ذَرْوًۭا	w-s051-a001-w002	51:1:2	one_to_one
t-s051-a002-w001	51:2	1	فَٱلْحَٰمِلَٰتِ	w-s051-a002-w001	51:2:1	one_to_one
t-s051-a002-w002	51:2	2	وِقْرًۭا	w-s051-a002-w002	51:2:2	one_to_one
t-s051-a003-w001	51:3	1	فَٱلْجَٰرِيَٰتِ	w-s051-a003-w001	51:3:1	one_to_one
t-s051-a003-w002	51:3	2	يُسْرًۭا	w-s051-a003-w002	51:3:2	one_to_one
t-s051-a004-w001	51:4	1	فَٱلْمُقَسِّمَٰتِ	w-s051-a004-w001	51:4:1	one_to_one
t-s051-a004-w002	51:4	2	أَمْرًا	w-s051-a004-w002	51:4:2	one_to_one
t-s051-a005-w001	51:5	1	إِنَّمَا	w-s051-a005-w001	51:5:1	one_to_one
t-s051-a005-w002	51:5	2	تُوعَدُونَ	w-s051-a005-w002	51:5:2	one_to_one
t-s051-a005-w003	51:5	3	لَصَادِقٌۭ	w-s051-a005-w003	51:5:3	one_to_one
t-s051-a006-w001	51:6	1	وَإِنَّ	w-s051-a006-w001	51:6:1	one_to_one
t-s051-a006-w002	51:6	2	ٱلدِّينَ	w-s051-a006-w002	51:6:2	one_to_one
t-s051-a006-w003	51:6	3	لَوَٰقِعٌۭ	w-s051-a006-w003	51:6:3	one_to_one
t-s051-a007-w001	51:7	1	وَٱلسَّمَآءِ	w-s051-a007-w001	51:7:1	one_to_one
t-s051-a007-w002	51:7	2	ذَاتِ	w-s051-a007-w002	51:7:2	one_to_one
t-s051-a007-w003	51:7	3	ٱلْحُبُكِ	w-s051-a007-w003	51:7:3	one_to_one
t-s051-a008-w001	51:8	1	إِنَّكُمْ	w-s051-a008-w001	51:8:1	one_to_one
t-s051-a008-w002	51:8	2	لَفِى	w-s051-a008-w002	51:8:2	one_to_one
t-s051-a008-w003	51:8	3	قَوْلٍۢ	w-s051-a008-w003	51:8:3	one_to_one
t-s051-a008-w004	51:8	4	مُّخْتَلِفٍۢ	w-s051-a008-w004	51:8:4	one_to_one
t-s051-a009-w001	51:9	1	يُؤْفَكُ	w-s051-a009-w001	51:9:1	one_to_one
t-s051-a009-w002	51:9	2	عَنْهُ	w-s051-a009-w002	51:9:2	one_to_one
t-s051-a009-w003	51:9	3	مَنْ	w-s051-a009-w003	51:9:3	one_to_one
t-s051-a009-w004	51:9	4	أُفِكَ	w-s051-a009-w004	51:9:4	one_to_one
