surah	ayah	word_index	morpheme_index	qac_ref	surface_ar	lemma_ar	root_ar	root_norm	pos	morpheme_role	morph_features	aspect	mood	voice	measure	person	number	gender
112	1	1	1	112:1:1:1	قُلْ	قَالَ	ق و ل	ق و ل	V	STEM	STEM|POS:V|IMPV|LEM:qaAla|ROOT:qwl|2MS	IMPV						
112	1	2	1	112:1:2:1	هُوَ				PRON	STEM	STEM|POS:PRON|3MS							
112	1	3	1	112:1:3:1	ٱللَّهُ	ٱللَّه	ء ل ه	ء ل ه	PN	STEM	STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|NOM							
112	1	4	1	112:1:4:1	أَحَدٌ	أَحَد	ء ح د	ء ح د	N	STEM	STEM|POS:N|LEM:>aHad|ROOT:AHd|M|INDEF|NOM							
112	2	1	1	112:2:1:1	ٱللَّهُ	ٱللَّه	ء ل ه	ء ل ه	PN	STEM	STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|NOM							
112	2	2	1	112:2:2:1	ٱل				DET	PREFIX	PREFIX|Al+							
112	2	2	2	112:2:2:2	صَّمَدُ	صَّمَد	ص م د	ص م د	N	STEM	STEM|POS:N|LEM:S~amad|ROOT:Smd|MS|NOM							
112	3	1	1	112:3:1:1	لَمْ	لَم			NEG	STEM	STEM|POS:NEG|LEM:lam							
112	3	2	1	112:3:2:1	يَلِدْ	وَلَدَ	و ل د	و ل د	V	STEM	STEM|POS:V|IMPF|LEM:walada|ROOT:wld|3MS|MOOD:JUS	IMPF	JUS					
112	3	3	1	112:3:3:1	وَ				CONJ	PREFIX	PREFIX|w:CONJ+							
112	3	3	2	112:3:3:2	لَمْ	لَم			NEG	STEM	STEM|POS:NEG|LEM:lam							
112	3	4	1	112:3:4:1	يُولَدْ	وَلَدَ	و ل د	و ل د	V	STEM	STEM|POS:V|IMPF|PASS|LEM:walada|ROOT:wld|3MS|MOOD:JUS	IMPF	JUS	PASS				
112	4	1	1	112:4:1:1	وَ				CONJ	PREFIX	PREFIX|w:CONJ+							
112	4	1	2	112:4:1:2	لَمْ	لَم			NEG	STEM	STEM|POS:NEG|LEM:lam							
112	4	2	1	112:4:2:1	يَكُن	كَانَ	ك و ن	ك و ن	V	STEM	STEM|POS:V|IMPF|LEM:kaAna|ROOT:kwn|SP:kaAn|3MS|MOOD:JUS	IMPF	JUS					
112	4	3	1	112:4:3:1	لَّ				P	PREFIX	PREFIX|l:P+							
112	4	3	2	112:4:3:2	هُۥ				PRON	STEM	STEM|POS:PRON|3MS							
112	4	4	1	112:4:4:1	كُفُوًا	كُفُو	ك ف ء	ك ف ء	N	STEM	STEM|POS:N|LEM:kufuw|ROOT:kfA|M|INDEF|ACC							
112	4	5	1	112:4:5:1	أَحَدٌۢ	أَحَد	ء ح د	ء ح د	N	STEM	STEM|POS:N|LEM:>aHad|ROOT:AHd|M|INDEF|NOM							
