word_id	ayah_ref	qac_ayah_ref	word_index	qac_word_ref	surface_ar	lemma_ar	root	pos	aspect	mood	voice	measure	morphology_summary
w-s033-a000-w001	33:0	1:1	1	1:1:1	بِسْمِ	ٱسْم	س م و	N					PREFIX|bi+ | STEM|POS:N|LEM:{som|ROOT:smw|M|GEN
w-s033-a000-w002	33:0	1:1	2	1:1:2	ٱللَّهِ	ٱللَّه	ء ل ه	PN					STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|GEN
w-s033-a000-w003	33:0	1:1	3	1:1:3	ٱلرَّحْمَٰنِ	رَّحْمَٰن	ر ح م	ADJ					PREFIX|Al+ | STEM|POS:ADJ|LEM:r~aHoma`n|ROOT:rHm|MS|GEN
w-s033-a000-w004	33:0	1:1	4	1:1:4	ٱلرَّحِيمِ	رَّحِيم	ر ح م	ADJ					PREFIX|Al+ | STEM|POS:ADJ|LEM:r~aHiym|ROOT:rHm|MS|GEN
w-s033-a001-w001	33:1	33:1	1	33:1:1	يَٰٓأَيُّهَا	أَيُّهَا		N					PREFIX|ya+ | STEM|POS:N|LEM:>ay~uhaA|NOM
w-s033-a001-w002	33:1	33:1	2	33:1:2	ٱلنَّبِىُّ	نَّبِىّ	ن ب ء	N					PREFIX|Al+ | STEM|POS:N|LEM:n~abiY~|ROOT:nbA|M|NOM
w-s033-a001-w003	33:1	33:1	3	33:1:3	ٱتَّقِ	ٱتَّقَىٰ	و ق ي	V	IMPV			VIII	STEM|POS:V|IMPV|(VIII)|LEM:{t~aqaY`|ROOT:wqy|2MS
w-s033-a001-w004	33:1	33:1	4	33:1:4	ٱللَّهَ	ٱللَّه	ء ل ه	PN					STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|ACC
w-s033-a001-w005	33:1	33:1	5	33:1:5	وَلَا	لَا		PRO					PREFIX|w:CONJ+ | STEM|POS:PRO|LEM:laA
w-s033-a001-w006	33:1	33:1	6	33:1:6	تُطِعِ	أَطَاعَ	ط و ع	V	IMPF	JUS		IV	STEM|POS:V|IMPF|(IV)|LEM:>aTaAEa|ROOT:TwE|2MS|MOOD:JUS
w-s033-a001-w007	33:1	33:1	7	33:1:7	ٱلْكَٰفِرِينَ	كَٰفِرُون	ك ف ر	N			ACT		PREFIX|Al+ | STEM|POS:N|ACT|PCPL|LEM:ka`firuwn|ROOT:kfr|MP|ACC
w-s033-a001-w008	33:1	33:1	8	33:1:8	وَٱلْمُنَٰفِقِينَ	مُنَٰفِقُون	ن ف ق	N			ACT	III	PREFIX|w:CONJ+ | PREFIX|Al+ | STEM|POS:N|ACT|PCPL|(III)|LEM:muna`fiquwn|ROOT:nfq|MP|ACC
w-s033-a001-w009	33:1	33:1	9	33:1:9	إِنَّ	إِنّ		ACC					STEM|POS:ACC|LEM:<in~|SP:<in~
w-s033-a001-w010	33:1	33:1	10	33:1:10	ٱللَّهَ	ٱللَّه	ء ل ه	PN					STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|ACC
w-s033-a001-w011	33:1	33:1	11	33:1:11	كَانَ	كَانَ	ك و ن	V	PERF				STEM|POS:V|PERF|LEM:kaAna|ROOT:kwn|SP:kaAn|3MS
w-s033-a001-w012	33:1	33:1	12	33:1:12	عَلِيمًا	عَلِيم	ع ل م	N					STEM|POS:N|LEM:Ealiym|ROOT:Elm|MS|INDEF|ACC
w-s033-a001-w013	33:1	33:1	13	33:1:13	حَكِيمًا	حَكِيم	ح ك م	ADJ					STEM|POS:ADJ|LEM:Hakiym|ROOT:Hkm|MS|INDEF|ACC
w-s033-a002-w001	33:2	33:2	1	33:2:1	وَٱتَّبِعْ	ٱتَّبَعَ	ت ب ع	V	IMPV			VIII	PREFIX|w:CONJ+ | STEM|POS:V|IMPV|(VIII)|LEM:{t~abaEa|ROOT:tbE|2MS
w-s033-a002-w002	33:2	33:2	2	33:2:2	مَا	مَا		REL					STEM|POS:REL|LEM:maA
w-s033-a002-w003	33:2	33:2	3	33:2:3	يُوحَىٰٓ	أَوْحَىٰٓ	و ح ي	V	IMPF	SUBJ	PASS	IV	STEM|POS:V|IMPF|PASS|(IV)|LEM:>awoHaY`^|ROOT:wHy|3MS|MOOD:SUBJ
w-s033-a002-w004	33:2	33:2	4	33:2:4	إِلَيْكَ	إِلَىٰ		P					STEM|POS:P|LEM:<ilaY` | SUFFIX|PRON:2MS
w-s033-a002-w005	33:2	33:2	5	33:2:5	مِن	مِن		P					STEM|POS:P|LEM:min
w-s033-a002-w006	33:2	33:2	6	33:2:6	رَّبِّكَ	رَبّ	ر ب ب	N					STEM|POS:N|LEM:rab~|ROOT:rbb|M|GEN | SUFFIX|PRON:2MS
w-s033-a002-w007	33:2	33:2	7	33:2:7	إِنَّ	إِنّ		ACC					STEM|POS:ACC|LEM:<in~|SP:<in~
w-s033-a002-w008	33:2	33:2	8	33:2:8	ٱللَّهَ	ٱللَّه	ء ل ه	PN					STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|ACC
w-s033-a002-w009	33:2	33:2	9	33:2:9	كَانَ	كَانَ	ك و ن	V	PERF				STEM|POS:V|PERF|LEM:kaAna|ROOT:kwn|SP:kaAn|3MS
w-s033-a002-w010	33:2	33:2	10	33:2:10	بِمَا	مَا		REL					PREFIX|bi+ | STEM|POS:REL|LEM:maA
w-s033-a002-w011	33:2	33:2	11	33:2:11	تَعْمَلُونَ	عَمِلَ	ع م ل	V	IMPF				STEM|POS:V|IMPF|LEM:Eamila|ROOT:Eml|2MP | SUFFIX|PRON:2MP
w-s033-a002-w012	33:2	33:2	12	33:2:12	خَبِيرًا	خَبِير	خ ب ر	N					STEM|POS:N|LEM:xabiyr|ROOT:xbr|MS|INDEF|ACC
w-s033-a003-w001	33:3	33:3	1	33:3:1	وَتَوَكَّلْ	تَوَكَّلْ	و ك ل	V	IMPV			V	PREFIX|w:CONJ+ | STEM|POS:V|IMPV|(V)|LEM:tawak~alo|ROOT:wkl|2MS
w-s033-a003-w002	33:3	33:3	2	33:3:2	عَلَى	عَلَىٰ		P					STEM|POS:P|LEM:EalaY`
w-s033-a003-w003	33:3	33:3	3	33:3:3	ٱللَّهِ	ٱللَّه	ء ل ه	PN					STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|GEN
w-s033-a003-w004	33:3	33:3	4	33:3:4	وَكَفَىٰ	كَفَىٰ	ك ف ي	V	PERF				PREFIX|w:CONJ+ | STEM|POS:V|PERF|LEM:kafaY`|ROOT:kfy|3MS
w-s033-a003-w005	33:3	33:3	5	33:3:5	بِٱللَّهِ	ٱللَّه	ء ل ه	PN					PREFIX|bi+ | STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|GEN
w-s033-a003-w006	33:3	33:3	6	33:3:6	وَكِيلًا	وَكِيل	و ك ل	N					STEM|POS:N|LEM:wakiyl|ROOT:wkl|M|INDEF|ACC
w-s033-a004-w001	33:4	33:4	1	33:4:1	مَّا	مَا		NEG					STEM|POS:NEG|LEM:maA
w-s033-a004-w002	33:4	33:4	2	33:4:2	جَعَلَ	جَعَلَ	ج ع ل	V	PERF				STEM|POS:V|PERF|LEM:jaEala|ROOT:jEl|3MS
