cooccurrence_id	ayah_ref	left_word_id	right_word_id	left_root	right_root	word_distance	root_distance_min	root_distance_max	local_pair_count	corpus_window_count	corpus_pair_count	source_pair_id
co-33_0-00001	33:0	w-s033-a000-w002	w-s033-a000-w003	ء ل ه	ر ح م	1	1	2	2	130	254	intra_ayah:1:1:root:1
co-33_0-00002	33:0	w-s033-a000-w002	w-s033-a000-w004	ء ل ه	ر ح م	2	1	2	2	130	254	intra_ayah:1:1:root:1
co-33_0-00003	33:0	w-s033-a000-w002	w-s033-a000-w001	ء ل ه	س م و	1	1	1	1	185	319	intra_ayah:1:1:root:2
co-33_0-00004	33:0	w-s033-a000-w003	w-s033-a000-w001	ر ح م	س م و	2	2	3	2	18	21	intra_ayah:1:1:root:3
co-33_0-00005	33:0	w-s033-a000-w004	w-s033-a000-w001	ر ح م	س م و	3	2	3	2	18	21	intra_ayah:1:1:root:3
co-33_1-00006	33:1	w-s033-a001-w004	w-s033-a001-w013	ء ل ه	ح ك م	9	3	7	2	127	252	intra_ayah:33:1:root:1
co-33_1-00007	33:1	w-s033-a001-w010	w-s033-a001-w013	ء ل ه	ح ك م	3	3	7	2	127	252	intra_ayah:33:1:root:1
co-33_1-00008	33:1	w-s033-a001-w013	w-s033-a001-w012	ح ك م	ع ل م	1	1	1	1	71	94	intra_ayah:33:1:root:10
co-33_1-00009	33:1	w-s033-a001-w013	w-s033-a001-w007	ح ك م	ك ف ر	6	5	5	1	19	29	intra_ayah:33:1:root:11
co-33_1-00010	33:1	w-s033-a001-w013	w-s033-a001-w011	ح ك م	ك و ن	2	2	2	1	48	74	intra_ayah:33:1:root:12
co-33_1-00011	33:1	w-s033-a001-w013	w-s033-a001-w002	ح ك م	ن ب ء	11	9	9	1	10	12	intra_ayah:33:1:root:13
co-33_1-00012	33:1	w-s033-a001-w013	w-s033-a001-w008	ح ك م	ن ف ق	5	4	4	1	5	13	intra_ayah:33:1:root:14
co-33_1-00013	33:1	w-s033-a001-w013	w-s033-a001-w003	ح ك م	و ق ي	10	8	8	1	4	4	intra_ayah:33:1:root:15
co-33_1-00014	33:1	w-s033-a001-w006	w-s033-a001-w012	ط و ع	ع ل م	6	5	5	1	15	19	intra_ayah:33:1:root:16
co-33_1-00015	33:1	w-s033-a001-w006	w-s033-a001-w007	ط و ع	ك ف ر	1	1	1	1	13	14	intra_ayah:33:1:root:17
co-33_1-00016	33:1	w-s033-a001-w006	w-s033-a001-w011	ط و ع	ك و ن	5	4	4	1	28	39	intra_ayah:33:1:root:18
co-33_1-00017	33:1	w-s033-a001-w006	w-s033-a001-w002	ط و ع	ن ب ء	4	3	3	1	5	5	intra_ayah:33:1:root:19
co-33_1-00018	33:1	w-s033-a001-w004	w-s033-a001-w006	ء ل ه	ط و ع	2	1	3	2	72	125	intra_ayah:33:1:root:2
co-33_1-00019	33:1	w-s033-a001-w010	w-s033-a001-w006	ء ل ه	ط و ع	4	1	3	2	72	125	intra_ayah:33:1:root:2
co-33_1-00020	33:1	w-s033-a001-w006	w-s033-a001-w008	ط و ع	ن ف ق	2	2	2	1	9	10	intra_ayah:33:1:root:20
co-33_1-00021	33:1	w-s033-a001-w006	w-s033-a001-w003	ط و ع	و ق ي	3	2	2	1	19	23	intra_ayah:33:1:root:21
co-33_1-00022	33:1	w-s033-a001-w012	w-s033-a001-w007	ع ل م	ك ف ر	5	4	4	1	44	78	intra_ayah:33:1:root:22
co-33_1-00023	33:1	w-s033-a001-w012	w-s033-a001-w011	ع ل م	ك و ن	1	1	1	1	157	243	intra_ayah:33:1:root:23
co-33_1-00024	33:1	w-s033-a001-w012	w-s033-a001-w002	ع ل م	ن ب ء	10	8	8	1	33	46	intra_ayah:33:1:root:24
co-33_1-00025	33:1	w-s033-a001-w012	w-s033-a001-w008	ع ل م	ن ف ق	4	3	3	1	18	39	intra_ayah:33:1:root:25
co-33_1-00026	33:1	w-s033-a001-w012	w-s033-a001-w003	ع ل م	و ق ي	9	7	7	1	31	45	intra_ayah:33:1:root:26
co-33_1-00027	33:1	w-s033-a001-w007	w-s033-a001-w011	ك ف ر	ك و ن	4	3	3	1	123	172	intra_ayah:33:1:root:27
co-33_1-00028	33:1	w-s033-a001-w007	w-s033-a001-w002	ك ف ر	ن ب ء	5	4	4	1	25	30	intra_ayah:33:1:root:28
co-33_1-00029	33:1	w-s033-a001-w007	w-s033-a001-w008	ك ف ر	ن ف ق	1	1	1	1	17	28	intra_ayah:33:1:root:29
co-33_1-00030	33:1	w-s033-a001-w004	w-s033-a001-w012	ء ل ه	ع ل م	8	2	6	2	408	878	intra_ayah:33:1:root:3
co-33_1-00031	33:1	w-s033-a001-w010	w-s033-a001-w012	ء ل ه	ع ل م	2	2	6	2	408	878	intra_ayah:33:1:root:3
co-33_1-00032	33:1	w-s033-a001-w007	w-s033-a001-w003	ك ف ر	و ق ي	4	3	3	1	17	19	intra_ayah:33:1:root:30
co-33_1-00033	33:1	w-s033-a001-w011	w-s033-a001-w002	ك و ن	ن ب ء	9	7	7	1	58	89	intra_ayah:33:1:root:31
co-33_1-00034	33:1	w-s033-a001-w011	w-s033-a001-w008	ك و ن	ن ف ق	3	2	2	1	16	20	intra_ayah:33:1:root:32
co-33_1-00035	33:1	w-s033-a001-w011	w-s033-a001-w003	ك و ن	و ق ي	8	6	6	1	44	58	intra_ayah:33:1:root:33
co-33_1-00036	33:1	w-s033-a001-w002	w-s033-a001-w008	ن ب ء	ن ف ق	6	5	5	1	4	4	intra_ayah:33:1:root:34
co-33_1-00037	33:1	w-s033-a001-w002	w-s033-a001-w003	ن ب ء	و ق ي	1	1	1	1	7	7	intra_ayah:33:1:root:35
co-33_1-00038	33:1	w-s033-a001-w008	w-s033-a001-w003	ن ف ق	و ق ي	5	4	4	1	3	4	intra_ayah:33:1:root:36
co-33_1-00039	33:1	w-s033-a001-w004	w-s033-a001-w007	ء ل ه	ك ف ر	3	2	2	2	225	443	intra_ayah:33:1:root:4
co-33_1-00040	33:1	w-s033-a001-w010	w-s033-a001-w007	ء ل ه	ك ف ر	3	2	2	2	225	443	intra_ayah:33:1:root:4
co-33_1-00041	33:1	w-s033-a001-w004	w-s033-a001-w011	ء ل ه	ك و ن	7	1	5	2	441	974	intra_ayah:33:1:root:5
co-33_1-00042	33:1	w-s033-a001-w010	w-s033-a001-w011	ء ل ه	ك و ن	1	1	5	2	441	974	intra_ayah:33:1:root:5
co-33_1-00043	33:1	w-s033-a001-w004	w-s033-a001-w002	ء ل ه	ن ب ء	2	2	6	2	73	141	intra_ayah:33:1:root:6
co-33_1-00044	33:1	w-s033-a001-w010	w-s033-a001-w002	ء ل ه	ن ب ء	8	2	6	2	73	141	intra_ayah:33:1:root:6
co-33_1-00045	33:1	w-s033-a001-w004	w-s033-a001-w008	ء ل ه	ن ف ق	4	1	3	2	61	152	intra_ayah:33:1:root:7
co-33_1-00046	33:1	w-s033-a001-w010	w-s033-a001-w008	ء ل ه	ن ف ق	2	1	3	2	61	152	intra_ayah:33:1:root:7
co-33_1-00047	33:1	w-s033-a001-w004	w-s033-a001-w003	ء ل ه	و ق ي	1	1	5	2	135	258	intra_ayah:33:1:root:8
co-33_1-00048	33:1	w-s033-a001-w010	w-s033-a001-w003	ء ل ه	و ق ي	7	1	5	2	135	258	intra_ayah:33:1:root:8
co-33_1-00049	33:1	w-s033-a001-w013	w-s033-a001-w006	ح ك م	ط و ع	7	6	6	1	5	5	intra_ayah:33:1:root:9
co-33_2-00050	33:2	w-s033-a002-w008	w-s033-a002-w001	ء ل ه	ت ب ع	7	3	3	1	65	116	intra_ayah:33:2:root:1
co-33_2-00051	33:2	w-s033-a002-w001	w-s033-a002-w009	ت ب ع	ك و ن	8	4	4	1	30	44	intra_ayah:33:2:root:10
co-33_2-00052	33:2	w-s033-a002-w001	w-s033-a002-w003	ت ب ع	و ح ي	2	1	1	1	9	9	intra_ayah:33:2:root:11
co-33_2-00053	33:2	w-s033-a002-w012	w-s033-a002-w006	خ ب ر	ر ب ب	6	4	4	1	5	5	intra_ayah:33:2:root:12
co-33_2-00054	33:2	w-s033-a002-w012	w-s033-a002-w011	خ ب ر	ع م ل	1	1	1	1	22	24	intra_ayah:33:2:root:13
co-33_2-00055	33:2	w-s033-a002-w012	w-s033-a002-w009	خ ب ر	ك و ن	3	2	2	1	13	18	intra_ayah:33:2:root:14
co-33_2-00056	33:2	w-s033-a002-w012	w-s033-a002-w003	خ ب ر	و ح ي	9	5	5	1	2	2	intra_ayah:33:2:root:15
co-33_2-00057	33:2	w-s033-a002-w006	w-s033-a002-w011	ر ب ب	ع م ل	5	3	3	1	51	69	intra_ayah:33:2:root:16
co-33_2-00058	33:2	w-s033-a002-w006	w-s033-a002-w009	ر ب ب	ك و ن	3	2	2	1	159	222	intra_ayah:33:2:root:17
co-33_2-00059	33:2	w-s033-a002-w006	w-s033-a002-w003	ر ب ب	و ح ي	3	1	1	1	17	19	intra_ayah:33:2:root:18
co-33_2-00060	33:2	w-s033-a002-w011	w-s033-a002-w009	ع م ل	ك و ن	2	1	1	1	110	151	intra_ayah:33:2:root:19
co-33_2-00061	33:2	w-s033-a002-w008	w-s033-a002-w012	ء ل ه	خ ب ر	4	3	3	1	34	66	intra_ayah:33:2:root:2
co-33_2-00062	33:2	w-s033-a002-w011	w-s033-a002-w003	ع م ل	و ح ي	8	4	4	1	3	4	intra_ayah:33:2:root:20
co-33_2-00063	33:2	w-s033-a002-w009	w-s033-a002-w003	ك و ن	و ح ي	6	3	3	1	22	27	intra_ayah:33:2:root:21
co-33_2-00064	33:2	w-s033-a002-w008	w-s033-a002-w006	ء ل ه	ر ب ب	2	1	1	1	204	368	intra_ayah:33:2:root:3
co-33_2-00065	33:2	w-s033-a002-w008	w-s033-a002-w011	ء ل ه	ع م ل	3	2	2	1	141	249	intra_ayah:33:2:root:4
co-33_2-00066	33:2	w-s033-a002-w008	w-s033-a002-w009	ء ل ه	ك و ن	1	1	1	1	441	974	intra_ayah:33:2:root:5
