source_token_id	ayah_ref	source_token_index	surface_ar	word_ids	qac_word_refs	binding_status
t-s110-a000-w001	110:0	1	بِسْمِ	w-s110-a000-w001	1:1:1	one_to_one
t-s110-a000-w002	110:0	2	ٱللَّهِ	w-s110-a000-w002	1:1:2	one_to_one
t-s110-a000-w003	110:0	3	ٱلرَّحْمَٰنِ	w-s110-a000-w003	1:1:3	one_to_one
t-s110-a000-w004	110:0	4	ٱلرَّحِيمِ	w-s110-a000-w004	1:1:4	one_to_one
t-s110-a001-w001	110:1	1	إِذَا	w-s110-a001-w001	110:1:1	one_to_one
t-s110-a001-w002	110:1	2	جَآءَ	w-s110-a001-w002	110:1:2	one_to_one
t-s110-a001-w003	110:1	3	نَصْرُ	w-s110-a001-w003	110:1:3	one_to_one
t-s110-a001-w004	110:1	4	ٱللَّهِ	w-s110-a001-w004	110:1:4	one_to_one
t-s110-a001-w005	110:1	5	وَٱلْفَتْحُ	w-s110-a001-w005	110:1:5	one_to_one
t-s110-a002-w001	110:2	1	وَرَأَيْتَ	w-s110-a002-w001	110:2:1	one_to_one
t-s110-a002-w002	110:2	2	ٱلنَّاسَ	w-s110-a002-w002	110:2:2	one_to_one
t-s110-a002-w003	110:2	3	يَدْخُلُونَ	w-s110-a002-w003	110:2:3	one_to_one
t-s110-a002-w004	110:2	4	فِى	w-s110-a002-w004	110:2:4	one_to_one
t-s110-a002-w005	110:2	5	دِينِ	w-s110-a002-w005	110:2:5	one_to_one
t-s110-a002-w006	110:2	6	ٱللَّهِ	w-s110-a002-w006	110:2:6	one_to_one
t-s110-a002-w007	110:2	7	أَفْوَاجًۭا	w-s110-a002-w007	110:2:7	one_to_one
t-s110-a003-w001	110:3	1	فَسَبِّحْ	w-s110-a003-w001	110:3:1	one_to_one
t-s110-a003-w002	110:3	2	بِحَمْدِ	w-s110-a003-w002	110:3:2	one_to_one
t-s110-a003-w003	110:3	3	رَبِّكَ	w-s110-a003-w003	110:3:3	one_to_one
t-s110-a003-w004	110:3	4	وَٱسْتَغْفِرْهُ	w-s110-a003-w004	110:3:4	one_to_one
t-s110-a003-w005	110:3	5	إِنَّهُۥ	w-s110-a003-w005	110:3:5	one_to_one
t-s110-a003-w006	110:3	6	كَانَ	w-s110-a003-w006	110:3:6	one_to_one
t-s110-a003-w007	110:3	7	تَوَّابًۢا	w-s110-a003-w007	110:3:7	one_to_one
