word_id	ayah_ref	qac_ayah_ref	word_index	qac_word_ref	surface_ar	lemma_ar	root	pos	aspect	mood	voice	measure	morphology_summary
w-s110-a000-w001	110:0	1:1	1	1:1:1	بِسْمِ	ٱسْم	س م و	N					PREFIX|bi+ | STEM|POS:N|LEM:{som|ROOT:smw|M|GEN
w-s110-a000-w002	110:0	1:1	2	1:1:2	ٱللَّهِ	ٱللَّه	ء ل ه	PN					STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|GEN
w-s110-a000-w003	110:0	1:1	3	1:1:3	ٱلرَّحْمَٰنِ	رَّحْمَٰن	ر ح م	ADJ					PREFIX|Al+ | STEM|POS:ADJ|LEM:r~aHoma`n|ROOT:rHm|MS|GEN
w-s110-a000-w004	110:0	1:1	4	1:1:4	ٱلرَّحِيمِ	رَّحِيم	ر ح م	ADJ					PREFIX|Al+ | STEM|POS:ADJ|LEM:r~aHiym|ROOT:rHm|MS|GEN
w-s110-a001-w001	110:1	110:1	1	110:1:1	إِذَا	إِذَا		T					STEM|POS:T|LEM:<i*aA
w-s110-a001-w002	110:1	110:1	2	110:1:2	جَآءَ	جَآءَ	ج ي ء	V	PERF				STEM|POS:V|PERF|LEM:jaA^'a|ROOT:jyA|3MS
w-s110-a001-w003	110:1	110:1	3	110:1:3	نَصْرُ	نَصْر	ن ص ر	N					STEM|POS:N|LEM:naSor|ROOT:nSr|M|NOM
w-s110-a001-w004	110:1	110:1	4	110:1:4	ٱللَّهِ	ٱللَّه	ء ل ه	PN					STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|GEN
w-s110-a001-w005	110:1	110:1	5	110:1:5	وَٱلْفَتْحُ	فَتْح	ف ت ح	N					PREFIX|w:CONJ+ | PREFIX|Al+ | STEM|POS:N|LEM:fatoH|ROOT:ftH|M|NOM
w-s110-a002-w001	110:2	110:2	1	110:2:1	وَرَأَيْتَ	رَءَا	ر ء ي	V	PERF				PREFIX|w:CONJ+ | STEM|POS:V|PERF|LEM:ra'aA|ROOT:rAy|2MS | SUFFIX|PRON:2MS
w-s110-a002-w002	110:2	110:2	2	110:2:2	ٱلنَّاسَ	نَّاس	ن و س	N					PREFIX|Al+ | STEM|POS:N|LEM:n~aAs|ROOT:nws|MP|ACC
w-s110-a002-w003	110:2	110:2	3	110:2:3	يَدْخُلُونَ	دَخَلَ	د خ ل	V	IMPF				STEM|POS:V|IMPF|LEM:daxala|ROOT:dxl|3MP | SUFFIX|PRON:3MP
w-s110-a002-w004	110:2	110:2	4	110:2:4	فِى	فِى		P					STEM|POS:P|LEM:fiY
w-s110-a002-w005	110:2	110:2	5	110:2:5	دِينِ	دِين	د ي ن	N					STEM|POS:N|LEM:diyn|ROOT:dyn|GEN
w-s110-a002-w006	110:2	110:2	6	110:2:6	ٱللَّهِ	ٱللَّه	ء ل ه	PN					STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|GEN
w-s110-a002-w007	110:2	110:2	7	110:2:7	أَفْوَاجًا	فَوْج	ف و ج	N					STEM|POS:N|LEM:fawoj|ROOT:fwj|P|INDEF|ACC
w-s110-a003-w001	110:3	110:3	1	110:3:1	فَسَبِّحْ	سَبَّحَ	س ب ح	V	IMPV			II	PREFIX|f:RSLT+ | STEM|POS:V|IMPV|(II)|LEM:sab~aHa|ROOT:sbH|2MS
w-s110-a003-w002	110:3	110:3	2	110:3:2	بِحَمْدِ	حَمْد	ح م د	N					PREFIX|bi+ | STEM|POS:N|LEM:Hamod|ROOT:Hmd|M|GEN
w-s110-a003-w003	110:3	110:3	3	110:3:3	رَبِّكَ	رَبّ	ر ب ب	N					STEM|POS:N|LEM:rab~|ROOT:rbb|M|GEN | SUFFIX|PRON:2MS
w-s110-a003-w004	110:3	110:3	4	110:3:4	وَٱسْتَغْفِرْهُ	ٱسْتَغْفَرَ	غ ف ر	V	IMPV			X	PREFIX|w:CONJ+ | STEM|POS:V|IMPV|(X)|LEM:{sotagofara|ROOT:gfr|2MS | SUFFIX|PRON:3MS
w-s110-a003-w005	110:3	110:3	5	110:3:5	إِنَّهُۥ	إِنّ		ACC					STEM|POS:ACC|LEM:<in~|SP:<in~ | SUFFIX|PRON:3MS
w-s110-a003-w006	110:3	110:3	6	110:3:6	كَانَ	كَانَ	ك و ن	V	PERF				STEM|POS:V|PERF|LEM:kaAna|ROOT:kwn|SP:kaAn|3MS
w-s110-a003-w007	110:3	110:3	7	110:3:7	تَوَّابًۢا	تَوَّاب	ت و ب	N			ACT		STEM|POS:N|ACT|PCPL|LEM:taw~aAb|ROOT:twb|MS|INDEF|ACC
