attachment_unit_id	ayah_ref	qac_ayah_ref	unit_index	word_id	qac_word_ref	morpheme_ids	attachment_surfaces	attachment_roots	prep_bases	binding_method	binding_status
q:1:1:1	110:0	1:1	1	w-s110-a000-w001	1:1:1	m-w-s110-a000-w001-01	بِسْمِ		بـ	position_crosswalk	morpheme_aligned
q:1:1:2	110:0	1:1	2	w-s110-a000-w001	1:1:1	m-w-s110-a000-w001-02	بِسْمِ	س م و	بـ	position_crosswalk	morpheme_aligned
q:1:1:3	110:0	1:1	3	w-s110-a000-w002	1:1:2	m-w-s110-a000-w002-01	اللَّهِ	أ ل ه		position_crosswalk	morpheme_aligned
q:1:1:4	110:0	1:1	4	w-s110-a000-w003	1:1:3	m-w-s110-a000-w003-02	الرَّحْمَنِ	ر ح م		position_crosswalk	morpheme_aligned
q:1:1:5	110:0	1:1	5	w-s110-a000-w003	1:1:3	m-w-s110-a000-w003-02	الرَّحِيمِ	ر ح م		surface_root_sequence_fallback	morpheme_aligned
q:110:1:1	110:1	110:1	1	w-s110-a001-w001	110:1:1	m-w-s110-a001-w001-01	إِذَا	أ ذ ي		position_crosswalk	morpheme_aligned
q:110:1:2	110:1	110:1	2	w-s110-a001-w002	110:1:2	m-w-s110-a001-w002-01	جَاءَ	ج ي أ		position_crosswalk	morpheme_aligned
q:110:1:3	110:1	110:1	3	w-s110-a001-w003	110:1:3	m-w-s110-a001-w003-01	نَصْرُ	ن ص ر		position_crosswalk	morpheme_aligned
q:110:1:4	110:1	110:1	4	w-s110-a001-w004	110:1:4	m-w-s110-a001-w004-01	اللَّهِ	أ ل ه		position_crosswalk	morpheme_aligned
q:110:1:6	110:1	110:1	6	w-s110-a001-w005	110:1:5	m-w-s110-a001-w005-03	وَالْفَتْحُ	ف ت ح		position_crosswalk	morpheme_aligned
q:110:2:2	110:2	110:2	2	w-s110-a002-w001	110:2:1	m-w-s110-a002-w001-02	وَرَأَيْتَ	ر أ ي		position_crosswalk	morpheme_aligned
q:110:2:3	110:2	110:2	3	w-s110-a002-w002	110:2:2	m-w-s110-a002-w002-02	النَّاسَ	أ ن س		position_crosswalk	morpheme_aligned
q:110:2:4	110:2	110:2	4	w-s110-a002-w003	110:2:3	m-w-s110-a002-w003-01	يَدْخُلُونَ	د خ ل	فِي	position_crosswalk	morpheme_aligned
q:110:2:5	110:2	110:2	5	w-s110-a002-w004	110:2:4	m-w-s110-a002-w004-01			فِي	position_crosswalk	morpheme_aligned
q:110:2:6	110:2	110:2	6	w-s110-a002-w005	110:2:5	m-w-s110-a002-w005-01	دِينِ	د ي ن	فِي	position_crosswalk	morpheme_aligned
q:110:2:7	110:2	110:2	7	w-s110-a002-w006	110:2:6	m-w-s110-a002-w006-01	اللَّهِ	أ ل ه		position_crosswalk	morpheme_aligned
q:110:2:8	110:2	110:2	8	w-s110-a002-w007	110:2:7	m-w-s110-a002-w007-01	أَفْوَاجَاً	ف و ج		position_crosswalk	morpheme_aligned
q:110:3:2	110:3	110:3	2	w-s110-a003-w001	110:3:1	m-w-s110-a003-w001-02	فَسَبِّحْ	س ب ح	بـ	position_crosswalk	morpheme_aligned
q:110:3:3	110:3	110:3	3	w-s110-a003-w001	110:3:1	m-w-s110-a003-w001-02	بِحَمْدِ	ح م د	بـ	surface_root_sequence_fallback	morpheme_aligned
q:110:3:4	110:3	110:3	4	w-s110-a003-w003	110:3:3	m-w-s110-a003-w003-01	رَبِّكَ	ر ب ب		surface_root_sequence_fallback	morpheme_aligned
q:110:3:6	110:3	110:3	6	w-s110-a003-w004	110:3:4	m-w-s110-a003-w004-02;m-w-s110-a003-w004-03	وَاسْتَغْفِرْهُ	غ ف ر		position_crosswalk	morpheme_aligned
q:110:3:7	110:3	110:3	7	w-s110-a003-w005	110:3:5	m-w-s110-a003-w005-01;m-w-s110-a003-w005-02	إِنَّهُ	أ و ن		surface_root_sequence_fallback	morpheme_aligned
q:110:3:8	110:3	110:3	8	w-s110-a003-w006	110:3:6	m-w-s110-a003-w006-01	كَانَ	ك و ن		surface_root_sequence_fallback	morpheme_aligned
q:110:3:9	110:3	110:3	9	w-s110-a003-w007	110:3:7	m-w-s110-a003-w007-01	تَوَّابَاً	ت و ب		surface_root_sequence_fallback	morpheme_aligned
