word_id	morpheme_ids	root_id	binding_status
w-s044-a000-w001	m-w-s044-a000-w001-02	root_000745	resolved_source_exact
w-s044-a000-w002	m-w-s044-a000-w002-01	root_000047	resolved_normalized_exact
w-s044-a000-w003	m-w-s044-a000-w003-02	root_000552	resolved_source_exact
w-s044-a000-w004	m-w-s044-a000-w004-02	root_000552	resolved_source_exact
w-s044-a002-w001	m-w-s044-a002-w001-03	root_001283	resolved_source_exact
w-s044-a002-w002	m-w-s044-a002-w002-02	root_000170	resolved_source_exact
w-s044-a003-w002	m-w-s044-a003-w002-01	root_001492	resolved_source_exact
w-s044-a003-w004	m-w-s044-a003-w004-01	root_001392	resolved_source_exact
w-s044-a003-w005	m-w-s044-a003-w005-01	root_000109	resolved_source_exact
w-s044-a003-w007	m-w-s044-a003-w007-01	root_001332	resolved_source_exact
w-s044-a003-w008	m-w-s044-a003-w008-01	root_001488	resolved_source_exact
w-s044-a004-w002	m-w-s044-a004-w002-01	root_001148	resolved_source_exact
w-s044-a004-w003	m-w-s044-a004-w003-01	root_001315	resolved_source_exact
w-s044-a004-w004	m-w-s044-a004-w004-01	root_000051	resolved_normalized_exact
w-s044-a004-w005	m-w-s044-a004-w005-01	root_000348	resolved_source_exact
w-s044-a005-w001	m-w-s044-a005-w001-01	root_000051	resolved_normalized_exact
w-s044-a005-w003	m-w-s044-a005-w003-01	root_001052	resolved_source_exact
w-s044-a005-w005	m-w-s044-a005-w005-01	root_001332	resolved_source_exact
w-s044-a005-w006	m-w-s044-a005-w006-01	root_000563	resolved_source_exact
w-s044-a006-w001	m-w-s044-a006-w001-01	root_000552	resolved_source_exact
w-s044-a006-w003	m-w-s044-a006-w003-01	root_000532	resolved_source_exact
w-s044-a006-w006	m-w-s044-a006-w006-02	root_000741	resolved_source_exact
w-s044-a006-w007	m-w-s044-a006-w007-02	root_001040	resolved_source_exact
w-s044-a007-w001	m-w-s044-a007-w001-01	root_000532	resolved_source_exact
w-s044-a007-w002	m-w-s044-a007-w002-02	root_000745	resolved_source_exact
w-s044-a007-w003	m-w-s044-a007-w003-03	root_000025	resolved_normalized_exact
w-s044-a007-w005	m-w-s044-a007-w005-01	root_000170	resolved_source_exact
w-s044-a007-w007	m-w-s044-a007-w007-01	root_001332	resolved_source_exact
w-s044-a007-w008	m-w-s044-a007-w008-01	root_001696	resolved_source_exact
w-s044-a008-w002	m-w-s044-a008-w002-01	root_000047	resolved_normalized_exact
w-s044-a008-w005	m-w-s044-a008-w005-01	root_000383	resolved_source_exact
w-s044-a008-w006	m-w-s044-a008-w006-02	root_001454	resolved_source_exact
w-s044-a008-w007	m-w-s044-a008-w007-01	root_000532	resolved_source_exact
w-s044-a008-w008	m-w-s044-a008-w008-02	root_000532	resolved_source_exact
