syntax_edge_id	attachment_edge_id	ayah_ref	source_word_id	target_word_id	prep_word_id	source_morpheme_id	target_morpheme_id	prep_morpheme_id	source_qac_ref	target_qac_ref	prep_qac_ref	source_attachment_unit_id	target_attachment_unit_id	prep_attachment_unit_id	source_position	target_position	prep_position	relation	status	confidence	source_part	target_part	source_form_tag	target_form_tag	object_type	prep_base	binding_status	evidence	reason	source_pointer
sx-75_0-00001	ae:v3:s001:001:pass1:attach:a1	75:0	w-s075-a000-w001	w-s075-a000-w001	w-s075-a000-w001	m-w-s075-a000-w001-01	m-w-s075-a000-w001-02	m-w-s075-a000-w001-01	1:1:1:1	1:1:1:2	1:1:1:1	q:1:1:1	q:1:1:2	q:1:1:1	1	2	1	prep_complement	strongly_licensed	high			PREP	NOUN_ABSTRACT		بـ	position_morpheme_aligned	case_government;formulaic_construction	سْمِ is governed by the prefixed بِ in the formula بِسْمِ.	resources/attachments.tsv:2
sx-75_0-00002	ae:v3:s001:001:pass1:attach:a2	75:0	w-s075-a000-w001	w-s075-a000-w002		m-w-s075-a000-w001-02	m-w-s075-a000-w002-01		1:1:1:2	1:1:2:1		q:1:1:2	q:1:1:3		2	3		idafa	syntactically_forced	high			NOUN_ABSTRACT	NOUN_PROP			position_morpheme_aligned	case_government;local_syntax	ٱللَّهِ is the genitive muḍāf ilayhi of سْمِ.	resources/attachments.tsv:3
sx-75_0-00003	ae:v3:s001:001:pass1:attach:a3	75:0	w-s075-a000-w002	w-s075-a000-w003		m-w-s075-a000-w002-01	m-w-s075-a000-w003-02		1:1:2:1	1:1:3:2		q:1:1:3	q:1:1:4		3	4		adjective	strongly_licensed	high			NOUN_PROP	NOUN_PROP			position_morpheme_aligned	agreement;local_syntax	ٱلرَّحْمَٰنِ follows ٱللَّهِ in genitive definiteness as an adjectival divine epithet.	resources/attachments.tsv:4
sx-75_0-00004	ae:v3:s001:001:pass1:attach:a4	75:0	w-s075-a000-w002	w-s075-a000-w003		m-w-s075-a000-w002-01	m-w-s075-a000-w003-02		1:1:2:1	1:1:3:2		q:1:1:3	q:1:1:5		3	5		adjective	strongly_licensed	high			NOUN_PROP	NOUN_PROP			fallback_morpheme_aligned	agreement;local_syntax	ٱلرَّحِيمِ follows ٱللَّهِ in the same genitive adjectival series.	resources/attachments.tsv:5
sx-75_1-00005	ae:v3:s075:001:pass1:attach:a1	75:1	w-s075-a001-w002	w-s075-a001-w003	w-s075-a001-w003	m-w-s075-a001-w002-01	m-w-s075-a001-w003-02	m-w-s075-a001-w003-01	75:1:2:1	75:1:3:2	75:1:3:1	q:75:1:2	q:75:1:4	q:75:1:3	2	4	3	prep_complement	syntactically_forced	high			IV	NOUN_ABSTRACT		بـ	position_morpheme_aligned	case_government;local_syntax	يَوْمِ is governed by بِ as the oath complement of أُقْسِمُ.	resources/attachments.tsv:56176
sx-75_1-00006	ae:v3:s075:001:pass1:attach:a2	75:1	w-s075-a001-w003	w-s075-a001-w004		m-w-s075-a001-w003-02	m-w-s075-a001-w004-02		75:1:3:2	75:1:4:2		q:75:1:4	q:75:1:5		4	5		idafa	syntactically_forced	high			NOUN_ABSTRACT	NOUN_PROP			position_morpheme_aligned	case_government;morphology	ٱلْقِيَٰمَةِ is the genitive mudaf ilayh completing يَوْمِ.	resources/attachments.tsv:56177
sx-75_2-00007	ae:v3:s075:002:pass1:attach:a1	75:2	w-s075-a002-w002	w-s075-a002-w003	w-s075-a002-w003	m-w-s075-a002-w002-01	m-w-s075-a002-w003-03	m-w-s075-a002-w003-01	75:2:2:1	75:2:3:3	75:2:3:1	q:75:2:3	q:75:2:5	q:75:2:4	3	5	4	prep_complement	syntactically_forced	high			IV	NOUN_ABSTRACT		بـ	position_morpheme_aligned	case_government;local_syntax	ٱلنَّفْسِ is governed by بِ as the oath complement of أُقْسِمُ.	resources/attachments.tsv:56178
sx-75_2-00008	ae:v3:s075:002:pass1:attach:a2	75:2	w-s075-a002-w003	w-s075-a002-w004		m-w-s075-a002-w003-03	m-w-s075-a002-w004-02		75:2:3:3	75:2:4:2		q:75:2:5	q:75:2:6		5	6		adjective	strongly_licensed	high			NOUN_ABSTRACT	ADJ_INTENS			position_morpheme_aligned	agreement;morphology	ٱللَّوَّامَةِ agrees with ٱلنَّفْسِ in definiteness, gender, number, and genitive case.	resources/attachments.tsv:56179
sx-75_3-00009	ae:v3:s075:003:pass1:attach:a1	75:3	w-s075-a003-w001	w-s075-a003-w002		m-w-s075-a003-w001-02	m-w-s075-a003-w002-02		75:3:1:2	75:3:2:2		q:75:3:1	q:75:3:2		1	2		subject	strongly_licensed	high			IV	NOUN_CONCRETE			fallback_morpheme_aligned	agreement;word_order	ٱلْإِنسَٰنُ is the postverbal subject of أَيَحْسَبُ.	resources/attachments.tsv:56180
sx-75_3-00010	ae:v3:s075:003:pass1:attach:a2	75:3	w-s075-a003-w001	w-s075-a003-w003		m-w-s075-a003-w001-02			75:3:1:2	75:3:3		q:75:3:1	q:75:3:3		1	3		clausal_complement	syntactically_forced	high			IV	SUBJUNC_PART			fallback_word_aligned	local_syntax	أَلَّن نَّجْمَعَ عِظَامَهُۥ is the content reckoned by أَيَحْسَبُ.	resources/attachments.tsv:56181
sx-75_3-00011	ae:v3:s075:003:pass1:attach:a3	75:3	w-s075-a003-w003	w-s075-a003-w004			m-w-s075-a003-w004-01		75:3:3	75:3:4:1		q:75:3:3	q:75:3:4		3	4		particle_complement	syntactically_forced	high			SUBJUNC_PART	IV			fallback_word_aligned	local_syntax;morphology	أَلَّن governs the subjunctive verb نَّجْمَعَ in the complement clause.	resources/attachments.tsv:56182
