attachment_unit_id	ayah_ref	qac_ayah_ref	unit_index	word_id	qac_word_ref	morpheme_ids	attachment_surfaces	attachment_roots	prep_bases	binding_method	binding_status
q:1:1:1	49:0	1:1	1	w-s049-a000-w001	1:1:1	m-w-s049-a000-w001-01	بِسْمِ		بـ	position_crosswalk	morpheme_aligned
q:1:1:2	49:0	1:1	2	w-s049-a000-w001	1:1:1	m-w-s049-a000-w001-02	بِسْمِ	س م و	بـ	position_crosswalk	morpheme_aligned
q:1:1:3	49:0	1:1	3	w-s049-a000-w002	1:1:2	m-w-s049-a000-w002-01	اللَّهِ	أ ل ه		position_crosswalk	morpheme_aligned
q:1:1:4	49:0	1:1	4	w-s049-a000-w003	1:1:3	m-w-s049-a000-w003-02	الرَّحْمَنِ	ر ح م		position_crosswalk	morpheme_aligned
q:1:1:5	49:0	1:1	5	w-s049-a000-w003	1:1:3	m-w-s049-a000-w003-02	الرَّحِيمِ	ر ح م		surface_root_sequence_fallback	morpheme_aligned
q:49:1:1	49:1	49:1	1	w-s049-a001-w001	49:1:1	m-w-s049-a001-w001-02	يَاأَيُّهَا			position_crosswalk	morpheme_aligned
q:49:1:2	49:1	49:1	2	w-s049-a001-w001	49:1:1	m-w-s049-a001-w001-02	يَاأَيُّهَا	أ ي ي		position_crosswalk	morpheme_aligned
q:49:1:3	49:1	49:1	3	w-s049-a001-w002	49:1:2	m-w-s049-a001-w002-01	الَّذِينَ	ل ل ذ		position_crosswalk	morpheme_aligned
q:49:1:5	49:1	49:1	5	w-s049-a001-w004	49:1:4	m-w-s049-a001-w004-01	لَا			position_crosswalk	morpheme_aligned
q:49:1:6	49:1	49:1	6	w-s049-a001-w005	49:1:5	m-w-s049-a001-w005-01	تُقَدِّمُوا	ق د م		position_crosswalk	morpheme_aligned
q:49:1:7	49:1	49:1	7	w-s049-a001-w006	49:1:6	m-w-s049-a001-w006-01	بَيْنَ	ب ي ن		position_crosswalk	morpheme_aligned
q:49:1:8	49:1	49:1	8	w-s049-a001-w007	49:1:7	m-w-s049-a001-w007-01	يَدَيِ	ي د ي		position_crosswalk	morpheme_aligned
q:49:1:9	49:1	49:1	9	w-s049-a001-w008	49:1:8	m-w-s049-a001-w008-01	اللَّهِ	أ ل ه		position_crosswalk	morpheme_aligned
q:49:1:11	49:1	49:1	11	w-s049-a001-w009	49:1:9	m-w-s049-a001-w009-02	وَرَسُولِهِ	ر س ل		position_crosswalk	morpheme_aligned
q:49:1:13	49:1	49:1	13	w-s049-a001-w010	49:1:10	m-w-s049-a001-w010-02	وَاتَّقُوا	و ق ي		position_crosswalk	morpheme_aligned
q:49:1:14	49:1	49:1	14	w-s049-a001-w011	49:1:11	m-w-s049-a001-w011-01	اللَّهَ	أ ل ه		position_crosswalk	morpheme_aligned
q:49:1:15	49:1	49:1	15	w-s049-a001-w012	49:1:12	m-w-s049-a001-w012-01	إِنَّ			position_crosswalk	morpheme_aligned
