source_token_id	ayah_ref	source_token_index	surface_ar	word_ids	qac_word_refs	binding_status
t-s025-a000-w001	25:0	1	بِسْمِ	w-s025-a000-w001	1:1:1	one_to_one
t-s025-a000-w002	25:0	2	ٱللَّهِ	w-s025-a000-w002	1:1:2	one_to_one
t-s025-a000-w003	25:0	3	ٱلرَّحْمَٰنِ	w-s025-a000-w003	1:1:3	one_to_one
t-s025-a000-w004	25:0	4	ٱلرَّحِيمِ	w-s025-a000-w004	1:1:4	one_to_one
t-s025-a001-w001	25:1	1	تَبَارَكَ	w-s025-a001-w001	25:1:1	one_to_one
t-s025-a001-w002	25:1	2	ٱلَّذِى	w-s025-a001-w002	25:1:2	one_to_one
t-s025-a001-w003	25:1	3	نَزَّلَ	w-s025-a001-w003	25:1:3	one_to_one
t-s025-a001-w004	25:1	4	ٱلْفُرْقَانَ	w-s025-a001-w004	25:1:4	one_to_one
t-s025-a001-w005	25:1	5	عَلَىٰ	w-s025-a001-w005	25:1:5	one_to_one
t-s025-a001-w006	25:1	6	عَبْدِهِۦ	w-s025-a001-w006	25:1:6	one_to_one
t-s025-a001-w007	25:1	7	لِيَكُونَ	w-s025-a001-w007	25:1:7	one_to_one
t-s025-a001-w008	25:1	8	لِلْعَٰلَمِينَ	w-s025-a001-w008	25:1:8	one_to_one
t-s025-a001-w009	25:1	9	نَذِيرًا	w-s025-a001-w009	25:1:9	one_to_one
t-s025-a002-w001	25:2	1	ٱلَّذِى	w-s025-a002-w001	25:2:1	one_to_one
t-s025-a002-w002	25:2	2	لَهُۥ	w-s025-a002-w002	25:2:2	one_to_one
t-s025-a002-w003	25:2	3	مُلْكُ	w-s025-a002-w003	25:2:3	one_to_one
t-s025-a002-w004	25:2	4	ٱلسَّمَٰوَٰتِ	w-s025-a002-w004	25:2:4	one_to_one
t-s025-a002-w005	25:2	5	وَٱلْأَرْضِ	w-s025-a002-w005	25:2:5	one_to_one
t-s025-a002-w006	25:2	6	وَلَمْ	w-s025-a002-w006	25:2:6	one_to_one
t-s025-a002-w007	25:2	7	يَتَّخِذْ	w-s025-a002-w007	25:2:7	one_to_one
t-s025-a002-w008	25:2	8	وَلَدًۭا	w-s025-a002-w008	25:2:8	one_to_one
t-s025-a002-w009	25:2	9	وَلَمْ	w-s025-a002-w009	25:2:9	one_to_one
t-s025-a002-w010	25:2	10	يَكُن	w-s025-a002-w010	25:2:10	one_to_one
t-s025-a002-w011	25:2	11	لَّهُۥ	w-s025-a002-w011	25:2:11	one_to_one
t-s025-a002-w012	25:2	12	شَرِيكٌۭ	w-s025-a002-w012	25:2:12	one_to_one
t-s025-a002-w013	25:2	13	فِى	w-s025-a002-w013	25:2:13	one_to_one
t-s025-a002-w014	25:2	14	ٱلْمُلْكِ	w-s025-a002-w014	25:2:14	one_to_one
t-s025-a002-w015	25:2	15	وَخَلَقَ	w-s025-a002-w015	25:2:15	one_to_one
t-s025-a002-w016	25:2	16	كُلَّ	w-s025-a002-w016	25:2:16	one_to_one
t-s025-a002-w017	25:2	17	شَىْءٍۢ	w-s025-a002-w017	25:2:17	one_to_one
t-s025-a002-w018	25:2	18	فَقَدَّرَهُۥ	w-s025-a002-w018	25:2:18	one_to_one
t-s025-a002-w019	25:2	19	تَقْدِيرًۭا	w-s025-a002-w019	25:2:19	one_to_one
t-s025-a003-w001	25:3	1	وَٱتَّخَذُوا۟	w-s025-a003-w001	25:3:1	one_to_one
t-s025-a003-w002	25:3	2	مِن	w-s025-a003-w002	25:3:2	one_to_one
t-s025-a003-w003	25:3	3	دُونِهِۦٓ	w-s025-a003-w003	25:3:3	one_to_one
t-s025-a003-w004	25:3	4	ءَالِهَةًۭ	w-s025-a003-w004	25:3:4	one_to_one
t-s025-a003-w005	25:3	5	لَّا	w-s025-a003-w005	25:3:5	one_to_one
t-s025-a003-w006	25:3	6	يَخْلُقُونَ	w-s025-a003-w006	25:3:6	one_to_one
t-s025-a003-w007	25:3	7	شَيْـًۭٔا	w-s025-a003-w007	25:3:7	one_to_one
t-s025-a003-w008	25:3	8	وَهُمْ	w-s025-a003-w008	25:3:8	one_to_one
t-s025-a003-w009	25:3	9	يُخْلَقُونَ	w-s025-a003-w009	25:3:9	one_to_one
t-s025-a003-w010	25:3	10	وَلَا	w-s025-a003-w010	25:3:10	one_to_one
t-s025-a003-w011	25:3	11	يَمْلِكُونَ	w-s025-a003-w011	25:3:11	one_to_one
t-s025-a003-w012	25:3	12	لِأَنفُسِهِمْ	w-s025-a003-w012	25:3:12	one_to_one
t-s025-a003-w013	25:3	13	ضَرًّۭا	w-s025-a003-w013	25:3:13	one_to_one
t-s025-a003-w014	25:3	14	وَلَا	w-s025-a003-w014	25:3:14	one_to_one
t-s025-a003-w015	25:3	15	نَفْعًۭا	w-s025-a003-w015	25:3:15	one_to_one
t-s025-a003-w016	25:3	16	وَلَا	w-s025-a003-w016	25:3:16	one_to_one
t-s025-a003-w017	25:3	17	يَمْلِكُونَ	w-s025-a003-w017	25:3:17	one_to_one
t-s025-a003-w018	25:3	18	مَوْتًۭا	w-s025-a003-w018	25:3:18	one_to_one
t-s025-a003-w019	25:3	19	وَلَا	w-s025-a003-w019	25:3:19	one_to_one
t-s025-a003-w020	25:3	20	حَيَوٰةًۭ	w-s025-a003-w020	25:3:20	one_to_one
t-s025-a003-w021	25:3	21	وَلَا	w-s025-a003-w021	25:3:21	one_to_one
t-s025-a003-w022	25:3	22	نُشُورًۭا	w-s025-a003-w022	25:3:22	one_to_one
t-s025-a004-w001	25:4	1	وَقَالَ	w-s025-a004-w001	25:4:1	one_to_one
t-s025-a004-w002	25:4	2	ٱلَّذِينَ	w-s025-a004-w002	25:4:2	one_to_one
t-s025-a004-w003	25:4	3	كَفَرُوٓا۟	w-s025-a004-w003	25:4:3	one_to_one
t-s025-a004-w004	25:4	4	إِنْ	w-s025-a004-w004	25:4:4	one_to_one
t-s025-a004-w005	25:4	5	هَٰذَآ	w-s025-a004-w005	25:4:5	one_to_one
t-s025-a004-w006	25:4	6	إِلَّآ	w-s025-a004-w006	25:4:6	one_to_one
t-s025-a004-w007	25:4	7	إِفْكٌ	w-s025-a004-w007	25:4:7	one_to_one
t-s025-a004-w008	25:4	8	ٱفْتَرَىٰهُ	w-s025-a004-w008	25:4:8	one_to_one
t-s025-a004-w009	25:4	9	وَأَعَانَهُۥ	w-s025-a004-w009	25:4:9	one_to_one
t-s025-a004-w010	25:4	10	عَلَيْهِ	w-s025-a004-w010	25:4:10	one_to_one
t-s025-a004-w011	25:4	11	قَوْمٌ	w-s025-a004-w011	25:4:11	one_to_one
t-s025-a004-w012	25:4	12	ءَاخَرُونَ	w-s025-a004-w012	25:4:12	one_to_one
t-s025-a004-w013	25:4	13	فَقَدْ	w-s025-a004-w013	25:4:13	one_to_one
t-s025-a004-w014	25:4	14	جَآءُو	w-s025-a004-w014	25:4:14	one_to_one
t-s025-a004-w015	25:4	15	ظُلْمًۭا	w-s025-a004-w015	25:4:15	one_to_one
t-s025-a004-w016	25:4	16	وَزُورًۭا	w-s025-a004-w016	25:4:16	one_to_one
t-s025-a005-w001	25:5	1	وَقَالُوٓا۟	w-s025-a005-w001	25:5:1	one_to_one
t-s025-a005-w002	25:5	2	أَسَٰطِيرُ	w-s025-a005-w002	25:5:2	one_to_one
t-s025-a005-w003	25:5	3	ٱلْأَوَّلِينَ	w-s025-a005-w003	25:5:3	one_to_one
t-s025-a005-w004	25:5	4	ٱكْتَتَبَهَا	w-s025-a005-w004	25:5:4	one_to_one
t-s025-a005-w005	25:5	5	فَهِىَ	w-s025-a005-w005	25:5:5	one_to_one
t-s025-a005-w006	25:5	6	تُمْلَىٰ	w-s025-a005-w006	25:5:6	one_to_one
t-s025-a005-w007	25:5	7	عَلَيْهِ	w-s025-a005-w007	25:5:7	one_to_one
t-s025-a005-w008	25:5	8	بُكْرَةًۭ	w-s025-a005-w008	25:5:8	one_to_one
t-s025-a005-w009	25:5	9	وَأَصِيلًۭا	w-s025-a005-w009	25:5:9	one_to_one
t-s025-a006-w001	25:6	1	قُلْ	w-s025-a006-w001	25:6:1	one_to_one
t-s025-a006-w002	25:6	2	أَنزَلَهُ	w-s025-a006-w002	25:6:2	one_to_one
t-s025-a006-w003	25:6	3	ٱلَّذِى	w-s025-a006-w003	25:6:3	one_to_one
t-s025-a006-w004	25:6	4	يَعْلَمُ	w-s025-a006-w004	25:6:4	one_to_one
t-s025-a006-w005	25:6	5	ٱلسِّرَّ	w-s025-a006-w005	25:6:5	one_to_one
t-s025-a006-w006	25:6	6	فِى	w-s025-a006-w006	25:6:6	one_to_one
t-s025-a006-w007	25:6	7	ٱلسَّمَٰوَٰتِ	w-s025-a006-w007	25:6:7	one_to_one
t-s025-a006-w008	25:6	8	وَٱلْأَرْضِ	w-s025-a006-w008	25:6:8	one_to_one
t-s025-a006-w009	25:6	9	إِنَّهُۥ	w-s025-a006-w009	25:6:9	one_to_one
t-s025-a006-w010	25:6	10	كَانَ	w-s025-a006-w010	25:6:10	one_to_one
t-s025-a006-w011	25:6	11	غَفُورًۭا	w-s025-a006-w011	25:6:11	one_to_one
t-s025-a006-w012	25:6	12	رَّحِيمًۭا	w-s025-a006-w012	25:6:12	one_to_one
t-s025-a007-w001	25:7	1	وَقَالُوا۟	w-s025-a007-w001	25:7:1	one_to_one
t-s025-a007-w002	25:7	2	مَالِ	w-s025-a007-w002	25:7:2	one_to_one
t-s025-a007-w003	25:7	3	هَٰذَا	w-s025-a007-w003	25:7:3	one_to_one
t-s025-a007-w004	25:7	4	ٱلرَّسُولِ	w-s025-a007-w004	25:7:4	one_to_one
t-s025-a007-w005	25:7	5	يَأْكُلُ	w-s025-a007-w005	25:7:5	one_to_one
t-s025-a007-w006	25:7	6	ٱلطَّعَامَ	w-s025-a007-w006	25:7:6	one_to_one
t-s025-a007-w007	25:7	7	وَيَمْشِى	w-s025-a007-w007	25:7:7	one_to_one
t-s025-a007-w008	25:7	8	فِى	w-s025-a007-w008	25:7:8	one_to_one
t-s025-a007-w009	25:7	9	ٱلْأَسْوَاقِ	w-s025-a007-w009	25:7:9	one_to_one
t-s025-a007-w010	25:7	10	لَوْلَآ	w-s025-a007-w010	25:7:10	one_to_one
t-s025-a007-w011	25:7	11	أُنزِلَ	w-s025-a007-w011	25:7:11	one_to_one
t-s025-a007-w012	25:7	12	إِلَيْهِ	w-s025-a007-w012	25:7:12	one_to_one
t-s025-a007-w013	25:7	13	مَلَكٌۭ	w-s025-a007-w013	25:7:13	one_to_one
