word_id	ayah_ref	qac_ayah_ref	word_index	qac_word_ref	surface_ar	lemma_ar	root	pos	aspect	mood	voice	measure	morphology_summary
w-s045-a000-w001	45:0	1:1	1	1:1:1	بِسْمِ	ٱسْم	س م و	N					PREFIX|bi+ | STEM|POS:N|LEM:{som|ROOT:smw|M|GEN
w-s045-a000-w002	45:0	1:1	2	1:1:2	ٱللَّهِ	ٱللَّه	ء ل ه	PN					STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|GEN
w-s045-a000-w003	45:0	1:1	3	1:1:3	ٱلرَّحْمَٰنِ	رَّحْمَٰن	ر ح م	ADJ					PREFIX|Al+ | STEM|POS:ADJ|LEM:r~aHoma`n|ROOT:rHm|MS|GEN
w-s045-a000-w004	45:0	1:1	4	1:1:4	ٱلرَّحِيمِ	رَّحِيم	ر ح م	ADJ					PREFIX|Al+ | STEM|POS:ADJ|LEM:r~aHiym|ROOT:rHm|MS|GEN
w-s045-a002-w001	45:2	45:2	1	45:2:1	تَنزِيلُ	تَنزِيل	ن ز ل	N				II	STEM|POS:N|VN|(II)|LEM:tanziyl|ROOT:nzl|M|NOM
w-s045-a002-w002	45:2	45:2	2	45:2:2	ٱلْكِتَٰبِ	كِتَٰب	ك ت ب	N					PREFIX|Al+ | STEM|POS:N|LEM:kita`b|ROOT:ktb|M|GEN
w-s045-a002-w003	45:2	45:2	3	45:2:3	مِنَ	مِن		P					STEM|POS:P|LEM:min
w-s045-a002-w004	45:2	45:2	4	45:2:4	ٱللَّهِ	ٱللَّه	ء ل ه	PN					STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|GEN
w-s045-a002-w005	45:2	45:2	5	45:2:5	ٱلْعَزِيزِ	عَزِيز	ع ز ز	ADJ					PREFIX|Al+ | STEM|POS:ADJ|LEM:Eaziyz|ROOT:Ezz|MS|GEN
w-s045-a002-w006	45:2	45:2	6	45:2:6	ٱلْحَكِيمِ	حَكِيم	ح ك م	ADJ					PREFIX|Al+ | STEM|POS:ADJ|LEM:Hakiym|ROOT:Hkm|MS|GEN
w-s045-a003-w001	45:3	45:3	1	45:3:1	إِنَّ	إِنّ		ACC					STEM|POS:ACC|LEM:<in~|SP:<in~
w-s045-a003-w002	45:3	45:3	2	45:3:2	فِى	فِى		P					STEM|POS:P|LEM:fiY
w-s045-a003-w003	45:3	45:3	3	45:3:3	ٱلسَّمَٰوَٰتِ	سَمَآء	س م و	N					PREFIX|Al+ | STEM|POS:N|LEM:samaA^'|ROOT:smw|FP|GEN
w-s045-a003-w004	45:3	45:3	4	45:3:4	وَٱلْأَرْضِ	أَرْض	ء ر ض	N					PREFIX|w:CONJ+ | PREFIX|Al+ | STEM|POS:N|LEM:>aroD|ROOT:ArD|F|GEN
w-s045-a003-w005	45:3	45:3	5	45:3:5	لَءَايَٰتٍ	ءَايَة	ء ي ي	N					PREFIX|l:EMPH+ | STEM|POS:N|LEM:'aAyap|ROOT:Ayy|FP|INDEF|GEN
w-s045-a003-w006	45:3	45:3	6	45:3:6	لِّلْمُؤْمِنِينَ	مُؤْمِن	ء م ن	N			ACT	IV	PREFIX|l:P+ | PREFIX|Al+ | STEM|POS:N|ACT|PCPL|(IV)|LEM:mu&omin|ROOT:Amn|MP|GEN
w-s045-a004-w001	45:4	45:4	1	45:4:1	وَفِى	فِى		P					PREFIX|w:CONJ+ | STEM|POS:P|LEM:fiY
w-s045-a004-w002	45:4	45:4	2	45:4:2	خَلْقِكُمْ	خَلْق	خ ل ق	N					STEM|POS:N|LEM:xaloq|ROOT:xlq|M|GEN | SUFFIX|PRON:2MP
w-s045-a004-w003	45:4	45:4	3	45:4:3	وَمَا	مَا		REL					PREFIX|w:CONJ+ | STEM|POS:REL|LEM:maA
w-s045-a004-w004	45:4	45:4	4	45:4:4	يَبُثُّ	بَثَّ	ب ث ث	V	IMPF				STEM|POS:V|IMPF|LEM:bav~a|ROOT:bvv|3MS
w-s045-a004-w005	45:4	45:4	5	45:4:5	مِن	مِن		P					STEM|POS:P|LEM:min
w-s045-a004-w006	45:4	45:4	6	45:4:6	دَآبَّةٍ	دَآبَّة	د ب ب	N					STEM|POS:N|LEM:daA^b~ap|ROOT:dbb|F|INDEF|GEN
w-s045-a004-w007	45:4	45:4	7	45:4:7	ءَايَٰتٌ	ءَايَة	ء ي ي	N					STEM|POS:N|LEM:'aAyap|ROOT:Ayy|FP|INDEF|NOM
w-s045-a004-w008	45:4	45:4	8	45:4:8	لِّقَوْمٍ	قَوْم	ق و م	N					PREFIX|l:P+ | STEM|POS:N|LEM:qawom|ROOT:qwm|M|INDEF|GEN
w-s045-a004-w009	45:4	45:4	9	45:4:9	يُوقِنُونَ	يُوقِنُ	ي ق ن	V	IMPF			IV	STEM|POS:V|IMPF|(IV)|LEM:yuwqinu|ROOT:yqn|3MP | SUFFIX|PRON:3MP
w-s045-a005-w001	45:5	45:5	1	45:5:1	وَٱخْتِلَٰفِ	ٱخْتِلَٰف	خ ل ف	N				VIII	PREFIX|w:CONJ+ | STEM|POS:N|VN|(VIII)|LEM:{xotila`f|ROOT:xlf|M|GEN
w-s045-a005-w002	45:5	45:5	2	45:5:2	ٱلَّيْلِ	لَيْل	ل ي ل	N					PREFIX|Al+ | STEM|POS:N|LEM:layol|ROOT:lyl|M|GEN
w-s045-a005-w003	45:5	45:5	3	45:5:3	وَٱلنَّهَارِ	نَهَار	ن ه ر	N					PREFIX|w:CONJ+ | PREFIX|Al+ | STEM|POS:N|LEM:nahaAr|ROOT:nhr|M|GEN
w-s045-a005-w004	45:5	45:5	4	45:5:4	وَمَآ	مَا		REL					PREFIX|w:CONJ+ | STEM|POS:REL|LEM:maA
