surah	ayah	word_index	morpheme_index	qac_ref	surface_ar	lemma_ar	root_ar	root_norm	pos	morpheme_role	morph_features	aspect	mood	voice	measure	person	number	gender
106	1	1	1	106:1:1:1	لِ				P	PREFIX	PREFIX|l:P+							
106	1	1	2	106:1:1:2	إِيلَٰفِ	إِلَٰف	ء ل ف	ء ل ف	N	STEM	STEM|POS:N|VN|(IV)|LEM:<ila`f|ROOT:Alf|M|GEN				IV			
106	1	2	1	106:1:2:1	قُرَيْشٍ	قُرَيْش			PN	STEM	STEM|POS:PN|LEM:qurayo$|P|GEN							
106	2	1	1	106:2:1:1	إِۦلَٰفِ	إِلَٰف	ء ل ف	ء ل ف	N	STEM	STEM|POS:N|VN|(IV)|LEM:<ila`f|ROOT:Alf|M|GEN				IV			
106	2	1	2	106:2:1:2	هِمْ				PRON	SUFFIX	SUFFIX|PRON:3MP							
106	2	2	1	106:2:2:1	رِحْلَةَ	رِحْلَة	ر ح ل	ر ح ل	N	STEM	STEM|POS:N|LEM:riHolap|ROOT:rHl|F|ACC							
106	2	3	1	106:2:3:1	ٱل				DET	PREFIX	PREFIX|Al+							
106	2	3	2	106:2:3:2	شِّتَآءِ	شِّتَآء	ش ت و	ش ت و	N	STEM	STEM|POS:N|LEM:$~itaA^'|ROOT:$tw|M|GEN							
106	2	4	1	106:2:4:1	وَ				CONJ	PREFIX	PREFIX|w:CONJ+							
106	2	4	2	106:2:4:2	ٱل				DET	PREFIX	PREFIX|Al+							
106	2	4	3	106:2:4:3	صَّيْفِ	صَّيْف	ص ي ف	ص ي ف	N	STEM	STEM|POS:N|LEM:S~ayof|ROOT:Syf|M|GEN							
106	3	1	1	106:3:1:1	فَ				CONJ	PREFIX	PREFIX|f:CONJ+							
106	3	1	2	106:3:1:2	لْ				IMPV	PREFIX	PREFIX|l:IMPV+							
106	3	1	3	106:3:1:3	يَعْبُدُ	عَبَدَ	ع ب د	ع ب د	V	STEM	STEM|POS:V|IMPF|LEM:Eabada|ROOT:Ebd|3MP|MOOD:JUS	IMPF	JUS					
106	3	1	4	106:3:1:4	وا۟				PRON	SUFFIX	SUFFIX|PRON:3MP							
106	3	2	1	106:3:2:1	رَبَّ	رَبّ	ر ب ب	ر ب ب	N	STEM	STEM|POS:N|LEM:rab~|ROOT:rbb|M|ACC							
106	3	3	1	106:3:3:1	هَٰذَا	هَٰذَا			DEM	STEM	STEM|POS:DEM|LEM:ha`*aA|MS							
106	3	4	1	106:3:4:1	ٱلْ				DET	PREFIX	PREFIX|Al+							
106	3	4	2	106:3:4:2	بَيْتِ	بَيْت	ب ي ت	ب ي ت	N	STEM	STEM|POS:N|LEM:bayot|ROOT:byt|M|GEN							
106	4	1	1	106:4:1:1	ٱلَّذِىٓ	ٱلَّذِى			REL	STEM	STEM|POS:REL|LEM:{l~a*iY|MS							
106	4	2	1	106:4:2:1	أَطْعَمَ	أَطْعَمَ	ط ع م	ط ع م	V	STEM	STEM|POS:V|PERF|(IV)|LEM:>aToEama|ROOT:TEm|3MS	PERF			IV			
106	4	2	2	106:4:2:2	هُم				PRON	SUFFIX	SUFFIX|PRON:3MP							
106	4	3	1	106:4:3:1	مِّن	مِن			P	STEM	STEM|POS:P|LEM:min							
106	4	4	1	106:4:4:1	جُوعٍ	جُوع	ج و ع	ج و ع	N	STEM	STEM|POS:N|LEM:juwE|ROOT:jwE|M|INDEF|GEN							
106	4	5	1	106:4:5:1	وَ				CONJ	PREFIX	PREFIX|w:CONJ+							
106	4	5	2	106:4:5:2	ءَامَنَ	ءَامَنَ	ء م ن	ء م ن	V	STEM	STEM|POS:V|PERF|(IV)|LEM:'aAmana|ROOT:Amn|3MS	PERF			IV			
106	4	5	3	106:4:5:3	هُم				PRON	SUFFIX	SUFFIX|PRON:3MP							
106	4	6	1	106:4:6:1	مِّنْ	مِن			P	STEM	STEM|POS:P|LEM:min							
106	4	7	1	106:4:7:1	خَوْفٍۭ	خَوْف	خ و ف	خ و ف	N	STEM	STEM|POS:N|LEM:xawof|ROOT:xwf|M|INDEF|GEN							
