edge_id	source_position	target_position	edge_type	direction	confidence	exact_surface_span	evidence	reason
ae:v3:s106:001:pass1:attach:a1	q:106:1:1	q:106:1:2	idafa	head-to-dependent	high	لِإِيلَافِ | قُرَيْشٍ	case_government;local_syntax	قُرَيْشٍ is the genitive muḍāf ilayh of إِيلَٰفِ.
ae:v3:s106:002:pass1:attach:a1	q:106:2:1	q:106:2:1	idafa	head-to-dependent	high	إِيلَافِهِمْ	morphology;local_syntax	The suffix هِمْ is the possessive dependent of إِۦلَٰفِ.
ae:v3:s106:002:pass1:attach:a2	q:106:2:1	q:106:2:2	direct_object	head-to-dependent	medium	إِيلَافِهِمْ | رِحْلَةَ	case_government;local_syntax	رِحْلَةَ is accusative as the object of the verbal noun إِۦلَٰفِهِمْ.
ae:v3:s106:002:pass1:attach:a3	q:106:2:2	q:106:2:3	idafa	head-to-dependent	high	رِحْلَةَ | الشِّتَاءِ	case_government;local_syntax	ٱلشِّتَآءِ is the genitive muḍāf ilayh of رِحْلَةَ.
ae:v3:s106:002:pass1:attach:a4	q:106:2:3	q:106:2:5	conjoined	head-to-dependent	high	الشِّتَاءِ | وَالصَّيْفِ	parallelism;local_syntax	وَ coordinates ٱلصَّيْفِ with ٱلشِّتَآءِ in the same genitive construction.
ae:v3:s106:003:pass1:attach:a1	q:106:3:2	q:106:3:3	particle_complement	head-to-dependent	high	فَلْيَعْبُدُوا | فَلْيَعْبُدُوا	morphology;local_syntax	لْ is lām al-amr and governs يَعْبُدُوا۟ in the jussive.
ae:v3:s106:003:pass1:attach:a2	q:106:3:3	q:106:3:4	direct_object	head-to-dependent	high	فَلْيَعْبُدُوا | رَبَّ	case_government;local_syntax	رَبَّ is the accusative object of يَعْبُدُوا۟.
ae:v3:s106:003:pass1:attach:a3	q:106:3:4	q:106:3:5	idafa	head-to-dependent	high	رَبَّ | هَذَا	case_government;local_syntax	هَٰذَا is the genitive dependent completing the construct رَبَّ هَٰذَا.
ae:v3:s106:003:pass1:attach:a4	q:106:3:5	q:106:3:6	apposition	head-to-dependent	high	هَذَا | الْبَيْتِ	local_syntax	ٱلْبَيْتِ identifies the demonstrative هَٰذَا as an appositional bayān.
ae:v3:s106:004:pass1:attach:a1	q:106:4:2	q:106:4:1	subject	head-to-dependent	high	أَطْعَمَهُمْ | الَّذِي	agreement;local_syntax	ٱلَّذِىٓ is the nominative relative pronoun subject of أَطْعَمَهُم.
ae:v3:s106:004:pass1:attach:a2	q:106:4:2	q:106:4:2	direct_object	head-to-dependent	high	أَطْعَمَهُمْ	morphology;local_syntax	The suffix هُم in أَطْعَمَهُم is the object pronoun governed by أَطْعَمَ.
ae:v3:s106:004:pass1:attach:a3	q:106:4:2	q:106:4:4	prep_complement	head-to-dependent	high	أَطْعَمَهُمْ | جُوعٍ	case_government;local_syntax	جُوعٍۢ is governed by مِّن as the complement of أَطْعَمَهُم.
ae:v3:s106:004:pass1:attach:a4	q:106:4:2	q:106:4:6	conjoined	head-to-dependent	high	أَطْعَمَهُمْ | وَآمَنَهُمْ	parallelism;local_syntax	وَ coordinates ءَامَنَهُم with أَطْعَمَهُم as parallel relative predicates.
ae:v3:s106:004:pass1:attach:a5	q:106:4:6	q:106:4:1	subject	head-to-dependent	high	وَآمَنَهُمْ | الَّذِي	agreement;local_syntax	ٱلَّذِىٓ also supplies the subject of the coordinated verb ءَامَنَهُم.
ae:v3:s106:004:pass1:attach:a6	q:106:4:6	q:106:4:6	direct_object	head-to-dependent	high	وَآمَنَهُمْ	morphology;local_syntax	The suffix هُم in ءَامَنَهُم is the object pronoun governed by ءَامَنَ.
ae:v3:s106:004:pass1:attach:a7	q:106:4:6	q:106:4:8	prep_complement	head-to-dependent	high	وَآمَنَهُمْ | خَوْفٍ	case_government;local_syntax	خَوْفٍۭ is governed by مِّنْ as the complement of ءَامَنَهُم.
