word_id	morpheme_ids	root_id	binding_status
w-s038-a000-w001	m-w-s038-a000-w001-02	root_000745	resolved_source_exact
w-s038-a000-w002	m-w-s038-a000-w002-01	root_000047	resolved_normalized_exact
w-s038-a000-w003	m-w-s038-a000-w003-02	root_000552	resolved_source_exact
w-s038-a000-w004	m-w-s038-a000-w004-02	root_000552	resolved_source_exact
w-s038-a001-w002	m-w-s038-a001-w002-03	root_001210	resolved_source_exact
w-s038-a001-w004	m-w-s038-a001-w004-02	root_000516	resolved_source_exact
w-s038-a002-w003	m-w-s038-a002-w003-01	root_001307	resolved_source_exact
w-s038-a002-w005	m-w-s038-a002-w005-01	root_001008	resolved_source_exact
w-s038-a002-w006	m-w-s038-a002-w006-02	root_000807	resolved_source_exact
w-s038-a003-w002	m-w-s038-a003-w002-01	root_001596	resolved_source_exact
w-s038-a003-w004	m-w-s038-a003-w004-01	root_001198	resolved_source_exact
w-s038-a003-w006	m-w-s038-a003-w006-01	root_001221	resolved_source_exact
w-s038-a003-w007	m-w-s038-a003-w007-02	root_001486	resolved_source_exact
w-s038-a003-w008	m-w-s038-a003-w008-02	root_005889	resolved_source_exact
w-s038-a003-w009	m-w-s038-a003-w009-01	root_000382	resolved_source_exact
w-s038-a003-w010	m-w-s038-a003-w010-01	root_001566	resolved_source_exact
w-s038-a004-w001	m-w-s038-a004-w001-02	root_000984	resolved_source_exact
w-s038-a004-w003	m-w-s038-a004-w003-01	root_000281	resolved_source_exact
w-s038-a004-w004	m-w-s038-a004-w004-01	root_001488	resolved_source_exact
w-s038-a004-w006	m-w-s038-a004-w006-02	root_001272	resolved_source_exact
w-s038-a004-w007	m-w-s038-a004-w007-02	root_001307	resolved_source_exact
w-s038-a004-w009	m-w-s038-a004-w009-01	root_000682	resolved_source_exact
w-s038-a004-w010	m-w-s038-a004-w010-01	root_001290	resolved_source_exact
w-s038-a005-w001	m-w-s038-a005-w001-02	root_000248	resolved_source_exact
w-s038-a005-w002	m-w-s038-a005-w002-02	root_000047	resolved_normalized_exact
w-s038-a005-w003	m-w-s038-a005-w003-01	root_000047	resolved_normalized_exact
w-s038-a005-w004	m-w-s038-a005-w004-01	root_001631	resolved_source_exact
w-s038-a005-w007	m-w-s038-a005-w007-02	root_000831	resolved_source_exact
w-s038-a005-w008	m-w-s038-a005-w008-01	root_000984	resolved_source_exact
w-s038-a006-w001	m-w-s038-a006-w001-02	root_000946	resolved_source_exact
w-s038-a006-w002	m-w-s038-a006-w002-02	root_001441	resolved_normalized_exact
w-s038-a006-w005	m-w-s038-a006-w005-01	root_001427	resolved_source_exact
w-s038-a006-w006	m-w-s038-a006-w006-02	root_000840	resolved_source_exact
w-s038-a006-w008	m-w-s038-a006-w008-01	root_000047	resolved_normalized_exact
w-s038-a006-w011	m-w-s038-a006-w011-02	root_000831	resolved_source_exact
w-s038-a006-w012	m-w-s038-a006-w012-01	root_000610	resolved_source_exact
w-s038-a007-w002	m-w-s038-a007-w002-01	root_000741	resolved_source_exact
w-s038-a007-w005	m-w-s038-a007-w005-02	root_001445	resolved_source_exact
w-s038-a007-w006	m-w-s038-a007-w006-02	root_000019	resolved_normalized_exact
w-s038-a007-w010	m-w-s038-a007-w010-01	root_000434	resolved_source_exact
w-s038-a008-w001	m-w-s038-a008-w001-02	root_001492	resolved_source_exact
w-s038-a008-w003	m-w-s038-a008-w003-02	root_000516	resolved_source_exact
w-s038-a008-w005	m-w-s038-a008-w005-01	root_000170	resolved_source_exact
w-s038-a008-w009	m-w-s038-a008-w009-01	root_000812	resolved_source_exact
w-s038-a008-w011	m-w-s038-a008-w011-01	root_000516	resolved_source_exact
w-s038-a008-w014	m-w-s038-a008-w014-01	root_000526	resolved_source_exact
w-s038-a008-w015	m-w-s038-a008-w015-01	root_000994	resolved_source_exact
w-s038-a009-w002	m-w-s038-a009-w002-01	root_001052	resolved_source_exact
w-s038-a009-w003	m-w-s038-a009-w003-01	root_000406	resolved_source_exact
w-s038-a009-w004	m-w-s038-a009-w004-01	root_000552	resolved_source_exact
w-s038-a009-w005	m-w-s038-a009-w005-01	root_000532	resolved_source_exact
w-s038-a009-w006	m-w-s038-a009-w006-02	root_001008	resolved_source_exact
