surah	ayah	word_index	morpheme_index	qac_ref	surface_ar	lemma_ar	root_ar	root_norm	pos	morpheme_role	morph_features	aspect	mood	voice	measure	person	number	gender
105	1	1	1	105:1:1:1	أَ				INTG	PREFIX	PREFIX|A:INTG+							
105	1	1	2	105:1:1:2	لَمْ	لَم			NEG	STEM	STEM|POS:NEG|LEM:lam							
105	1	2	1	105:1:2:1	تَرَ	رَءَا	ر ء ي	ر ء ي	V	STEM	STEM|POS:V|IMPF|LEM:ra'aA|ROOT:rAy|2MS|MOOD:JUS	IMPF	JUS					
105	1	3	1	105:1:3:1	كَيْفَ	كَيْف	ك ي ف	ك ي ف	INTG	STEM	STEM|POS:INTG|LEM:kayof|ROOT:kyf							
105	1	4	1	105:1:4:1	فَعَلَ	فَعَلَ	ف ع ل	ف ع ل	V	STEM	STEM|POS:V|PERF|LEM:faEala|ROOT:fEl|3MS	PERF						
105	1	5	1	105:1:5:1	رَبُّ	رَبّ	ر ب ب	ر ب ب	N	STEM	STEM|POS:N|LEM:rab~|ROOT:rbb|M|NOM							
105	1	5	2	105:1:5:2	كَ				PRON	SUFFIX	SUFFIX|PRON:2MS							
105	1	6	1	105:1:6:1	بِ				P	PREFIX	PREFIX|bi+							
105	1	6	2	105:1:6:2	أَصْحَٰبِ	أَصْحَٰب	ص ح ب	ص ح ب	N	STEM	STEM|POS:N|LEM:>aSoHa`b|ROOT:SHb|MP|GEN							
105	1	7	1	105:1:7:1	ٱلْ				DET	PREFIX	PREFIX|Al+							
105	1	7	2	105:1:7:2	فِيلِ	فِيل	ف ي ل	ف ي ل	N	STEM	STEM|POS:N|LEM:fiyl|ROOT:fyl|M|GEN							
105	2	1	1	105:2:1:1	أَ				INTG	PREFIX	PREFIX|A:INTG+							
105	2	1	2	105:2:1:2	لَمْ	لَم			NEG	STEM	STEM|POS:NEG|LEM:lam							
105	2	2	1	105:2:2:1	يَجْعَلْ	جَعَلَ	ج ع ل	ج ع ل	V	STEM	STEM|POS:V|IMPF|LEM:jaEala|ROOT:jEl|3MS|MOOD:JUS	IMPF	JUS					
105	2	3	1	105:2:3:1	كَيْدَ	كَيْد	ك ي د	ك ي د	N	STEM	STEM|POS:N|LEM:kayod|ROOT:kyd|M|ACC							
105	2	3	2	105:2:3:2	هُمْ				PRON	SUFFIX	SUFFIX|PRON:3MP							
105	2	4	1	105:2:4:1	فِى	فِى			P	STEM	STEM|POS:P|LEM:fiY							
105	2	5	1	105:2:5:1	تَضْلِيلٍ	تَضْلِيل	ض ل ل	ض ل ل	N	STEM	STEM|POS:N|VN|(II)|LEM:taDoliyl|ROOT:Dll|M|INDEF|GEN				II			
105	3	1	1	105:3:1:1	وَ				CONJ	PREFIX	PREFIX|w:CONJ+							
105	3	1	2	105:3:1:2	أَرْسَلَ	أَرْسَلَ	ر س ل	ر س ل	V	STEM	STEM|POS:V|PERF|(IV)|LEM:>arosala|ROOT:rsl|3MS	PERF			IV			
105	3	2	1	105:3:2:1	عَلَيْ	عَلَىٰ			P	STEM	STEM|POS:P|LEM:EalaY`							
105	3	2	2	105:3:2:2	هِمْ				PRON	SUFFIX	SUFFIX|PRON:3MP							
105	3	3	1	105:3:3:1	طَيْرًا	طَيْر	ط ي ر	ط ي ر	N	STEM	STEM|POS:N|LEM:Tayor|ROOT:Tyr|MP|INDEF|ACC							
105	3	4	1	105:3:4:1	أَبَابِيلَ	أَبَابِيل	ء ب ل	ء ب ل	ADJ	STEM	STEM|POS:ADJ|LEM:>abaAbiyl|ROOT:Abl|MP|INDEF|ACC							
105	4	1	1	105:4:1:1	تَرْمِي	رَمَىٰ	ر م ي	ر م ي	V	STEM	STEM|POS:V|IMPF|LEM:ramaY`|ROOT:rmy|3FS	IMPF						
105	4	1	2	105:4:1:2	هِم				PRON	SUFFIX	SUFFIX|PRON:3MP							
105	4	2	1	105:4:2:1	بِ				P	PREFIX	PREFIX|bi+							
105	4	2	2	105:4:2:2	حِجَارَةٍ	حِجَارَة	ح ج ر	ح ج ر	N	STEM	STEM|POS:N|LEM:HijaArap|ROOT:Hjr|F|INDEF|GEN							
105	4	3	1	105:4:3:1	مِّن	مِن			P	STEM	STEM|POS:P|LEM:min							
105	4	4	1	105:4:4:1	سِجِّيلٍ	سِجِّيل	س ج ل	س ج ل	N	STEM	STEM|POS:N|LEM:sij~iyl|ROOT:sjl|M|INDEF|GEN							
105	5	1	1	105:5:1:1	فَ				CONJ	PREFIX	PREFIX|f:CONJ+							
105	5	1	2	105:5:1:2	جَعَلَ	جَعَلَ	ج ع ل	ج ع ل	V	STEM	STEM|POS:V|PERF|LEM:jaEala|ROOT:jEl|3MS	PERF						
105	5	1	3	105:5:1:3	هُمْ				PRON	SUFFIX	SUFFIX|PRON:3MP							
105	5	2	1	105:5:2:1	كَ				P	PREFIX	PREFIX|ka+							
105	5	2	2	105:5:2:2	عَصْفٍ	عَصْف	ع ص ف	ع ص ف	N	STEM	STEM|POS:N|LEM:EaSof|ROOT:ESf|M|INDEF|GEN							
105	5	3	1	105:5:3:1	مَّأْكُولٍۭ	مَّأْكُول	ء ك ل	ء ك ل	ADJ	STEM	STEM|POS:ADJ|PASS|PCPL|LEM:m~a>okuwl|ROOT:Akl|M|INDEF|GEN			PASS				
