finding_id	ayah_ref	finding_ordinal	grade	anchor_ordinal	branch_ordinal	qac_word_ref	root_id	branch_id	word_id
f-107_0-001	107:0	1	strong	1	1	1:1:1	root_000745	B005	w-s107-a000-w001
f-107_0-001	107:0	1	strong	1	2	1:1:1	root_000745	B008	w-s107-a000-w001
f-107_0-001	107:0	1	strong	2	1	1:1:2	root_000047	B002	w-s107-a000-w002
f-107_0-002	107:0	2	strong	1	1	1:1:2	root_000047	B001	w-s107-a000-w002
f-107_0-002	107:0	2	strong	1	2	1:1:2	root_000047	B002	w-s107-a000-w002
f-107_0-003	107:0	3	strong	1	1	1:1:3	root_000552	B001	w-s107-a000-w003
f-107_0-003	107:0	3	strong	1	2	1:1:3	root_000552	B002	w-s107-a000-w003
f-107_0-003	107:0	3	strong	2	1	1:1:4	root_000552	B001	w-s107-a000-w004
f-107_0-003	107:0	3	strong	2	2	1:1:4	root_000552	B002	w-s107-a000-w004
f-107_0-004	107:0	4	weak	1	1	1:1:3	root_000552	B003	w-s107-a000-w003
f-107_0-004	107:0	4	weak	1	2	1:1:3	root_000552	B004	w-s107-a000-w003
f-107_0-004	107:0	4	weak	2	1	1:1:4	root_000552	B003	w-s107-a000-w004
f-107_0-004	107:0	4	weak	2	2	1:1:4	root_000552	B004	w-s107-a000-w004
f-107_0-005	107:0	5	weak	1	1	1:1:3	root_000552	B001	w-s107-a000-w003
f-107_0-005	107:0	5	weak	2	1	1:1:4	root_000552	B001	w-s107-a000-w004
f-107_1-001	107:1	1	strong	1	1	107:1:1	root_000531	B013	w-s107-a001-w001
f-107_1-001	107:1	1	strong	1	2	107:1:1	root_000531	B001	w-s107-a001-w001
f-107_1-001	107:1	1	strong	1	3	107:1:1	root_000531	B005	w-s107-a001-w001
f-107_1-002	107:1	2	strong	1	1	107:1:4	root_000504	B002	w-s107-a001-w004
f-107_1-002	107:1	2	strong	1	2	107:1:4	root_000504	B003	w-s107-a001-w004
f-107_1-003	107:1	3	strong	1	1	107:1:3	root_001290	B001	w-s107-a001-w003
f-107_1-003	107:1	3	strong	1	2	107:1:3	root_001290	B004	w-s107-a001-w003
f-107_1-003	107:1	3	strong	2	1	107:1:4	root_000504	B001	w-s107-a001-w004
f-107_1-004	107:1	4	reject	1	1	107:1:3	root_001290	B009	w-s107-a001-w003
f-107_1-005	107:1	5	weak	1	1	107:1:4	root_000504	B004	w-s107-a001-w004
f-107_1-005	107:1	5	weak	1	2	107:1:4	root_000504	B005	w-s107-a001-w004
f-107_2-001	107:2	1	strong	1	1	107:2:3	root_000477	B001	w-s107-a002-w003
f-107_2-001	107:2	1	strong	2	1	107:2:4	root_001692	B001	w-s107-a002-w004
f-107_2-002	107:2	2	weak	1	1	107:2:3	root_000477	B002	w-s107-a002-w003
f-107_2-003	107:2	3	reject	1	1	107:2:3	root_000477	B004	w-s107-a002-w003
