left	right	score	edge_jaccard	branch_jaccard	root_ayah_jaccard	window_cosine	branch_containment	edge_containment	edge_type
C002	C011	0.581824	0.518855	0.529732	0.634774	1.0	0.740099	0.691566	mutual_knn
C004	C034	0.507873	0.375762	0.467738	0.796707	1.0	0.689384	0.586586	mutual_knn
C029	C053	0.503768	0.42297	0.45688	0.562238	0.989949	0.652966	0.65229	mutual_knn
C012	C021	0.471173	0.368527	0.453898	0.513511	0.993884	0.637873	0.575331	mutual_knn
C008	C034	0.462666	0.399609	0.381503	0.484599	0.999512	0.599269	0.575087	mutual_knn
C007	C034	0.456849	0.368481	0.385408	0.570351	0.999512	0.573759	0.545004	mutual_knn
C005	C009	0.449866	0.421894	0.312526	0.460621	0.990992	0.517553	0.62906	mutual_knn
C001	C005	0.448179	0.395216	0.324882	0.540075	0.990992	0.505996	0.567898	mutual_knn
C014	C022	0.435975	0.321517	0.39552	0.565599	1.0	0.578004	0.532494	mutual_knn
C043	C051	0.434984	0.359832	0.380692	0.408601	1.0	0.576025	0.5352	mutual_knn
C037	C053	0.42966	0.376009	0.351648	0.371658	0.989949	0.536243	0.559555	mutual_knn
C022	C028	0.420004	0.360337	0.27146	0.583978	1.0	0.440744	0.580567	mutual_knn
C019	C029	0.417684	0.294221	0.38467	0.551718	1.0	0.580479	0.456643	mutual_knn
C002	C033	0.417521	0.277029	0.357464	0.717671	1.0	0.554414	0.479584	mutual_knn
C005	C030	0.407749	0.331816	0.326017	0.470215	0.970143	0.520523	0.605046	mutual_knn
C007	C008	0.403753	0.279335	0.31288	0.702217	1.0	0.50077	0.44512	mutual_knn
C001	C009	0.401931	0.320216	0.311842	0.482699	1.0	0.500038	0.515538	mutual_knn
C012	C027	0.399495	0.307767	0.25819	0.681546	1.0	0.430505	0.513102	mutual_knn
C032	C059	0.398544	0.284207	0.381029	0.431375	0.989949	0.619878	0.572499	mutual_knn
C003	C006	0.395713	0.263442	0.357786	0.566556	1.0	0.551339	0.48965	mutual_knn
C046	C070	0.3956	0.322631	0.290122	0.482532	0.989949	0.451443	0.493954	mutual_knn
C043	C066	0.389792	0.234942	0.338252	0.708456	1.0	0.511203	0.389852	mutual_knn
C017	C030	0.388269	0.299115	0.341375	0.369106	0.993884	0.520022	0.465653	mutual_knn
C002	C062	0.386521	0.325806	0.30158	0.331445	1.0	0.487486	0.559476	mutual_knn
C032	C040	0.384917	0.264838	0.324207	0.552355	1.0	0.529455	0.517316	mutual_knn
C008	C047	0.3824	0.239829	0.320651	0.663385	0.999512	0.506919	0.424026	mutual_knn
C036	C061	0.376213	0.267411	0.340325	0.404102	1.0	0.576702	0.439382	mutual_knn
C001	C007	0.373614	0.278237	0.254808	0.580535	1.0	0.426603	0.458351	mutual_knn
C003	C051	0.373123	0.261387	0.326634	0.476121	0.968277	0.493538	0.415379	mutual_knn
C007	C015	0.37269	0.228592	0.294143	0.701507	1.0	0.468607	0.3871	mutual_knn
C037	C046	0.372321	0.283123	0.260262	0.526815	1.0	0.429971	0.482265	mutual_knn
C040	C059	0.371097	0.268795	0.31714	0.425624	0.989949	0.498997	0.440444	mutual_knn
C030	C067	0.370843	0.271486	0.30594	0.433179	1.0	0.483981	0.498465	mutual_knn
C057	C067	0.370681	0.245597	0.308788	0.552457	1.0	0.499321	0.422907	mutual_knn
C029	C037	0.370445	0.311249	0.271854	0.332639	1.0	0.431716	0.534418	mutual_knn
C001	C034	0.369783	0.255014	0.264344	0.630218	0.999512	0.453608	0.42259	mutual_knn
C017	C025	0.36737	0.286492	0.266276	0.448523	0.993884	0.422961	0.451222	mutual_knn
C052	C053	0.365174	0.285532	0.268276	0.450972	0.968277	0.425228	0.562623	mutual_knn
C004	C008	0.365132	0.208451	0.329759	0.620273	0.999512	0.497425	0.37327	mutual_knn
C010	C027	0.364947	0.248511	0.272866	0.588311	1.0	0.435523	0.399765	mutual_knn
C004	C031	0.363673	0.256867	0.284132	0.499995	1.0	0.475111	0.413269	mutual_knn
C025	C063	0.363204	0.240566	0.276237	0.600495	1.0	0.437681	0.458539	mutual_knn
C001	C004	0.363099	0.232635	0.284354	0.615245	0.999512	0.444002	0.42259	mutual_knn
C024	C028	0.36122	0.244267	0.269217	0.586973	0.996241	0.491681	0.409613	mutual_knn
C018	C067	0.360944	0.229804	0.30122	0.556765	1.0	0.469605	0.425751	mutual_knn
C022	C024	0.35547	0.230628	0.308726	0.479138	0.996241	0.528018	0.430072	mutual_knn
C053	C059	0.351305	0.227965	0.322373	0.406104	1.0	0.487973	0.37923	mutual_knn
C003	C035	0.349709	0.249007	0.279618	0.419317	0.993884	0.449239	0.44815	mutual_knn
C043	C059	0.34692	0.247533	0.273612	0.410696	1.0	0.432707	0.42214	mutual_knn
C018	C029	0.345752	0.205844	0.29751	0.535773	1.0	0.479128	0.377051	mutual_knn
C029	C051	0.344538	0.265864	0.280239	0.285395	0.989949	0.439838	0.447268	mutual_knn
C037	C051	0.343244	0.244186	0.22369	0.550488	0.989949	0.367485	0.413692	mutual_knn
C011	C062	0.341888	0.255413	0.238812	0.425379	1.0	0.391364	0.469536	mutual_knn
C017	C057	0.34168	0.248367	0.287615	0.318242	0.993884	0.44759	0.42578	mutual_knn
C006	C015	0.340083	0.18296	0.27306	0.666853	1.0	0.441335	0.323216	mutual_knn
C025	C040	0.33843	0.232686	0.29609	0.332598	1.0	0.460181	0.397572	mutual_knn
C019	C020	0.338307	0.204247	0.243581	0.637207	0.993884	0.418053	0.358937	mutual_knn
C005	C007	0.337316	0.238972	0.21925	0.529561	0.990992	0.390342	0.405119	mutual_knn
C008	C014	0.337268	0.208321	0.269546	0.522442	1.0	0.428025	0.34563	mutual_knn
C017	C055	0.33715	0.202811	0.240439	0.642241	0.993884	0.388801	0.392809	mutual_knn
C012	C019	0.335499	0.190678	0.282025	0.561637	0.993884	0.452045	0.34493	mutual_knn
C001	C008	0.335309	0.211456	0.266743	0.495581	1.0	0.421237	0.360367	mutual_knn
C020	C027	0.334743	0.208968	0.216724	0.652423	1.0	0.359985	0.383728	mutual_knn
C014	C028	0.333512	0.219818	0.22005	0.57588	1.0	0.365056	0.435486	mutual_knn
C003	C013	0.333365	0.213288	0.274797	0.442822	1.0	0.446121	0.353966	mutual_knn
C025	C055	0.33323	0.174378	0.277311	0.62848	1.0	0.435408	0.340873	mutual_knn
C012	C023	0.332355	0.206803	0.29124	0.421926	0.993884	0.457771	0.37134	mutual_knn
C042	C065	0.332342	0.224237	0.251121	0.45892	0.989949	0.405671	0.366739	mutual_knn
C026	C043	0.330846	0.158785	0.287615	0.661739	0.989949	0.461157	0.282315	mutual_knn
C059	C069	0.330806	0.212105	0.231814	0.55209	1.0	0.38868	0.350792	mutual_knn
C002	C068	0.330506	0.185102	0.265186	0.583993	1.0	0.432447	0.459001	mutual_knn
C018	C021	0.330194	0.225576	0.237888	0.4604	1.0	0.399476	0.38202	mutual_knn
C012	C018	0.32859	0.177101	0.287653	0.543551	0.993884	0.474786	0.309435	mutual_knn
C013	C069	0.326506	0.206757	0.277622	0.430131	0.968277	0.446824	0.364572	mutual_knn
C041	C063	0.324028	0.203666	0.246915	0.491257	0.989949	0.424849	0.360035	mutual_knn
C012	C020	0.323943	0.163763	0.27678	0.590268	1.0	0.449883	0.286177	mutual_knn
C050	C060	0.323198	0.169457	0.266618	0.584844	1.0	0.422413	0.319881	mutual_knn
C004	C005	0.32308	0.193258	0.232496	0.572337	0.994692	0.390342	0.361681	mutual_knn
C019	C064	0.32197	0.163186	0.287129	0.593703	0.948683	0.474249	0.292153	mutual_knn
C005	C016	0.32128	0.232727	0.217141	0.397742	1.0	0.385559	0.488768	mutual_knn
C003	C010	0.321236	0.188482	0.241166	0.546451	1.0	0.393568	0.350611	mutual_knn
C010	C065	0.321157	0.193545	0.315245	0.329829	0.968277	0.488564	0.329306	mutual_knn
C019	C071	0.320804	0.196537	0.223083	0.556104	1.0	0.391056	0.423484	mutual_knn
C005	C017	0.319862	0.184424	0.226718	0.605354	0.990992	0.382705	0.373256	mutual_knn
C011	C064	0.319818	0.204566	0.290563	0.35498	0.948683	0.470317	0.344266	mutual_knn
C018	C020	0.319657	0.158283	0.268654	0.605304	0.993884	0.43338	0.285913	mutual_knn
C011	C033	0.319304	0.164986	0.230174	0.677594	1.0	0.379603	0.317278	mutual_knn
C031	C036	0.319119	0.228371	0.253038	0.300273	0.989949	0.47039	0.472464	mutual_knn
C051	C059	0.318671	0.215033	0.222105	0.445235	1.0	0.376912	0.372121	mutual_knn
C018	C057	0.318172	0.178993	0.258315	0.511815	1.0	0.428083	0.321349	mutual_knn
C017	C022	0.317678	0.160549	0.256761	0.603748	1.0	0.41483	0.354168	mutual_knn
C006	C027	0.317524	0.1723	0.260679	0.531708	1.0	0.420271	0.31202	mutual_knn
C007	C016	0.315962	0.2163	0.195337	0.501115	0.990992	0.385559	0.488768	mutual_knn
C019	C021	0.315846	0.159699	0.24069	0.637892	1.0	0.407484	0.318297	mutual_knn
C024	C041	0.315739	0.183377	0.22838	0.556904	0.99846	0.448799	0.353171	mutual_knn
C027	C044	0.315713	0.19898	0.222384	0.501195	0.993884	0.368484	0.338403	mutual_knn
C055	C068	0.315279	0.152458	0.23537	0.68439	1.0	0.390596	0.281108	mutual_knn
C004	C039	0.315182	0.20071	0.247788	0.410217	0.994692	0.424191	0.486535	mutual_knn
C029	C052	0.315034	0.24801	0.229473	0.227982	0.993884	0.386567	0.562623	mutual_knn
C002	C064	0.312664	0.216841	0.276216	0.265106	0.948683	0.44246	0.356877	mutual_knn
C034	C047	0.31176	0.169549	0.248995	0.522876	1.0	0.413788	0.315359	mutual_knn
C003	C043	0.310432	0.211161	0.218271	0.425421	0.968277	0.375179	0.351824	mutual_knn
C019	C069	0.30982	0.168707	0.268557	0.45905	0.989949	0.446378	0.326557	mutual_knn
C005	C068	0.309815	0.168904	0.243615	0.552648	0.970143	0.414868	0.299193	mutual_knn
C016	C034	0.30979	0.220305	0.18728	0.439842	0.994692	0.385559	0.488768	mutual_knn
C027	C054	0.309722	0.179874	0.183278	0.648018	1.0	0.311779	0.319064	mutual_knn
C011	C056	0.309686	0.164055	0.272114	0.470288	0.989949	0.470267	0.407689	mutual_knn
C028	C063	0.309383	0.177248	0.269167	0.406204	0.993884	0.438535	0.350462	mutual_knn
C010	C044	0.309016	0.153138	0.241325	0.606608	0.993884	0.400071	0.271955	mutual_knn
C011	C013	0.308857	0.159995	0.251736	0.539501	0.993884	0.411698	0.309553	mutual_knn
C004	C007	0.30866	0.181595	0.207661	0.556126	0.999512	0.360218	0.32592	mutual_knn
C009	C030	0.308389	0.204179	0.201673	0.46409	0.993884	0.344134	0.3858	mutual_knn
C044	C065	0.307774	0.206853	0.262056	0.267353	0.989949	0.419189	0.356518	mutual_knn
C011	C068	0.305986	0.149657	0.197434	0.719274	1.0	0.341244	0.388717	mutual_knn
C010	C071	0.30582	0.183985	0.223575	0.473668	0.993884	0.368921	0.333967	mutual_knn
C012	C071	0.305782	0.193542	0.220927	0.433446	0.993884	0.377188	0.383945	mutual_knn
C006	C047	0.305677	0.140993	0.219995	0.692313	0.999512	0.362169	0.266618	mutual_knn
C037	C040	0.304711	0.221514	0.195904	0.351823	1.0	0.329086	0.3761	mutual_knn
C019	C027	0.303942	0.167091	0.230255	0.519315	0.993884	0.403925	0.338153	mutual_knn
C053	C069	0.303117	0.177446	0.230136	0.453528	1.0	0.386061	0.308587	mutual_knn
C044	C071	0.302719	0.160187	0.239362	0.508175	1.0	0.393632	0.304322	mutual_knn
C037	C070	0.302577	0.191793	0.222446	0.409514	0.989949	0.377402	0.347082	mutual_knn
C009	C062	0.301824	0.13291	0.262889	0.571136	0.993884	0.418645	0.265883	mutual_knn
C003	C015	0.300259	0.140721	0.242513	0.571448	1.0	0.396767	0.275984	mutual_knn
C013	C054	0.300046	0.129306	0.269007	0.546911	1.0	0.429064	0.266784	mutual_knn
C007	C009	0.29987	0.182815	0.15308	0.625386	1.0	0.265843	0.311888	mutual_knn
C008	C022	0.299047	0.189976	0.226734	0.360393	1.0	0.373913	0.348519	mutual_knn
C023	C047	0.298924	0.230567	0.218511	0.190922	0.989949	0.375116	0.378341	mutual_knn
C042	C057	0.298376	0.157601	0.235183	0.490208	1.0	0.397608	0.277381	mutual_knn
C032	C069	0.298249	0.151941	0.189511	0.664304	0.989949	0.345759	0.340239	mutual_knn
C021	C029	0.297389	0.169399	0.203578	0.516161	1.0	0.33999	0.333194	mutual_knn
C027	C041	0.296313	0.116668	0.224695	0.706197	0.999512	0.3762	0.249169	mutual_knn
C036	C056	0.295647	0.153683	0.22403	0.526018	0.989949	0.380905	0.300015	mutual_knn
C050	C058	0.295588	0.17091	0.19562	0.514467	1.0	0.331608	0.367247	mutual_knn
C047	C050	0.295292	0.216553	0.20583	0.292663	0.96	0.347451	0.371194	mutual_knn
C012	C038	0.295269	0.174329	0.207806	0.463736	0.993884	0.365753	0.332581	mutual_knn
C013	C035	0.295242	0.146268	0.261971	0.441279	0.993884	0.417876	0.288997	mutual_knn
C029	C040	0.295094	0.175581	0.216563	0.423343	1.0	0.357937	0.35009	mutual_knn
C026	C073	0.29473	0.166626	0.215691	0.477146	0.989949	0.359969	0.311114	mutual_knn
C023	C038	0.294554	0.165885	0.211352	0.482057	1.0	0.365263	0.293514	mutual_knn
C010	C050	0.293948	0.140831	0.246429	0.527757	0.968277	0.413948	0.262721	mutual_knn
C050	C065	0.293483	0.157273	0.201212	0.544826	1.0	0.343948	0.29394	mutual_knn
C045	C048	0.293336	0.158298	0.189447	0.573523	1.0	0.321877	0.308582	mutual_knn
C009	C016	0.293186	0.163378	0.197549	0.531329	0.990992	0.389759	0.390374	mutual_knn
C013	C045	0.293117	0.156643	0.233237	0.454361	0.993884	0.380144	0.298242	mutual_knn
C033	C045	0.292877	0.117699	0.262525	0.552696	1.0	0.41748	0.232308	mutual_knn
C033	C038	0.292142	0.129606	0.209777	0.644064	1.0	0.347407	0.261941	mutual_knn
C021	C025	0.290341	0.125849	0.23205	0.578014	1.0	0.379267	0.231396	mutual_knn
C025	C026	0.290002	0.147574	0.247927	0.418366	1.0	0.404567	0.261992	mutual_knn
C049	C066	0.289057	0.176732	0.195939	0.429141	0.989949	0.338932	0.350757	mutual_knn
C025	C051	0.288211	0.130717	0.244362	0.505491	0.989949	0.395298	0.239949	mutual_knn
C051	C063	0.287964	0.168815	0.195208	0.459991	0.989949	0.332428	0.356426	mutual_knn
C016	C061	0.287924	0.143793	0.229171	0.502624	0.970143	0.440413	0.294969	mutual_knn
C022	C041	0.287853	0.134488	0.15999	0.726606	0.999512	0.295406	0.238551	mutual_knn
C001	C030	0.287793	0.179156	0.206275	0.369437	0.993884	0.350632	0.370022	mutual_knn
C023	C071	0.28759	0.156434	0.194919	0.508967	1.0	0.334947	0.293818	mutual_knn
C004	C030	0.287442	0.140512	0.229757	0.492635	0.989949	0.382027	0.265915	mutual_knn
C049	C059	0.28712	0.182301	0.190115	0.399395	0.989949	0.324376	0.345802	mutual_knn
C040	C063	0.286864	0.172633	0.20841	0.380252	1.0	0.351281	0.32883	mutual_knn
C006	C041	0.285826	0.138179	0.179232	0.630153	0.999512	0.306628	0.271127	mutual_knn
C011	C060	0.284429	0.16008	0.205937	0.436128	0.989949	0.34244	0.36352	mutual_knn
C026	C070	0.283933	0.147245	0.199453	0.514799	0.989949	0.342647	0.286974	mutual_knn
C006	C046	0.283725	0.163888	0.242764	0.295636	0.993884	0.391728	0.2847	mutual_knn
C060	C064	0.283365	0.101593	0.242902	0.61311	0.98387	0.40713	0.238965	mutual_knn
C009	C055	0.281979	0.116984	0.214512	0.59745	0.993884	0.371346	0.216372	mutual_knn
C032	C035	0.281925	0.123181	0.17529	0.67748	1.0	0.331142	0.264144	mutual_knn
C021	C038	0.281537	0.161683	0.16371	0.515819	1.0	0.292502	0.29108	mutual_knn
C006	C051	0.281089	0.133413	0.246432	0.436258	0.968277	0.412699	0.275703	mutual_knn
C006	C013	0.280539	0.112944	0.192305	0.663755	1.0	0.326005	0.240164	mutual_knn
C055	C063	0.280271	0.107562	0.192082	0.688656	1.0	0.326734	0.1994	mutual_knn
C023	C050	0.280093	0.188937	0.181157	0.322822	0.989949	0.32677	0.3347	mutual_knn
C014	C034	0.279372	0.169412	0.206691	0.327081	0.999512	0.368557	0.291102	mutual_knn
C002	C013	0.279168	0.136796	0.223768	0.442514	0.993884	0.381434	0.266498	mutual_knn
C063	C073	0.278989	0.13856	0.199387	0.508973	0.989949	0.337394	0.267905	mutual_knn
C026	C066	0.278837	0.130715	0.197711	0.551715	0.989949	0.344758	0.232428	mutual_knn
C022	C063	0.277634	0.154258	0.162926	0.522395	0.993884	0.280649	0.28253	mutual_knn
C015	C045	0.277176	0.111928	0.207102	0.596927	0.993884	0.351022	0.205655	mutual_knn
C001	C016	0.276626	0.178177	0.151291	0.430512	0.990992	0.293685	0.390374	mutual_knn
C031	C068	0.276421	0.126111	0.172329	0.62672	0.989949	0.308313	0.256632	mutual_knn
C030	C057	0.276304	0.146567	0.210845	0.397675	1.0	0.356498	0.276839	mutual_knn
C062	C070	0.27538	0.13813	0.221518	0.408649	0.989949	0.363157	0.272022	mutual_knn
C003	C014	0.275089	0.137546	0.147411	0.620932	1.0	0.258441	0.288	mutual_knn
C072	C073	0.275008	0.156557	0.184444	0.465283	0.948683	0.354798	0.362666	mutual_knn
C010	C058	0.274555	0.168588	0.23047	0.242918	0.968277	0.386818	0.33812	mutual_knn
C049	C052	0.274537	0.149427	0.190611	0.432518	0.993884	0.32314	0.283803	mutual_knn
C021	C071	0.274493	0.095057	0.200338	0.668638	1.0	0.340407	0.191272	mutual_knn
C017	C068	0.273614	0.12693	0.164698	0.613512	0.993884	0.289038	0.281108	mutual_knn
C045	C054	0.273504	0.141473	0.213836	0.392283	0.993884	0.358373	0.261051	mutual_knn
C042	C044	0.272205	0.131939	0.20166	0.457369	1.0	0.336016	0.242171	mutual_knn
C049	C064	0.271701	0.169344	0.179115	0.384262	0.948683	0.306508	0.389563	mutual_knn
C041	C055	0.27157	0.137653	0.17346	0.51711	0.989949	0.31257	0.264721	mutual_knn
C014	C015	0.271253	0.097996	0.162639	0.734635	1.0	0.282706	0.188935	mutual_knn
C023	C044	0.270974	0.147916	0.192977	0.39123	1.0	0.338648	0.26124	mutual_knn
C053	C070	0.270803	0.11377	0.152374	0.682063	1.0	0.266049	0.225945	mutual_knn
