edge_id	source_position	target_position	edge_type	direction	confidence	exact_surface_span	evidence	reason
ae:v3:s111:001:pass1:attach:a1	q:111:1:1	q:111:1:2	subject	head-to-dependent	high	تَبَّتْ | يَدَا	agreement;word_order	يَدَآ is the overt dual subject of تَبَّتْ, with the feminine verb agreeing with the grammatically feminine dual.
ae:v3:s111:001:pass1:attach:a2	q:111:1:2	q:111:1:3	idafa	head-to-dependent	high	يَدَا | أَبِي	case_government;local_syntax	أَبِى is genitive as the muḍāf ilayh of يَدَآ.
ae:v3:s111:001:pass1:attach:a3	q:111:1:3	q:111:1:4	idafa	head-to-dependent	high	أَبِي | لَهَبٍ	case_government;local_syntax	لَهَبٍ completes the proper-name idafa after أَبِى.
ae:v3:s111:001:pass1:attach:a4	q:111:1:1	q:111:1:6	conjoined	head-to-dependent	high	تَبَّتْ | وَتَبَّ	local_syntax	تَبَّ is coordinated by وَ with the earlier verbal predicate تَبَّتْ.
ae:v3:s111:002:pass1:attach:a1	q:111:2:2	q:111:2:3	prep_complement	head-to-dependent	high	أَغْنَى	case_government;local_syntax	The pronoun suffix هُ in عَنْهُ is governed by عَنْ as the prepositional complement of أَغْنَىٰ.
ae:v3:s111:002:pass1:attach:a2	q:111:2:2	q:111:2:4	subject	head-to-dependent	high	أَغْنَى | مَالُهُ	case_government;word_order	مَالُهُ is nominative as the explicit subject of أَغْنَىٰ.
ae:v3:s111:002:pass1:attach:a3	q:111:2:4	q:111:2:6	conjoined	head-to-dependent	high	مَالُهُ | وَمَا	local_syntax	وَمَا كَسَبَ is coordinated with مَالُهُ as the second subject expression under the negated verb.
ae:v3:s111:002:pass1:attach:a4	q:111:2:7	q:111:2:6	direct_object	head-to-dependent	high	كَسَبَ | وَمَا	local_syntax;word_order	مَا is the fronted object inside the relative clause governed by كَسَبَ.
ae:v3:s111:002:pass1:attach:a5	q:111:2:4	q:111:2:4	idafa	head-to-dependent	high	مَالُهُ	morphology;local_syntax	The suffix هُ in مَالُهُ is the possessive dependent attached to مَالُ.
ae:v3:s111:003:pass1:attach:a1	q:111:3:1	q:111:3:2	direct_object	head-to-dependent	high	سَيَصْلَى | نَارَاً	case_government;local_syntax	نَارًا is accusative as the direct object of سَيَصْلَىٰ.
ae:v3:s111:003:pass1:attach:a2	q:111:3:2	q:111:3:3	adjective	head-to-dependent	high	نَارَاً | ذَاتَ	agreement;case_government	ذَاتَ agrees with نَارًا in feminine accusative form and describes the fire.
ae:v3:s111:003:pass1:attach:a3	q:111:3:3	q:111:3:4	idafa	head-to-dependent	high	ذَاتَ | لَهَبٍ	case_government;local_syntax	لَهَبٍ is genitive as the muḍāf ilayh of ذَاتَ.
ae:v3:s111:004:pass1:attach:a1	q:111:4:2	q:111:4:3	circumstantial	head-to-dependent	medium	وَامْرَأَتُهُ | حَمَّالَةَ	case_government;local_syntax	حَمَّالَةَ is accusative and can be read as a ḥāl describing ٱمْرَأَتُهُ.
ae:v3:s111:004:pass1:attach:a2	q:111:4:2	q:111:4:3	predication	head-to-dependent	medium	وَامْرَأَتُهُ | حَمَّالَةَ	local_syntax	حَمَّالَةَ ٱلْحَطَبِ can also supply the descriptive predicate for ٱمْرَأَتُهُ in the nominal construction.
ae:v3:s111:004:pass1:attach:a3	q:111:4:3	q:111:4:4	idafa	head-to-dependent	high	حَمَّالَةَ | الْحَطَبِ	case_government;local_syntax	ٱلْحَطَبِ is genitive as the muḍāf ilayh of حَمَّالَةَ.
ae:v3:s111:004:pass1:attach:a4	q:111:4:2	q:111:4:2	idafa	head-to-dependent	high	وَامْرَأَتُهُ	morphology;local_syntax	The suffix هُ in ٱمْرَأَتُهُ is the possessive dependent attached to ٱمْرَأَةُ.
ae:v3:s111:005:pass1:attach:a1	q:111:5:3	q:111:5:2	prep_complement	head-to-dependent	high	حَبْلٌ | جِيدِهَا	case_government;local_syntax	جِيدِهَا is governed by فِى in the locative phrase predicated of حَبْلٌ.
ae:v3:s111:005:pass1:attach:a2	q:111:5:3	q:111:5:2	predication	head-to-dependent	high	حَبْلٌ | جِيدِهَا	local_syntax;word_order	فِى جِيدِهَا is the fronted predicate linked to the delayed subject حَبْلٌ.
ae:v3:s111:005:pass1:attach:a3	q:111:5:3	q:111:5:5	prep_complement	head-to-dependent	high	حَبْلٌ | مَسَدٍ	case_government;local_syntax	مَّسَدٍ is governed by مِّن as a material-specifying complement of حَبْلٌ.
ae:v3:s111:005:pass1:attach:a4	q:111:5:2	q:111:5:2	idafa	head-to-dependent	high	جِيدِهَا	morphology;local_syntax	The suffix هَا in جِيدِهَا is the possessive dependent attached to جِيدِ.
