finding_id	ayah_ref	finding_ordinal	grade	anchor_ordinal	branch_ordinal	qac_word_ref	root_id	branch_id	word_id
f-94_0-001	94:0	1	strong	1	1	1:1:1	root_000745	B005	w-s094-a000-w001
f-94_0-001	94:0	1	strong	1	2	1:1:1	root_000745	B008	w-s094-a000-w001
f-94_0-002	94:0	2	strong	1	1	1:1:3	root_000552	B001	w-s094-a000-w003
f-94_0-002	94:0	2	strong	2	1	1:1:4	root_000552	B001	w-s094-a000-w004
f-94_0-003	94:0	3	weak	1	1	1:1:3	root_000552	B003	w-s094-a000-w003
f-94_0-003	94:0	3	weak	1	2	1:1:3	root_000552	B004	w-s094-a000-w003
f-94_0-003	94:0	3	weak	2	1	1:1:4	root_000552	B003	w-s094-a000-w004
f-94_0-003	94:0	3	weak	2	2	1:1:4	root_000552	B004	w-s094-a000-w004
f-94_0-004	94:0	4	weak	1	1	1:1:2	root_000047	B001	w-s094-a000-w002
f-94_0-004	94:0	4	weak	1	2	1:1:2	root_000047	B002	w-s094-a000-w002
f-94_1-001	94:1	1	strong	1	1	94:1:2	root_000784	B002	w-s094-a001-w002
f-94_1-001	94:1	1	strong	2	1	94:1:4	root_000849	B001	w-s094-a001-w004
f-94_1-002	94:1	2	strong	1	1	94:1:2	root_000784	B001	w-s094-a001-w002
f-94_1-002	94:1	2	strong	2	1	94:1:4	root_000849	B004	w-s094-a001-w004
f-94_1-003	94:1	3	reject	1	1	94:1:2	root_000784	B006	w-s094-a001-w002
f-94_1-004	94:1	4	weak	1	1	94:1:2	root_000784	B005	w-s094-a001-w002
f-94_1-005	94:1	5	reject	1	1	94:1:2	root_000784	B001	w-s094-a001-w002
f-94_1-005	94:1	5	reject	2	1	94:1:4	root_000849	B001	w-s094-a001-w004
f-94_2-001	94:2	1	strong	1	1	94:2:1	root_001657	B001	w-s094-a002-w001
f-94_2-001	94:2	1	strong	2	1	94:2:3	root_001643	B002	w-s094-a002-w003
f-94_2-002	94:2	2	weak	1	1	94:2:1	root_001657	B002	w-s094-a002-w001
f-94_2-002	94:2	2	weak	2	1	94:2:3	root_001643	B002	w-s094-a002-w003
f-94_2-003	94:2	3	reject	1	1	94:2:1	root_001657	B001	w-s094-a002-w001
f-94_2-003	94:2	3	reject	2	1	94:2:3	root_001643	B001	w-s094-a002-w003
f-94_2-004	94:2	4	weak	1	1	94:2:3	root_001643	B004	w-s094-a002-w003
f-94_2-005	94:2	5	reject	1	1	94:2:1	root_001657	B004	w-s094-a002-w001
f-94_2-005	94:2	5	reject	2	1	94:2:3	root_001643	B002	w-s094-a002-w003
f-94_3-001	94:3	1	strong	1	1	94:3:2	root_001543	B005	w-s094-a003-w002
f-94_3-001	94:3	1	strong	2	1	94:3:3	root_000970	B002	w-s094-a003-w003
f-94_3-002	94:3	2	weak	1	1	94:3:2	root_001543	B001	w-s094-a003-w002
f-94_3-002	94:3	2	weak	2	1	94:3:3	root_000970	B006	w-s094-a003-w003
f-94_3-002	94:3	2	weak	2	2	94:3:3	root_000970	B016	w-s094-a003-w003
f-94_3-003	94:3	3	weak	1	1	94:3:2	root_001543	B002	w-s094-a003-w002
