surah	ayah	word_index	morpheme_index	qac_ref	surface_ar	lemma_ar	root_ar	root_norm	root_key	pos	morpheme_role	morph_features	aspect	mood	voice	measure	person	number	gender	context_role	source_ref	data_quality
103	1	1	1	103:1:1:1	وَ					P	PREFIX	PREFIX|w:P+								in-scope	raw-qac-database:row:1	full-morpheme-database
103	1	1	2	103:1:1:2	ٱلْ					DET	PREFIX	PREFIX|Al+								in-scope	raw-qac-database:row:2	full-morpheme-database
103	1	1	3	103:1:1:3	عَصْرِ	عَصْر	ع ص ر	ع ص ر	عصر	N	STEM	STEM|POS:N|LEM:EaSor|ROOT:ESr|M|GEN								in-scope	raw-qac-database:row:3	full-morpheme-database
103	2	1	1	103:2:1:1	إِنَّ	إِنّ				ACC	STEM	STEM|POS:ACC|LEM:<in~|SP:<in~								in-scope	raw-qac-database:row:4	full-morpheme-database
103	2	2	1	103:2:2:1	ٱلْ					DET	PREFIX	PREFIX|Al+								in-scope	raw-qac-database:row:5	full-morpheme-database
103	2	2	2	103:2:2:2	إِنسَٰنَ	إِنسَٰن	ء ن س	ء ن س	ءنس	N	STEM	STEM|POS:N|LEM:<insa`n|ROOT:Ans|M|ACC								in-scope	raw-qac-database:row:6	full-morpheme-database
103	2	3	1	103:2:3:1	لَ					EMPH	PREFIX	PREFIX|l:EMPH+								in-scope	raw-qac-database:row:7	full-morpheme-database
103	2	3	2	103:2:3:2	فِى	فِى				P	STEM	STEM|POS:P|LEM:fiY								in-scope	raw-qac-database:row:8	full-morpheme-database
103	2	4	1	103:2:4:1	خُسْرٍ	خُسْر	خ س ر	خ س ر	خسر	N	STEM	STEM|POS:N|LEM:xusor|ROOT:xsr|M|INDEF|GEN								in-scope	raw-qac-database:row:9	full-morpheme-database
103	3	1	1	103:3:1:1	إِلَّا	إِلَّا				EXP	STEM	STEM|POS:EXP|LEM:<il~aA								in-scope	raw-qac-database:row:10	full-morpheme-database
103	3	2	1	103:3:2:1	ٱلَّذِينَ	ٱلَّذِى				REL	STEM	STEM|POS:REL|LEM:{l~a*iY|MP								in-scope	raw-qac-database:row:11	full-morpheme-database
103	3	3	1	103:3:3:1	ءَامَنُ	ءَامَنَ	ء م ن	ء م ن	ءمن	V	STEM	STEM|POS:V|PERF|(IV)|LEM:'aAmana|ROOT:Amn|3MP	PERF			IV				in-scope	raw-qac-database:row:12	full-morpheme-database
103	3	3	2	103:3:3:2	وا۟					PRON	SUFFIX	SUFFIX|PRON:3MP								in-scope	raw-qac-database:row:13	full-morpheme-database
103	3	4	1	103:3:4:1	وَ					CONJ	PREFIX	PREFIX|w:CONJ+								in-scope	raw-qac-database:row:14	full-morpheme-database
103	3	4	2	103:3:4:2	عَمِلُ	عَمِلَ	ع م ل	ع م ل	عمل	V	STEM	STEM|POS:V|PERF|LEM:Eamila|ROOT:Eml|3MP	PERF							in-scope	raw-qac-database:row:15	full-morpheme-database
103	3	4	3	103:3:4:3	وا۟					PRON	SUFFIX	SUFFIX|PRON:3MP								in-scope	raw-qac-database:row:16	full-morpheme-database
103	3	5	1	103:3:5:1	ٱل					DET	PREFIX	PREFIX|Al+								in-scope	raw-qac-database:row:17	full-morpheme-database
103	3	5	2	103:3:5:2	صَّٰلِحَٰتِ	صَّٰلِحَٰت	ص ل ح	ص ل ح	صلح	N	STEM	STEM|POS:N|ACT|PCPL|LEM:S~a`liHa`t|ROOT:SlH|FP|ACC			ACT					in-scope	raw-qac-database:row:18	full-morpheme-database
103	3	6	1	103:3:6:1	وَ					CONJ	PREFIX	PREFIX|w:CONJ+								in-scope	raw-qac-database:row:19	full-morpheme-database
103	3	6	2	103:3:6:2	تَوَاصَ	تَوَاصَ	و ص ي	و ص ي	وصي	V	STEM	STEM|POS:V|PERF|(VI)|LEM:tawaASa|ROOT:wSy|3MP	PERF			VI				in-scope	raw-qac-database:row:20	full-morpheme-database
103	3	6	3	103:3:6:3	وْا۟					PRON	SUFFIX	SUFFIX|PRON:3MP								in-scope	raw-qac-database:row:21	full-morpheme-database
103	3	7	1	103:3:7:1	بِ					P	PREFIX	PREFIX|bi+								in-scope	raw-qac-database:row:22	full-morpheme-database
103	3	7	2	103:3:7:2	ٱلْ					DET	PREFIX	PREFIX|Al+								in-scope	raw-qac-database:row:23	full-morpheme-database
103	3	7	3	103:3:7:3	حَقِّ	حَقّ	ح ق ق	ح ق ق	حقق	N	STEM	STEM|POS:N|LEM:Haq~|ROOT:Hqq|M|GEN								in-scope	raw-qac-database:row:24	full-morpheme-database
103	3	8	1	103:3:8:1	وَ					CONJ	PREFIX	PREFIX|w:CONJ+								in-scope	raw-qac-database:row:25	full-morpheme-database
103	3	8	2	103:3:8:2	تَوَاصَ	تَوَاصَ	و ص ي	و ص ي	وصي	V	STEM	STEM|POS:V|PERF|(VI)|LEM:tawaASa|ROOT:wSy|3MP	PERF			VI				in-scope	raw-qac-database:row:26	full-morpheme-database
103	3	8	3	103:3:8:3	وْا۟					PRON	SUFFIX	SUFFIX|PRON:3MP								in-scope	raw-qac-database:row:27	full-morpheme-database
103	3	9	1	103:3:9:1	بِ					P	PREFIX	PREFIX|bi+								in-scope	raw-qac-database:row:28	full-morpheme-database
103	3	9	2	103:3:9:2	ٱل					DET	PREFIX	PREFIX|Al+								in-scope	raw-qac-database:row:29	full-morpheme-database
103	3	9	3	103:3:9:3	صَّبْرِ	صَبْر	ص ب ر	ص ب ر	صبر	N	STEM	STEM|POS:N|LEM:Sabor|ROOT:Sbr|M|GEN								in-scope	raw-qac-database:row:30	full-morpheme-database
