source_token_id	ayah_ref	source_token_index	surface_ar	word_ids	qac_word_refs	binding_status
t-s078-a000-w001	78:0	1	بِسْمِ	w-s078-a000-w001	1:1:1	one_to_one
t-s078-a000-w002	78:0	2	ٱللَّهِ	w-s078-a000-w002	1:1:2	one_to_one
t-s078-a000-w003	78:0	3	ٱلرَّحْمَٰنِ	w-s078-a000-w003	1:1:3	one_to_one
t-s078-a000-w004	78:0	4	ٱلرَّحِيمِ	w-s078-a000-w004	1:1:4	one_to_one
t-s078-a001-w001	78:1	1	عَمَّ	w-s078-a001-w001	78:1:1	one_to_one
t-s078-a001-w002	78:1	2	يَتَسَآءَلُونَ	w-s078-a001-w002	78:1:2	one_to_one
t-s078-a002-w001	78:2	1	عَنِ	w-s078-a002-w001	78:2:1	one_to_one
t-s078-a002-w002	78:2	2	ٱلنَّبَإِ	w-s078-a002-w002	78:2:2	one_to_one
t-s078-a002-w003	78:2	3	ٱلْعَظِيمِ	w-s078-a002-w003	78:2:3	one_to_one
t-s078-a003-w001	78:3	1	ٱلَّذِى	w-s078-a003-w001	78:3:1	one_to_one
t-s078-a003-w002	78:3	2	هُمْ	w-s078-a003-w002	78:3:2	one_to_one
t-s078-a003-w003	78:3	3	فِيهِ	w-s078-a003-w003	78:3:3	one_to_one
t-s078-a003-w004	78:3	4	مُخْتَلِفُونَ	w-s078-a003-w004	78:3:4	one_to_one
t-s078-a004-w001	78:4	1	كَلَّا	w-s078-a004-w001	78:4:1	one_to_one
t-s078-a004-w002	78:4	2	سَيَعْلَمُونَ	w-s078-a004-w002	78:4:2	one_to_one
t-s078-a005-w001	78:5	1	ثُمَّ	w-s078-a005-w001	78:5:1	one_to_one
t-s078-a005-w002	78:5	2	كَلَّا	w-s078-a005-w002	78:5:2	one_to_one
t-s078-a005-w003	78:5	3	سَيَعْلَمُونَ	w-s078-a005-w003	78:5:3	one_to_one
t-s078-a006-w001	78:6	1	أَلَمْ	w-s078-a006-w001	78:6:1	one_to_one
t-s078-a006-w002	78:6	2	نَجْعَلِ	w-s078-a006-w002	78:6:2	one_to_one
