cooccurrence_id	ayah_ref	left_word_id	right_word_id	left_root	right_root	word_distance	root_distance_min	root_distance_max	local_pair_count	corpus_window_count	corpus_pair_count	source_pair_id
co-78_0-00001	78:0	w-s078-a000-w002	w-s078-a000-w003	ء ل ه	ر ح م	1	1	2	2	130	254	intra_ayah:1:1:root:1
co-78_0-00002	78:0	w-s078-a000-w002	w-s078-a000-w004	ء ل ه	ر ح م	2	1	2	2	130	254	intra_ayah:1:1:root:1
co-78_0-00003	78:0	w-s078-a000-w002	w-s078-a000-w001	ء ل ه	س م و	1	1	1	1	185	319	intra_ayah:1:1:root:2
co-78_0-00004	78:0	w-s078-a000-w003	w-s078-a000-w001	ر ح م	س م و	2	2	3	2	18	21	intra_ayah:1:1:root:3
co-78_0-00005	78:0	w-s078-a000-w004	w-s078-a000-w001	ر ح م	س م و	3	2	3	2	18	21	intra_ayah:1:1:root:3
co-78_2-00006	78:2	w-s078-a002-w003	w-s078-a002-w002	ع ظ م	ن ب ء	1	1	1	1	3	4	intra_ayah:78:2:root:1
co-78_6-00007	78:6	w-s078-a006-w003	w-s078-a006-w002	ء ر ض	ج ع ل	1	1	1	1	40	53	intra_ayah:78:6:root:1
co-78_6-00008	78:6	w-s078-a006-w003	w-s078-a006-w004	ء ر ض	م ه د	1	1	1	1	5	5	intra_ayah:78:6:root:2
co-78_6-00009	78:6	w-s078-a006-w002	w-s078-a006-w004	ج ع ل	م ه د	2	2	2	1	3	4	intra_ayah:78:6:root:3
co-78_7-00010	78:7	w-s078-a007-w001	w-s078-a007-w002	ج ب ل	و ت د	1	1	1	1	1	1	intra_ayah:78:7:root:1
co-78_8-00011	78:8	w-s078-a008-w001	w-s078-a008-w002	خ ل ق	ز و ج	1	1	1	1	14	24	intra_ayah:78:8:root:1
co-78_9-00012	78:9	w-s078-a009-w001	w-s078-a009-w003	ج ع ل	س ب ت	2	2	2	1	3	4	intra_ayah:78:9:root:1
co-78_9-00013	78:9	w-s078-a009-w001	w-s078-a009-w002	ج ع ل	ن و م	1	1	1	1	2	3	intra_ayah:78:9:root:2
co-78_9-00014	78:9	w-s078-a009-w003	w-s078-a009-w002	س ب ت	ن و م	1	1	1	1	2	2	intra_ayah:78:9:root:3
co-78_10-00015	78:10	w-s078-a010-w001	w-s078-a010-w003	ج ع ل	ل ب س	2	2	2	1	4	8	intra_ayah:78:10:root:1
co-78_10-00016	78:10	w-s078-a010-w001	w-s078-a010-w002	ج ع ل	ل ي ل	1	1	1	1	16	22	intra_ayah:78:10:root:2
co-78_10-00017	78:10	w-s078-a010-w003	w-s078-a010-w002	ل ب س	ل ي ل	1	1	1	1	3	6	intra_ayah:78:10:root:3
co-78_11-00018	78:11	w-s078-a011-w001	w-s078-a011-w003	ج ع ل	ع ي ش	2	2	2	1	3	3	intra_ayah:78:11:root:1
co-78_11-00019	78:11	w-s078-a011-w001	w-s078-a011-w002	ج ع ل	ن ه ر	1	1	1	1	16	29	intra_ayah:78:11:root:2
co-78_11-00020	78:11	w-s078-a011-w003	w-s078-a011-w002	ع ي ش	ن ه ر	1	1	1	1	1	1	intra_ayah:78:11:root:3
co-78_12-00021	78:12	w-s078-a012-w001	w-s078-a012-w003	ب ن ي	س ب ع	2	2	2	1	1	1	intra_ayah:78:12:root:1
co-78_12-00022	78:12	w-s078-a012-w001	w-s078-a012-w004	ب ن ي	ش د د	3	3	3	1	4	4	intra_ayah:78:12:root:2
co-78_12-00023	78:12	w-s078-a012-w001	w-s078-a012-w002	ب ن ي	ف و ق	1	1	1	1	6	6	intra_ayah:78:12:root:3
co-78_12-00024	78:12	w-s078-a012-w003	w-s078-a012-w004	س ب ع	ش د د	1	1	1	1	3	3	intra_ayah:78:12:root:4
co-78_12-00025	78:12	w-s078-a012-w003	w-s078-a012-w002	س ب ع	ف و ق	1	1	1	1	2	2	intra_ayah:78:12:root:5
co-78_12-00026	78:12	w-s078-a012-w004	w-s078-a012-w002	ش د د	ف و ق	2	2	2	1	1	1	intra_ayah:78:12:root:6
co-78_13-00027	78:13	w-s078-a013-w001	w-s078-a013-w002	ج ع ل	س ر ج	1	1	1	1	3	5	intra_ayah:78:13:root:1
co-78_13-00028	78:13	w-s078-a013-w001	w-s078-a013-w003	ج ع ل	و ه ج	2	2	2	1	1	1	intra_ayah:78:13:root:2
co-78_13-00029	78:13	w-s078-a013-w002	w-s078-a013-w003	س ر ج	و ه ج	1	1	1	1	1	1	intra_ayah:78:13:root:3
co-78_14-00030	78:14	w-s078-a014-w005	w-s078-a014-w003	ث ج ج	ع ص ر	2	2	2	1	1	1	intra_ayah:78:14:root:1
co-78_14-00031	78:14	w-s078-a014-w005	w-s078-a014-w004	ث ج ج	م و ه	1	1	1	1	1	1	intra_ayah:78:14:root:2
co-78_14-00032	78:14	w-s078-a014-w005	w-s078-a014-w001	ث ج ج	ن ز ل	4	3	3	1	1	1	intra_ayah:78:14:root:3
co-78_14-00033	78:14	w-s078-a014-w003	w-s078-a014-w004	ع ص ر	م و ه	1	1	1	1	1	1	intra_ayah:78:14:root:4
co-78_14-00034	78:14	w-s078-a014-w003	w-s078-a014-w001	ع ص ر	ن ز ل	2	1	1	1	1	1	intra_ayah:78:14:root:5
co-78_14-00035	78:14	w-s078-a014-w004	w-s078-a014-w001	م و ه	ن ز ل	3	2	2	1	27	27	intra_ayah:78:14:root:6
co-78_15-00036	78:15	w-s078-a015-w003	w-s078-a015-w001	ح ب ب	خ ر ج	2	1	1	1	5	8	intra_ayah:78:15:root:1
co-78_15-00037	78:15	w-s078-a015-w003	w-s078-a015-w004	ح ب ب	ن ب ت	1	1	1	1	5	6	intra_ayah:78:15:root:2
co-78_15-00038	78:15	w-s078-a015-w001	w-s078-a015-w004	خ ر ج	ن ب ت	3	2	2	1	7	10	intra_ayah:78:15:root:3
co-78_16-00039	78:16	w-s078-a016-w001	w-s078-a016-w002	ج ن ن	ل ف ف	1	1	1	1	1	1	intra_ayah:78:16:root:1
co-78_17-00040	78:17	w-s078-a017-w003	w-s078-a017-w004	ف ص ل	ك و ن	1	1	1	1	8	9	intra_ayah:78:17:root:1
co-78_17-00041	78:17	w-s078-a017-w003	w-s078-a017-w005	ف ص ل	و ق ت	2	2	2	1	2	2	intra_ayah:78:17:root:2
co-78_17-00042	78:17	w-s078-a017-w003	w-s078-a017-w002	ف ص ل	ي و م	1	1	1	1	11	11	intra_ayah:78:17:root:3
co-78_17-00043	78:17	w-s078-a017-w004	w-s078-a017-w005	ك و ن	و ق ت	1	1	1	1	3	3	intra_ayah:78:17:root:4
co-78_17-00044	78:17	w-s078-a017-w004	w-s078-a017-w002	ك و ن	ي و م	2	2	2	1	92	120	intra_ayah:78:17:root:5
co-78_17-00045	78:17	w-s078-a017-w005	w-s078-a017-w002	و ق ت	ي و م	3	3	3	1	6	6	intra_ayah:78:17:root:6
co-78_18-00046	78:18	w-s078-a018-w005	w-s078-a018-w004	ء ت ي	ص و ر	1	1	1	1	3	3	intra_ayah:78:18:root:1
co-78_18-00047	78:18	w-s078-a018-w002	w-s078-a018-w001	ن ف خ	ي و م	1	1	1	1	5	6	intra_ayah:78:18:root:10
co-78_18-00048	78:18	w-s078-a018-w005	w-s078-a018-w006	ء ت ي	ف و ج	1	1	1	1	2	2	intra_ayah:78:18:root:2
co-78_18-00049	78:18	w-s078-a018-w005	w-s078-a018-w002	ء ت ي	ن ف خ	3	2	2	1	3	4	intra_ayah:78:18:root:3
co-78_18-00050	78:18	w-s078-a018-w005	w-s078-a018-w001	ء ت ي	ي و م	4	3	3	1	44	59	intra_ayah:78:18:root:4
co-78_18-00051	78:18	w-s078-a018-w004	w-s078-a018-w006	ص و ر	ف و ج	2	2	2	1	1	1	intra_ayah:78:18:root:5
co-78_18-00052	78:18	w-s078-a018-w004	w-s078-a018-w002	ص و ر	ن ف خ	2	1	1	1	10	12	intra_ayah:78:18:root:6
co-78_18-00053	78:18	w-s078-a018-w004	w-s078-a018-w001	ص و ر	ي و م	3	2	2	1	5	6	intra_ayah:78:18:root:7
co-78_18-00054	78:18	w-s078-a018-w006	w-s078-a018-w002	ف و ج	ن ف خ	4	3	3	1	1	1	intra_ayah:78:18:root:8
co-78_18-00055	78:18	w-s078-a018-w006	w-s078-a018-w001	ف و ج	ي و م	5	4	4	1	2	2	intra_ayah:78:18:root:9
co-78_19-00056	78:19	w-s078-a019-w004	w-s078-a019-w002	ب و ب	س م و	2	2	2	1	4	4	intra_ayah:78:19:root:1
co-78_19-00057	78:19	w-s078-a019-w004	w-s078-a019-w001	ب و ب	ف ت ح	3	3	3	1	9	9	intra_ayah:78:19:root:2
co-78_19-00058	78:19	w-s078-a019-w004	w-s078-a019-w003	ب و ب	ك و ن	1	1	1	1	2	2	intra_ayah:78:19:root:3
co-78_19-00059	78:19	w-s078-a019-w002	w-s078-a019-w001	س م و	ف ت ح	1	1	1	1	6	6	intra_ayah:78:19:root:4
co-78_19-00060	78:19	w-s078-a019-w002	w-s078-a019-w003	س م و	ك و ن	1	1	1	1	71	95	intra_ayah:78:19:root:5
co-78_19-00061	78:19	w-s078-a019-w001	w-s078-a019-w003	ف ت ح	ك و ن	2	2	2	1	7	10	intra_ayah:78:19:root:6
co-78_20-00062	78:20	w-s078-a020-w002	w-s078-a020-w004	ج ب ل	س ر ب	2	2	2	1	1	1	intra_ayah:78:20:root:1
co-78_20-00063	78:20	w-s078-a020-w002	w-s078-a020-w001	ج ب ل	س ي ر	1	1	1	1	5	6	intra_ayah:78:20:root:2
co-78_20-00064	78:20	w-s078-a020-w002	w-s078-a020-w003	ج ب ل	ك و ن	1	1	1	1	12	15	intra_ayah:78:20:root:3
co-78_20-00065	78:20	w-s078-a020-w004	w-s078-a020-w001	س ر ب	س ي ر	3	3	3	1	1	1	intra_ayah:78:20:root:4
co-78_20-00066	78:20	w-s078-a020-w004	w-s078-a020-w003	س ر ب	ك و ن	1	1	1	1	1	1	intra_ayah:78:20:root:5
co-78_20-00067	78:20	w-s078-a020-w001	w-s078-a020-w003	س ي ر	ك و ن	2	2	2	1	15	29	intra_ayah:78:20:root:6
co-78_21-00068	78:21	w-s078-a021-w004	w-s078-a021-w003	ر ص د	ك و ن	1	1	1	1	2	2	intra_ayah:78:21:root:1
co-78_22-00069	78:22	w-s078-a022-w002	w-s078-a022-w001	ء و ب	ط غ ي	1	1	1	1	2	2	intra_ayah:78:22:root:1
co-78_23-00070	78:23	w-s078-a023-w003	w-s078-a023-w001	ح ق ب	ل ب ث	2	1	1	1	1	1	intra_ayah:78:23:root:1
co-78_24-00071	78:24	w-s078-a024-w004	w-s078-a024-w002	ب ر د	ذ و ق	2	1	1	1	1	1	intra_ayah:78:24:root:1
co-78_24-00072	78:24	w-s078-a024-w004	w-s078-a024-w006	ب ر د	ش ر ب	2	1	1	1	2	2	intra_ayah:78:24:root:2
co-78_24-00073	78:24	w-s078-a024-w002	w-s078-a024-w006	ذ و ق	ش ر ب	4	2	2	1	1	1	intra_ayah:78:24:root:3
co-78_25-00074	78:25	w-s078-a025-w002	w-s078-a025-w003	ح م م	غ س ق	1	1	1	1	2	2	intra_ayah:78:25:root:1
co-78_26-00075	78:26	w-s078-a026-w001	w-s078-a026-w002	ج ز ي	و ف ق	1	1	1	1	1	1	intra_ayah:78:26:root:1
