edge_id	source_position	target_position	edge_type	direction	confidence	exact_surface_span	evidence	reason
ae:v3:s113:001:pass1:attach:a1	q:113:1:1	q:113:1:2	quoted_complement	head-to-dependent	high	قُلْ | أَعُوذُ	local_syntax	The full utterance أَعُوذُ بِرَبِّ ٱلْفَلَقِ is governed as the quote of قُلْ.
ae:v3:s113:001:pass1:attach:a2	q:113:1:2	q:113:1:3	prep_complement	head-to-dependent	high	أَعُوذُ | بِرَبِّ	case_government;local_syntax	رَبِّ is governed by the prefixed بِ as the prepositional complement of أَعُوذُ.
ae:v3:s113:001:pass1:attach:a3	q:113:1:3	q:113:1:4	idafa	head-to-dependent	high	بِرَبِّ | الْفَلَقِ	case_government;local_syntax	ٱلْفَلَقِ is the genitive complement in the construct بِرَبِّ ٱلْفَلَقِ.
ae:v3:s113:002:pass1:attach:a1	q:113:2:2	q:113:2:3	idafa	head-to-dependent	high	شَرِّ | مَا	case_government;local_syntax	مَا خَلَقَ supplies the genitive complement specifying شَرِّ.
ae:v3:s113:002:pass1:attach:a2	q:113:2:4	q:113:2:3	direct_object	head-to-dependent	high	خَلَقَ | مَا	local_syntax;word_order	مَا is the object of خَلَقَ inside the free relative مَا خَلَقَ.
ae:v3:s113:003:pass1:attach:a1	q:113:3:3	q:113:3:4	idafa	head-to-dependent	high	شَرِّ | غَاسِقٍ	case_government;local_syntax	غَاسِقٍ is the genitive complement in شَرِّ غَاسِقٍ.
ae:v3:s113:003:pass1:attach:a2	q:113:3:4	q:113:3:5	adverbial	head-to-dependent	high	غَاسِقٍ | إِذَا	local_syntax	إِذَا وَقَبَ temporally qualifies غَاسِقٍ by specifying when the darkening one acts.
ae:v3:s113:004:pass1:attach:a1	q:113:4:3	q:113:4:4	idafa	head-to-dependent	high	شَرِّ | النَّفَّاثَاتِ	case_government;local_syntax	ٱلنَّفَّٰثَٰتِ is the genitive complement in شَرِّ ٱلنَّفَّٰثَٰتِ.
ae:v3:s113:004:pass1:attach:a2	q:113:4:4	q:113:4:6	prep_complement	head-to-dependent	high	النَّفَّاثَاتِ | الْعُقَدِ	case_government;local_syntax	ٱلْعُقَدِ is governed by فِى as the prepositional complement of ٱلنَّفَّٰثَٰتِ.
ae:v3:s113:005:pass1:attach:a1	q:113:5:3	q:113:5:4	idafa	head-to-dependent	high	شَرِّ | حَاسِدٍ	case_government;local_syntax	حَاسِدٍ is the genitive complement in شَرِّ حَاسِدٍ.
ae:v3:s113:005:pass1:attach:a2	q:113:5:4	q:113:5:5	adverbial	head-to-dependent	high	حَاسِدٍ | إِذَا	local_syntax	إِذَا حَسَدَ temporally qualifies حَاسِدٍ by specifying when the envier acts.
