syntax_edge_id	attachment_edge_id	ayah_ref	source_word_id	target_word_id	prep_word_id	source_morpheme_id	target_morpheme_id	prep_morpheme_id	source_qac_ref	target_qac_ref	prep_qac_ref	source_attachment_unit_id	target_attachment_unit_id	prep_attachment_unit_id	source_position	target_position	prep_position	relation	status	confidence	source_part	target_part	source_form_tag	target_form_tag	object_type	prep_base	binding_status	evidence	reason	source_pointer
sx-79_0-00001	ae:v3:s001:001:pass1:attach:a1	79:0	w-s079-a000-w001	w-s079-a000-w001	w-s079-a000-w001	m-w-s079-a000-w001-01	m-w-s079-a000-w001-02	m-w-s079-a000-w001-01	1:1:1:1	1:1:1:2	1:1:1:1	q:1:1:1	q:1:1:2	q:1:1:1	1	2	1	prep_complement	strongly_licensed	high			PREP	NOUN_ABSTRACT		بـ	position_morpheme_aligned	case_government;formulaic_construction	سْمِ is governed by the prefixed بِ in the formula بِسْمِ.	resources/attachments.tsv:2
sx-79_0-00002	ae:v3:s001:001:pass1:attach:a2	79:0	w-s079-a000-w001	w-s079-a000-w002		m-w-s079-a000-w001-02	m-w-s079-a000-w002-01		1:1:1:2	1:1:2:1		q:1:1:2	q:1:1:3		2	3		idafa	syntactically_forced	high			NOUN_ABSTRACT	NOUN_PROP			position_morpheme_aligned	case_government;local_syntax	ٱللَّهِ is the genitive muḍāf ilayhi of سْمِ.	resources/attachments.tsv:3
sx-79_0-00003	ae:v3:s001:001:pass1:attach:a3	79:0	w-s079-a000-w002	w-s079-a000-w003		m-w-s079-a000-w002-01	m-w-s079-a000-w003-02		1:1:2:1	1:1:3:2		q:1:1:3	q:1:1:4		3	4		adjective	strongly_licensed	high			NOUN_PROP	NOUN_PROP			position_morpheme_aligned	agreement;local_syntax	ٱلرَّحْمَٰنِ follows ٱللَّهِ in genitive definiteness as an adjectival divine epithet.	resources/attachments.tsv:4
sx-79_0-00004	ae:v3:s001:001:pass1:attach:a4	79:0	w-s079-a000-w002	w-s079-a000-w003		m-w-s079-a000-w002-01	m-w-s079-a000-w003-02		1:1:2:1	1:1:3:2		q:1:1:3	q:1:1:5		3	5		adjective	strongly_licensed	high			NOUN_PROP	NOUN_PROP			fallback_morpheme_aligned	agreement;local_syntax	ٱلرَّحِيمِ follows ٱللَّهِ in the same genitive adjectival series.	resources/attachments.tsv:5
sx-79_1-00005	ae:v3:s079:001:pass1:attach:a1	79:1	w-s079-a001-w001	w-s079-a001-w001		m-w-s079-a001-w001-03	m-w-s079-a001-w001-03		79:1:1:3	79:1:1:3		q:79:1:1	q:79:1:2		1	2		particle_complement	strongly_licensed	high			CONJ	NOUN_CONCRETE			position_morpheme_aligned	case_government;local_syntax	وَ functions as the oath particle governing ٱلنَّازِعَاتِ in the genitive oath phrase.	resources/attachments.tsv:56796
sx-79_1-00006	ae:v3:s079:001:pass1:attach:a2	79:1	w-s079-a001-w001	w-s079-a001-w002		m-w-s079-a001-w001-03	m-w-s079-a001-w002-01		79:1:1:3	79:1:2:1		q:79:1:2	q:79:1:3		2	3		adverbial	strongly_licensed	high			NOUN_CONCRETE	GERUND			position_morpheme_aligned	morphology;local_syntax	غَرْقًا is an accusative manner/intensity modifier of the participial action in ٱلنَّازِعَاتِ.	resources/attachments.tsv:56797
sx-79_2-00007	ae:v3:s079:002:pass1:attach:a1	79:2	w-s079-a002-w001	w-s079-a002-w001		m-w-s079-a002-w001-01	m-w-s079-a002-w001-03		79:2:1:1	79:2:1:3		q:79:2:1	q:79:2:2		1	2		particle_complement	strongly_licensed	high			CONJ	NOUN_CONCRETE			position_morpheme_aligned	case_government;local_syntax	وَ introduces the oath phrase and governs ٱلنَّاشِطَاتِ as its genitive complement.	resources/attachments.tsv:56798
sx-79_2-00008	ae:v3:s079:002:pass1:attach:a2	79:2	w-s079-a002-w001	w-s079-a002-w001		m-w-s079-a002-w001-03	m-w-s079-a002-w001-03		79:2:1:3	79:2:1:3		q:79:2:2	q:79:2:3		2	3		cognate_acc	strongly_licensed	high			NOUN_CONCRETE	GERUND			fallback_morpheme_aligned	morphology;local_syntax	نَشْطًا is the matching verbal noun specifying the action of ٱلنَّاشِطَاتِ.	resources/attachments.tsv:56799
sx-79_3-00009	ae:v3:s079:003:pass1:attach:a1	79:3	w-s079-a003-w001	w-s079-a003-w001		m-w-s079-a003-w001-01	m-w-s079-a003-w001-03		79:3:1:1	79:3:1:3		q:79:3:1	q:79:3:2		1	2		particle_complement	strongly_licensed	high			CONJ	NOUN_CONCRETE			position_morpheme_aligned	case_government;local_syntax	وَ introduces the oath phrase and governs ٱلسَّابِحَاتِ as its genitive complement.	resources/attachments.tsv:56800
sx-79_3-00010	ae:v3:s079:003:pass1:attach:a2	79:3	w-s079-a003-w001	w-s079-a003-w001		m-w-s079-a003-w001-03	m-w-s079-a003-w001-03		79:3:1:3	79:3:1:3		q:79:3:2	q:79:3:3		2	3		cognate_acc	strongly_licensed	high			NOUN_CONCRETE	GERUND			fallback_morpheme_aligned	morphology;local_syntax	سَبْحًا is the verbal noun cognate with ٱلسَّابِحَاتِ and specifies the participial action.	resources/attachments.tsv:56801
