finding_id	ayah_ref	finding_ordinal	grade	anchor_ordinal	branch_ordinal	qac_word_ref	root_id	branch_id	word_id
f-78_0-001	78:0	1	strong	1	1	1:1:1	root_000745	B005	w-s078-a000-w001
f-78_0-001	78:0	1	strong	2	1	1:1:2	root_000047	B002	w-s078-a000-w002
f-78_0-002	78:0	2	strong	1	1	1:1:3	root_000552	B001	w-s078-a000-w003
f-78_0-002	78:0	2	strong	2	1	1:1:4	root_000552	B001	w-s078-a000-w004
f-78_0-003	78:0	3	reject	1	1	1:1:3	root_000552	B003	w-s078-a000-w003
f-78_0-003	78:0	3	reject	2	1	1:1:4	root_000552	B003	w-s078-a000-w004
f-78_0-004	78:0	4	strong	1	1	1:1:3	root_000552	B001	w-s078-a000-w003
f-78_0-004	78:0	4	strong	2	1	1:1:4	root_000552	B001	w-s078-a000-w004
f-78_1-001	78:1	1	strong	1	1	78:1:2	root_000661	B004	w-s078-a001-w002
f-78_1-002	78:1	2	weak	1	1	78:1:2	root_000661	B001	w-s078-a001-w002
f-78_1-003	78:1	3	strong	1	1	78:1:2	root_000661	B001	w-s078-a001-w002
f-78_2-001	78:2	1	strong	1	1	78:2:2	root_001464	B002	w-s078-a002-w002
f-78_2-002	78:2	2	weak	1	1	78:2:2	root_001464	B001	w-s078-a002-w002
f-78_2-003	78:2	3	strong	1	1	78:2:3	root_001029	B001	w-s078-a002-w003
f-78_2-003	78:2	3	strong	1	2	78:2:3	root_001029	B004	w-s078-a002-w003
f-78_2-004	78:2	4	weak	1	1	78:2:3	root_001029	B001	w-s078-a002-w003
f-78_3-001	78:3	1	strong	1	1	78:3:4	root_000433	B004	w-s078-a003-w004
f-78_3-002	78:3	2	weak	1	1	78:3:4	root_000433	B006	w-s078-a003-w004
f-78_3-003	78:3	3	reject	1	1	78:3:4	root_000433	B004	w-s078-a003-w004
f-78_4-001	78:4	1	strong	1	1	78:4:2	root_001040	B001	w-s078-a004-w002
f-78_4-002	78:4	2	strong	1	1	78:4:2	root_001040	B002	w-s078-a004-w002
f-78_5-001	78:5	1	strong	1	1	78:5:3	root_001040	B001	w-s078-a005-w003
f-78_5-002	78:5	2	weak	1	1	78:5:3	root_001040	B002	w-s078-a005-w003
f-78_6-001	78:6	1	strong	1	1	78:6:2	root_000248	B002	w-s078-a006-w002
f-78_6-001	78:6	1	strong	2	1	78:6:4	root_001451	B002	w-s078-a006-w004
f-78_6-002	78:6	2	strong	1	1	78:6:4	root_001451	B001	w-s078-a006-w004
f-78_6-003	78:6	3	weak	1	1	78:6:4	root_001451	B003	w-s078-a006-w004
f-78_7-001	78:7	1	strong	1	1	78:7:1	root_000217	B001	w-s078-a007-w001
f-78_7-001	78:7	1	strong	2	1	78:7:2	root_001620	B001	w-s078-a007-w002
f-78_7-002	78:7	2	strong	1	1	78:7:1	root_000217	B001	w-s078-a007-w001
f-78_7-002	78:7	2	strong	2	1	78:7:2	root_001620	B001	w-s078-a007-w002
f-78_7-003	78:7	3	weak	1	1	78:7:2	root_001620	B003	w-s078-a007-w002
f-78_7-004	78:7	4	reject	1	1	78:7:1	root_000217	B004	w-s078-a007-w001
f-78_8-001	78:8	1	strong	1	1	78:8:1	root_000434	B001	w-s078-a008-w001
f-78_8-001	78:8	1	strong	2	1	78:8:2	root_000652	B001	w-s078-a008-w002
f-78_8-002	78:8	2	weak	1	1	78:8:1	root_000434	B003	w-s078-a008-w001
f-78_8-002	78:8	2	weak	2	1	78:8:2	root_000652	B003	w-s078-a008-w002
f-78_8-003	78:8	3	weak	1	1	78:8:2	root_000652	B002	w-s078-a008-w002
f-78_8-004	78:8	4	weak	1	1	78:8:2	root_000652	B004	w-s078-a008-w002
f-78_9-001	78:9	1	strong	1	1	78:9:1	root_000248	B002	w-s078-a009-w001
f-78_9-001	78:9	1	strong	2	1	78:9:3	root_000665	B002	w-s078-a009-w003
f-78_9-002	78:9	2	weak	1	1	78:9:2	root_001568	B005	w-s078-a009-w002
f-78_9-002	78:9	2	weak	2	1	78:9:3	root_000665	B001	w-s078-a009-w003
f-78_9-003	78:9	3	weak	1	1	78:9:2	root_001568	B001	w-s078-a009-w002
f-78_9-003	78:9	3	weak	1	2	78:9:2	root_001568	B008	w-s078-a009-w002
f-78_10-001	78:10	1	strong	1	1	78:10:2	root_001392	B001	w-s078-a010-w002
f-78_10-001	78:10	1	strong	2	1	78:10:3	root_001341	B001	w-s078-a010-w003
f-78_10-002	78:10	2	strong	1	1	78:10:3	root_001341	B003	w-s078-a010-w003
f-78_10-003	78:10	3	weak	1	1	78:10:3	root_001341	B004	w-s078-a010-w003
f-78_11-001	78:11	1	strong	1	1	78:11:2	root_001559	B002	w-s078-a011-w002
f-78_11-001	78:11	1	strong	2	1	78:11:3	root_001067	B002	w-s078-a011-w003
f-78_11-002	78:11	2	weak	1	1	78:11:2	root_001559	B001	w-s078-a011-w002
f-78_11-002	78:11	2	weak	1	2	78:11:2	root_001559	B003	w-s078-a011-w002
f-78_11-002	78:11	2	weak	2	1	78:11:3	root_001067	B001	w-s078-a011-w003
f-78_11-003	78:11	3	weak	1	1	78:11:3	root_001067	B001	w-s078-a011-w003
f-78_11-003	78:11	3	weak	1	2	78:11:3	root_001067	B002	w-s078-a011-w003
f-78_12-001	78:12	1	strong	1	1	78:12:1	root_000156	B001	w-s078-a012-w001
f-78_12-001	78:12	1	strong	2	1	78:12:2	root_001188	B001	w-s078-a012-w002
f-78_12-001	78:12	1	strong	3	1	78:12:3	root_000669	B001	w-s078-a012-w003
f-78_12-001	78:12	1	strong	4	1	78:12:4	root_000782	B001	w-s078-a012-w004
f-78_12-002	78:12	2	strong	1	1	78:12:1	root_000156	B002	w-s078-a012-w001
f-78_12-002	78:12	2	strong	2	1	78:12:4	root_000782	B002	w-s078-a012-w004
f-78_12-003	78:12	3	weak	1	1	78:12:2	root_001188	B002	w-s078-a012-w002
f-78_13-001	78:13	1	strong	1	1	78:13:1	root_000248	B002	w-s078-a013-w001
f-78_13-001	78:13	1	strong	2	1	78:13:2	root_000693	B001	w-s078-a013-w002
f-78_13-001	78:13	1	strong	3	1	78:13:3	root_001686	B001	w-s078-a013-w003
f-78_13-002	78:13	2	strong	1	1	78:13:2	root_000693	B001	w-s078-a013-w002
f-78_13-002	78:13	2	strong	2	1	78:13:3	root_001686	B002	w-s078-a013-w003
f-78_14-001	78:14	1	strong	1	1	78:14:1	root_001492	B002	w-s078-a014-w001
f-78_14-001	78:14	1	strong	2	1	78:14:3	root_001019	B002	w-s078-a014-w003
f-78_14-001	78:14	1	strong	2	2	78:14:3	root_001019	B003	w-s078-a014-w003
f-78_14-001	78:14	1	strong	3	1	78:14:4	root_001458	B002	w-s078-a014-w004
f-78_14-001	78:14	1	strong	4	1	78:14:5	root_000195	B001	w-s078-a014-w005
f-78_14-002	78:14	2	strong	1	1	78:14:1	root_001492	B004	w-s078-a014-w001
f-78_14-002	78:14	2	strong	2	1	78:14:4	root_001458	B003	w-s078-a014-w004
f-78_14-003	78:14	3	weak	1	1	78:14:1	root_001492	B005	w-s078-a014-w001
f-78_15-001	78:15	1	strong	1	1	78:15:1	root_000400	B002	w-s078-a015-w001
f-78_15-001	78:15	1	strong	2	1	78:15:3	root_000286	B001	w-s078-a015-w003
f-78_15-001	78:15	1	strong	3	1	78:15:4	root_001465	B001	w-s078-a015-w004
f-78_15-002	78:15	2	strong	1	1	78:15:3	root_000286	B001	w-s078-a015-w003
f-78_15-002	78:15	2	strong	2	1	78:15:4	root_001465	B001	w-s078-a015-w004
f-78_15-003	78:15	3	weak	1	1	78:15:1	root_000400	B002	w-s078-a015-w001
f-78_15-003	78:15	3	weak	1	2	78:15:1	root_000400	B005	w-s078-a015-w001
f-78_15-004	78:15	4	weak	1	1	78:15:4	root_001465	B002	w-s078-a015-w004
f-78_15-005	78:15	5	weak	1	1	78:15:1	root_000400	B002	w-s078-a015-w001
f-78_15-005	78:15	5	weak	2	1	78:15:4	root_001465	B001	w-s078-a015-w004
f-78_16-001	78:16	1	strong	1	1	78:16:1	root_000266	B003	w-s078-a016-w001
f-78_16-001	78:16	1	strong	2	1	78:16:2	root_001365	B002	w-s078-a016-w002
f-78_16-002	78:16	2	strong	1	1	78:16:1	root_000266	B011	w-s078-a016-w001
f-78_16-002	78:16	2	strong	2	1	78:16:2	root_001365	B001	w-s078-a016-w002
f-78_16-003	78:16	3	weak	1	1	78:16:1	root_000266	B008	w-s078-a016-w001
f-78_16-004	78:16	4	reject	1	1	78:16:2	root_001365	B003	w-s078-a016-w002
f-78_17-001	78:17	1	strong	1	1	78:17:2	root_001700	B003	w-s078-a017-w002
f-78_17-001	78:17	1	strong	2	1	78:17:3	root_001159	B002	w-s078-a017-w003
f-78_17-001	78:17	1	strong	3	1	78:17:4	root_001332	B001	w-s078-a017-w004
f-78_17-001	78:17	1	strong	4	1	78:17:5	root_001671	B003	w-s078-a017-w005
f-78_17-002	78:17	2	weak	1	1	78:17:3	root_001159	B001	w-s078-a017-w003
f-78_17-002	78:17	2	weak	1	2	78:17:3	root_001159	B006	w-s078-a017-w003
f-78_17-003	78:17	3	strong	1	1	78:17:3	root_001159	B013	w-s078-a017-w003
f-78_18-001	78:18	1	strong	1	1	78:18:2	root_001529	B001	w-s078-a018-w002
