word_id	morpheme_ids	root_id	binding_status
w-s040-a000-w001	m-w-s040-a000-w001-02	root_000745	resolved_source_exact
w-s040-a000-w002	m-w-s040-a000-w002-01	root_000047	resolved_normalized_exact
w-s040-a000-w003	m-w-s040-a000-w003-02	root_000552	resolved_source_exact
w-s040-a000-w004	m-w-s040-a000-w004-02	root_000552	resolved_source_exact
w-s040-a002-w001	m-w-s040-a002-w001-01	root_001492	resolved_source_exact
w-s040-a002-w002	m-w-s040-a002-w002-02	root_001283	resolved_source_exact
w-s040-a002-w004	m-w-s040-a002-w004-01	root_000047	resolved_normalized_exact
w-s040-a002-w005	m-w-s040-a002-w005-02	root_001008	resolved_source_exact
w-s040-a002-w006	m-w-s040-a002-w006-02	root_001040	resolved_source_exact
w-s040-a003-w001	m-w-s040-a003-w001-01	root_001096	resolved_source_exact
w-s040-a003-w002	m-w-s040-a003-w002-02	root_000521	resolved_source_exact
w-s040-a003-w003	m-w-s040-a003-w003-02	root_001198	resolved_source_exact
w-s040-a003-w004	m-w-s040-a003-w004-02	root_000189	resolved_source_exact
w-s040-a003-w005	m-w-s040-a003-w005-01	root_000782	resolved_source_exact
w-s040-a003-w006	m-w-s040-a003-w006-02	root_001033	resolved_source_exact
w-s040-a003-w008	m-w-s040-a003-w008-02	root_000959	resolved_source_exact
w-s040-a003-w010	m-w-s040-a003-w010-01	root_000047	resolved_normalized_exact
w-s040-a003-w014	m-w-s040-a003-w014-02	root_000897	resolved_source_exact
w-s040-a004-w002	m-w-s040-a004-w002-01	root_000229	resolved_source_exact
w-s040-a004-w004	m-w-s040-a004-w004-01	root_000074	resolved_normalized_exact
w-s040-a004-w005	m-w-s040-a004-w005-01	root_000047	resolved_normalized_exact
w-s040-a004-w008	m-w-s040-a004-w008-01	root_001307	resolved_source_exact
w-s040-a004-w010	m-w-s040-a004-w010-01	root_001078	resolved_source_exact
w-s040-a004-w011	m-w-s040-a004-w011-01	root_001248	resolved_source_exact
w-s040-a004-w013	m-w-s040-a004-w013-02	root_000148	resolved_source_exact
w-s040-a005-w001	m-w-s040-a005-w001-01	root_001290	resolved_source_exact
