edge_id	source_position	target_position	edge_type	direction	confidence	exact_surface_span	evidence	reason
ae:v3:s097:001:pass1:attach:a1	q:97:1:1	q:97:1:1	particle_complement	head-to-dependent	high		morphology;local_syntax	The نا in إِنَّا is the governed اسم إنّ attached to إِنَّ.
ae:v3:s097:001:pass1:attach:a2	q:97:1:1	q:97:1:2	predication	head-to-dependent	high	إِنَّا | أَنْزَلْنَاهُ	local_syntax	أَنزَلْنَٰهُ supplies the khabar content for إِنَّا.
ae:v3:s097:001:pass1:attach:a3	q:97:1:2	q:97:1:2	direct_object	head-to-dependent	high	أَنْزَلْنَاهُ	morphology;local_syntax	The هُ suffix on أَنزَلْنَٰهُ is the thing sent down.
ae:v3:s097:001:pass1:attach:a4	q:97:1:2	q:97:1:4	prep_complement	head-to-dependent	high	أَنْزَلْنَاهُ | لَيْلَةِ	case_government;local_syntax	لَيْلَةِ is governed by فِي as the temporal complement of أَنزَلْنَٰهُ.
ae:v3:s097:001:pass1:attach:a5	q:97:1:4	q:97:1:5	idafa	head-to-dependent	high	لَيْلَةِ | الْقَدْرِ	case_government;local_syntax	ٱلْقَدْرِ is the muḍāf ilayh completing لَيْلَةِ.
ae:v3:s097:002:pass1:attach:a1	q:97:2:3	q:97:2:2	subject	head-to-dependent	high	أَدْرَاكَ | وَمَا	word_order;local_syntax	مَا is the interrogative subject of أَدْرَىٰكَ.
ae:v3:s097:002:pass1:attach:a2	q:97:2:3	q:97:2:3	direct_object	head-to-dependent	high	أَدْرَاكَ	morphology;local_syntax	The كَ suffix on أَدْرَىٰكَ is the addressee object.
ae:v3:s097:002:pass1:attach:a3	q:97:2:3	q:97:2:4	clausal_complement	head-to-dependent	high	أَدْرَاكَ | مَا	local_syntax	The embedded question مَا لَيْلَةُ ٱلْقَدْرِ fills the content governed by أَدْرَىٰكَ.
ae:v3:s097:002:pass1:attach:a4	q:97:2:4	q:97:2:5	predication	head-to-dependent	high	مَا | لَيْلَةُ	local_syntax;word_order	لَيْلَةُ is the predicate answering the interrogative subject مَا.
ae:v3:s097:002:pass1:attach:a5	q:97:2:5	q:97:2:6	idafa	head-to-dependent	high	لَيْلَةُ | الْقَدْرِ	case_government;local_syntax	ٱلْقَدْرِ is the muḍāf ilayh of لَيْلَةُ.
ae:v3:s097:003:pass1:attach:a1	q:97:3:1	q:97:3:2	idafa	head-to-dependent	high	لَيْلَةُ | الْقَدْرِ	case_government;local_syntax	ٱلْقَدْرِ completes the construct لَيْلَةُ.
ae:v3:s097:003:pass1:attach:a2	q:97:3:1	q:97:3:3	predication	head-to-dependent	high	لَيْلَةُ | خَيْرٌ	local_syntax;word_order	خَيْرٌ is the predicate of لَيْلَةُ ٱلْقَدْرِ.
ae:v3:s097:003:pass1:attach:a3	q:97:3:3	q:97:3:5	prep_complement	head-to-dependent	high	خَيْرٌ | أَلْفِ	case_government;local_syntax	أَلْفِ is governed by comparative مِنْ after خَيْرٌ.
ae:v3:s097:003:pass1:attach:a4	q:97:3:5	q:97:3:6	idafa	head-to-dependent	high	أَلْفِ | شَهْرٍ	case_government;local_syntax	شَهْرٍ completes the numeral construct أَلْفِ.
ae:v3:s097:004:pass1:attach:a1	q:97:4:1	q:97:4:2	subject	head-to-dependent	high	تَنَزَّلُ | الْمَلَائِكَةُ	agreement;word_order	ٱلْمَلَٰئِكَةُ is the overt subject of تَنَزَّلُ.
ae:v3:s097:004:pass1:attach:a2	q:97:4:2	q:97:4:4	conjoined	head-to-dependent	high	الْمَلَائِكَةُ | وَالرُّوحُ	local_syntax;parallelism	ٱلرُّوحُ is conjoined by وَ to ٱلْمَلَٰئِكَةُ as a co-subject.
ae:v3:s097:004:pass1:attach:a3	q:97:4:1	q:97:4:5	prep_complement	head-to-dependent	high	تَنَزَّلُ	morphology;local_syntax	The ها suffix in فِيهَا is governed by فِي as the setting for تَنَزَّلُ.
ae:v3:s097:004:pass1:attach:a4	q:97:4:1	q:97:4:7	prep_complement	head-to-dependent	high	تَنَزَّلُ | بِإِذْنِ	case_government;local_syntax	إِذْنِ is governed by بِ as the means or authorization of تَنَزَّلُ.
ae:v3:s097:004:pass1:attach:a5	q:97:4:7	q:97:4:8	idafa	head-to-dependent	high	بِإِذْنِ | رَبِّهِمْ	case_government;local_syntax	رَبِّ links as the muḍāf ilayh of إِذْنِ in إِذْنِ رَبِّهِمْ.
ae:v3:s097:004:pass1:attach:a6	q:97:4:8	q:97:4:8	idafa	head-to-dependent	high	رَبِّهِمْ	morphology;local_syntax	The هِمْ suffix on رَبِّهِمْ is the pronominal muḍāf ilayh.
ae:v3:s097:004:pass1:attach:a7	q:97:4:1	q:97:4:10	prep_complement	head-to-dependent	medium	تَنَزَّلُ | كُلِّ	case_government;local_syntax	كُلِّ is governed by مِنْ as a further complement to تَنَزَّلُ.
ae:v3:s097:004:pass1:attach:a8	q:97:4:10	q:97:4:11	idafa	head-to-dependent	high	كُلِّ | أَمْرٍ	case_government;local_syntax	أَمْرٍ completes the construct كُلِّ.
ae:v3:s097:005:pass1:attach:a1	q:97:5:2	q:97:5:1	predication	head-to-dependent	high	هِيَ | سَلَامٌ	local_syntax;word_order	سَلَٰمٌ is the fronted predicate of هِىَ.
ae:v3:s097:005:pass1:attach:a2	q:97:5:1	q:97:5:4	prep_complement	head-to-dependent	high	سَلَامٌ | مَطْلَعِ	case_government;local_syntax	مَطْلَعِ is governed by حَتَّىٰ as the endpoint of سَلَٰمٌ.
ae:v3:s097:005:pass1:attach:a3	q:97:5:4	q:97:5:5	idafa	head-to-dependent	high	مَطْلَعِ | الْفَجْرِ	case_government;local_syntax	ٱلْفَجْرِ completes the construct مَطْلَعِ.
