rank	path_id	path_score	label_hint	ayahs	roots	branch_chain
1	P0001	0.8272	gambling / attack / top / cry	1,2,3,4,5,6,8,9,10,11	ب ع ث ر ج م ع ر ب ب ش د د ص ب ح ص د ر ض ب ح ع د و ق د ح ن ق ع	ع د و:B003:العَدُوّ والعداوة | ض ب ح:B001:صوت الضباح | ق د ح:B007:عود السهم والقدح في الميسر | ص ب ح:B004:يوم الصباح | ن ق ع:B005:نقع الصوت المرتفع | ج م ع:B008:القيد الذي يجمع اليدين إلى العنق | ر ب ب:B010:ربابة تجمع القداح | ش د د:B003:شد الحملة والعدو | ب ع ث ر:B003:هدم الحوض وقلب أسفله أعلاه | ص د ر:B002:المقدّم والأعلى والأول
2	P0002	0.8218	sweetness / residue / date / agriculture	1,2,3,5,6,7,8,9,10,11	ج م ع ح ص ل ر ب ب ش د د ش ه د ص ب ح ض ب ح ع د و ع ل م ق د ح	ع د و:B011:العَدَوِيّة من نبات الصيف | ض ب ح:B005:الرماد | ق د ح:B009:رخص أطراف النبت | ص ب ح:B001:الصبح وأول النهار | ج م ع:B011:نخل دقل اجتمع من النوى لا يعرف اسمه | ر ب ب:B012:ربة نبات | ش ه د:B007:الشَّهْد في الشمع | ش د د:B005:شد النهار وارتفاعه | ع ل م:B007:ذكر الضباع يسمى العيلام | ح ص ل:B005:بلح حصل من النخلة قبل اشتداده
3	P0003	0.8145	selection / drink / quality / container	2,3,5,6,8,11	ح ب ب خ ي ر ر ب ب ص ب ح غ ي ر ق د ح و ر ي و س ط	و ر ي:B006:الجانب الوراء: خلف أو أمام أو سوى | ق د ح:B006:قدح الشرب | غ ي ر:B001:الصلاح والمنفعة بالميرة والسقي والإصلاح | ص ب ح:B003:الصبوح | و س ط:B004:مرتبة وسطى بين الجيد والرديء | ر ب ب:B006:رُبّ خاثر وإصلاح به | ح ب ب:B006:الري حتى الامتلاء | خ ي ر:B002:فضل الصلاح والاصطفاء
4	P0004	0.8142	alliance / anger / honor / lineage	2,3,4,5,6,8,9,10,11	ب ع ث ر ج م ع ر ب ب ش د د ص د ر غ ي ر ق ب ر ق د ح ن ق ع و ر ي	و ر ي:B007:ولد الولد يأتي من وراء الابن | ق د ح:B003:طعن في النسب | غ ي ر:B004:الغَيْرة على الأهل | ن ق ع:B009:نقعه بالشتم القبيح | ج م ع:B013:ممالأة واجتماع مع غيرك على أمر | ر ب ب:B005:ربيب وربيبة ورابة | ش د د:B004:بلوغ الأشد | ب ع ث ر:B002:تبديد المتاع وقلب بعضه على بعض | ق ب ر:B004:طرف الأنف في الغضب | ص د ر:B003:الصُّدور عن المورد
5	P0005	0.8136	division / solid / cutting / portion	1,2,3,4,5,6,8,10,11	ث و ر ج م ع ح ب ب خ ب ر ص ب ح ص د ر ع د و ك ن د و ر ي و س ط	ع د و:B001:مجاوزة الحد والظلم | و ر ي:B004:شحم وار وسمن ظاهر | ص ب ح:B008:الناقة المصباح | ث و ر:B005:ثورة الأقط: قطعة جامدة | و س ط:B006:قطع الشيء نصفين | ج م ع:B012:عظم الشيء كأنه جامع ممتلئ | ك ن د:B001:القطع والانفصال | ح ب ب:B001:الحبة التي تنبت وتحمل الحب | ص د ر:B006:الطائفة من الشيء | خ ب ر:B004:الغزر في المزادة والناقة
6	P0006	0.8136	alliance / anger / body_health_life/anatomy / epidemiology	1,2,3,4,5,6,8,9,10,11	ب ع ث ر ج م ع ح ب ب ر ب ب ص د ر ع د و غ ي ر ق ب ر ق د ح ن ق ع	ع د و:B006:العَدْوى في انتقال الداء | ق د ح:B003:طعن في النسب | غ ي ر:B002:الغَيْر في الدية | ن ق ع:B009:نقعه بالشتم القبيح | ج م ع:B013:ممالأة واجتماع مع غيرك على أمر | ر ب ب:B004:ربة وجماعات كثيرة | ح ب ب:B004:حبة القلب سويداؤه | ب ع ث ر:B002:تبديد المتاع وقلب بعضه على بعض | ق ب ر:B004:طرف الأنف في الغضب | ص د ر:B005:المصادرة على مال
7	P0007	0.8133	animal_life/wildlife / ornithology / alliance / honor	2,3,4,5,6,8,9,10,11	ب ع ث ر ث و ر ج م ع ر ب ب ش د د ص د ر ع ل م غ ي ر ق ب ر و ر ي	و ر ي:B007:ولد الولد يأتي من وراء الابن | غ ي ر:B004:الغَيْرة على الأهل | ث و ر:B006:ثور اسما لمكان أو قوم أو برج | ج م ع:B013:ممالأة واجتماع مع غيرك على أمر | ر ب ب:B005:ربيب وربيبة ورابة | ش د د:B004:بلوغ الأشد | ع ل م:B006:طائر جارح يسمى العلام | ب ع ث ر:B002:تبديد المتاع وقلب بعضه على بعض | ق ب ر:B003:القُبَّرة الطائر | ص د ر:B003:الصُّدور عن المورد
8	P0008	0.8128	aggregation / burial / result / grave	3,4,5,6,7,9,10,11	ب ع ث ر ث و ر ج م ع ح ص ل ر ب ب ش ه د ص ب ح ص د ر ع ل م ق ب ر	ص ب ح:B010:أصبح بمعنى صار | ث و ر:B002:إثارة الشيء وتحريكه من موضعه | ج م ع:B001:ضم المتفرق حتى يصير شيئا مجموعا | ر ب ب:B002:إصلاح وتربية وإتمام | ش ه د:B008:العلامة الشاهدة | ع ل م:B002:أثر يميز الشيء ويهدي إليه | ب ع ث ر:B001:قلب التراب وكشف المدفون | ق ب ر:B001:مواراة الميت في القبر | ح ص ل:B001:جمع الشيء حتى يظهر حاصله | ص د ر:B004:الأصل الذي تصدر عنه الأفعال
9	P0009	0.8127	gambling / top / running / arrow	1,2,4,5,6,8,9,10,11	ب ع ث ر ث و ر ج م ع ر ب ب ش د د ص د ر ض ب ح ع د و ق د ح ن ق ع	ع د و:B002:العَدْو والحَضْر | ض ب ح:B001:صوت الضباح | ق د ح:B007:عود السهم والقدح في الميسر | ث و ر:B001:انبعاث الشيء وانتشاره ظاهرا | ن ق ع:B004:نقع الغبار المثار | ج م ع:B008:القيد الذي يجمع اليدين إلى العنق | ر ب ب:B010:ربابة تجمع القداح | ش د د:B003:شد الحملة والعدو | ب ع ث ر:B003:هدم الحوض وقلب أسفله أعلاه | ص د ر:B002:المقدّم والأعلى والأول
10	P0010	0.8109	fire / top / light / gambling	1,2,3,4,5,6,8,9,10,11	ب ع ث ر ث و ر ج م ع ح ب ب ر ب ب ص ب ح ص د ر ض ب ح ق د ح ن ق ع	ض ب ح:B003:إحراق أعالي العود | ق د ح:B007:عود السهم والقدح في الميسر | ص ب ح:B005:المصباح والسراج | ث و ر:B001:انبعاث الشيء وانتشاره ظاهرا | ن ق ع:B004:نقع الغبار المثار | ج م ع:B008:القيد الذي يجمع اليدين إلى العنق | ر ب ب:B010:ربابة تجمع القداح | ح ب ب:B011:نار الحباحب شرر لا ينتفع به | ب ع ث ر:B003:هدم الحوض وقلب أسفله أعلاه | ص د ر:B002:المقدّم والأعلى والأول
