attachment_unit_id	ayah_ref	qac_ayah_ref	unit_index	word_id	qac_word_ref	morpheme_ids	attachment_surfaces	attachment_roots	prep_bases	binding_method	binding_status
q:1:1:1	54:0	1:1	1	w-s054-a000-w001	1:1:1	m-w-s054-a000-w001-01	بِسْمِ		بـ	position_crosswalk	morpheme_aligned
q:1:1:2	54:0	1:1	2	w-s054-a000-w001	1:1:1	m-w-s054-a000-w001-02	بِسْمِ	س م و	بـ	position_crosswalk	morpheme_aligned
q:1:1:3	54:0	1:1	3	w-s054-a000-w002	1:1:2	m-w-s054-a000-w002-01	اللَّهِ	أ ل ه		position_crosswalk	morpheme_aligned
q:1:1:4	54:0	1:1	4	w-s054-a000-w003	1:1:3	m-w-s054-a000-w003-02	الرَّحْمَنِ	ر ح م		position_crosswalk	morpheme_aligned
q:1:1:5	54:0	1:1	5	w-s054-a000-w003	1:1:3	m-w-s054-a000-w003-02	الرَّحِيمِ	ر ح م		surface_root_sequence_fallback	morpheme_aligned
q:54:1:1	54:1	54:1	1	w-s054-a001-w001	54:1:1	m-w-s054-a001-w001-01	اقْتَرَبَتِ	ق ر ب		position_crosswalk	morpheme_aligned
q:54:1:2	54:1	54:1	2	w-s054-a001-w002	54:1:2	m-w-s054-a001-w002-02	السَّاعَةُ	س و ع		position_crosswalk	morpheme_aligned
q:54:1:4	54:1	54:1	4	w-s054-a001-w003	54:1:3	m-w-s054-a001-w003-02	وَانْشَقَّ	ش ق ق		position_crosswalk	morpheme_aligned
q:54:1:5	54:1	54:1	5	w-s054-a001-w004	54:1:4	m-w-s054-a001-w004-02	الْقَمَرُ	ق م ر		position_crosswalk	morpheme_aligned
q:54:2:3	54:2	54:2	3	w-s054-a002-w002	54:2:2	m-w-s054-a002-w002-01	يَرَوْا	ر أ ي		position_crosswalk	morpheme_aligned
q:54:2:4	54:2	54:2	4	w-s054-a002-w003	54:2:3	m-w-s054-a002-w003-01	آيَةً	أ ي ي		position_crosswalk	morpheme_aligned
