cooccurrence_id	ayah_ref	left_word_id	right_word_id	left_root	right_root	word_distance	root_distance_min	root_distance_max	local_pair_count	corpus_window_count	corpus_pair_count	source_pair_id
co-54_0-00001	54:0	w-s054-a000-w002	w-s054-a000-w003	ء ل ه	ر ح م	1	1	2	2	130	254	intra_ayah:1:1:root:1
co-54_0-00002	54:0	w-s054-a000-w002	w-s054-a000-w004	ء ل ه	ر ح م	2	1	2	2	130	254	intra_ayah:1:1:root:1
co-54_0-00003	54:0	w-s054-a000-w002	w-s054-a000-w001	ء ل ه	س م و	1	1	1	1	185	319	intra_ayah:1:1:root:2
co-54_0-00004	54:0	w-s054-a000-w003	w-s054-a000-w001	ر ح م	س م و	2	2	3	2	18	21	intra_ayah:1:1:root:3
co-54_0-00005	54:0	w-s054-a000-w004	w-s054-a000-w001	ر ح م	س م و	3	2	3	2	18	21	intra_ayah:1:1:root:3
co-54_1-00006	54:1	w-s054-a001-w002	w-s054-a001-w003	س و ع	ش ق ق	1	1	1	1	1	1	intra_ayah:54:1:root:1
co-54_1-00007	54:1	w-s054-a001-w002	w-s054-a001-w001	س و ع	ق ر ب	1	1	1	1	4	5	intra_ayah:54:1:root:2
co-54_1-00008	54:1	w-s054-a001-w002	w-s054-a001-w004	س و ع	ق م ر	2	2	2	1	1	1	intra_ayah:54:1:root:3
co-54_1-00009	54:1	w-s054-a001-w003	w-s054-a001-w001	ش ق ق	ق ر ب	2	2	2	1	2	2	intra_ayah:54:1:root:4
co-54_1-00010	54:1	w-s054-a001-w003	w-s054-a001-w004	ش ق ق	ق م ر	1	1	1	1	1	1	intra_ayah:54:1:root:5
co-54_1-00011	54:1	w-s054-a001-w001	w-s054-a001-w004	ق ر ب	ق م ر	3	3	3	1	1	1	intra_ayah:54:1:root:6
co-54_2-00012	54:2	w-s054-a002-w003	w-s054-a002-w002	ء ي ي	ر ء ي	1	1	1	1	35	49	intra_ayah:54:2:root:1
co-54_2-00013	54:2	w-s054-a002-w006	w-s054-a002-w004	س ح ر	ع ر ض	2	2	2	1	1	1	intra_ayah:54:2:root:10
co-54_2-00014	54:2	w-s054-a002-w006	w-s054-a002-w005	س ح ر	ق و ل	1	1	1	1	44	57	intra_ayah:54:2:root:11
