word_id	morpheme_ids	root_id	binding_status
w-s104-a000-w001	m-w-s104-a000-w001-02	root_000745	resolved_source_exact
w-s104-a000-w002	m-w-s104-a000-w002-01	root_000047	resolved_normalized_exact
w-s104-a000-w003	m-w-s104-a000-w003-02	root_000552	resolved_source_exact
w-s104-a000-w004	m-w-s104-a000-w004-02	root_000552	resolved_source_exact
w-s104-a001-w002	m-w-s104-a001-w002-02	root_001315	resolved_source_exact
w-s104-a001-w003	m-w-s104-a001-w003-01	root_001600	resolved_source_exact
w-s104-a001-w004	m-w-s104-a001-w004-01	root_001376	resolved_source_exact
w-s104-a002-w002	m-w-s104-a002-w002-01	root_000259	resolved_source_exact
w-s104-a002-w003	m-w-s104-a002-w003-01	root_001457	resolved_source_exact
w-s104-a002-w004	m-w-s104-a002-w004-02	root_000989	resolved_source_exact
w-s104-a003-w001	m-w-s104-a003-w001-01	root_000318	resolved_source_exact
w-s104-a003-w003	m-w-s104-a003-w003-01	root_001457	resolved_source_exact
w-s104-a003-w004	m-w-s104-a003-w004-01	root_000429	resolved_source_exact
w-s104-a004-w002	m-w-s104-a004-w002-02	root_001466	resolved_source_exact
w-s104-a004-w004	m-w-s104-a004-w004-02	root_000337	resolved_source_exact
w-s104-a005-w002	m-w-s104-a005-w002-01	root_000473	resolved_source_exact
w-s104-a005-w004	m-w-s104-a005-w004-02	root_000337	resolved_source_exact
w-s104-a006-w001	m-w-s104-a006-w001-01	root_001564	resolved_source_exact
w-s104-a006-w002	m-w-s104-a006-w002-01	root_000047	resolved_normalized_exact
w-s104-a006-w003	m-w-s104-a006-w003-02	root_001672	resolved_source_exact
w-s104-a007-w002	m-w-s104-a007-w002-01	root_000945	resolved_source_exact
w-s104-a007-w004	m-w-s104-a007-w004-02	root_001122	resolved_normalized_exact
w-s104-a008-w003	m-w-s104-a008-w003-01	root_001653	resolved_source_exact
w-s104-a009-w002	m-w-s104-a009-w002-01	root_001043	resolved_source_exact
w-s104-a009-w003	m-w-s104-a009-w003-01	root_001407	resolved_source_exact
