edge_id	source_position	target_position	edge_type	direction	confidence	exact_surface_span	evidence	reason
ae:v3:s102:001:pass1:attach:a1	q:102:1:1	q:102:1:1	direct_object	head-to-dependent	high	أَلْهَاكُمُ	morphology;local_syntax	The كُمُ suffix in أَلْهَىٰكُمُ is the object pronoun governed by أَلْهَىٰ.
ae:v3:s102:001:pass1:attach:a2	q:102:1:1	q:102:1:2	subject	head-to-dependent	high	أَلْهَاكُمُ | التَّكَاثُرُ	case_government;word_order	ٱلتَّكَاثُرُ is nominative after أَلْهَىٰكُمُ and names what diverted them.
ae:v3:s102:002:pass1:attach:a1	q:102:2:1	q:102:2:2	particle_complement	head-to-dependent	medium	حَتَّى | زُرْتُمُ	local_syntax	حَتَّىٰ subordinates the verbal span زُرْتُمُ ٱلْمَقَابِرَ as a temporal limit.
ae:v3:s102:002:pass1:attach:a2	q:102:2:2	q:102:2:3	direct_object	head-to-dependent	high	زُرْتُمُ | الْمَقَابِرَ	case_government;local_syntax	ٱلْمَقَابِرَ is accusative as the visited object of زُرْتُمُ.
ae:v3:s102:003:pass1:attach:a1	q:102:3:2	q:102:3:3	particle_complement	head-to-dependent	high	سَوْفَ | تَعْلَمُونَ	local_syntax	سَوْفَ marks تَعْلَمُونَ as the future verbal complement.
ae:v3:s102:004:pass1:attach:a1	q:102:4:3	q:102:4:4	particle_complement	head-to-dependent	high	سَوْفَ | تَعْلَمُونَ	local_syntax	سَوْفَ marks تَعْلَمُونَ as the future verbal complement.
ae:v3:s102:005:pass1:attach:a1	q:102:5:2	q:102:5:3	particle_complement	head-to-dependent	high	لَوْ | تَعْلَمُونَ	local_syntax	لَوْ governs the verbal clause headed by تَعْلَمُونَ.
ae:v3:s102:005:pass1:attach:a2	q:102:5:3	q:102:5:4	cognate_acc	head-to-dependent	high	تَعْلَمُونَ | عِلْمَ	case_government;local_syntax	عِلْمَ ٱلْيَقِينِ is an accusative masdar expression qualifying تَعْلَمُونَ.
ae:v3:s102:005:pass1:attach:a3	q:102:5:4	q:102:5:5	idafa	head-to-dependent	high	عِلْمَ | الْيَقِينِ	case_government;local_syntax	ٱلْيَقِينِ is genitive as the mudaf ilayh of عِلْمَ.
ae:v3:s102:006:pass1:attach:a1	q:102:6:2	q:102:6:3	direct_object	head-to-dependent	high	لَتَرَوُنَّ | الْجَحِيمَ	case_government;local_syntax	ٱلْجَحِيمَ is accusative as the object seen by تَرَوُنَّ.
ae:v3:s102:007:pass1:attach:a1	q:102:7:3	q:102:7:3	direct_object	head-to-dependent	high	لَتَرَوُنَّهَا	morphology;local_syntax	The هَا suffix in تَرَوُنَّهَا is the object pronoun governed by تَرَوُنَّ.
ae:v3:s102:007:pass1:attach:a2	q:102:7:3	q:102:7:4	adverbial	head-to-dependent	medium	لَتَرَوُنَّهَا | عَيْنَ	case_government;local_syntax	عَيْنَ ٱلْيَقِينِ is an accusative adverbial expression modifying تَرَوُنَّهَا.
ae:v3:s102:007:pass1:attach:a3	q:102:7:4	q:102:7:5	idafa	head-to-dependent	high	عَيْنَ | الْيَقِينِ	case_government;local_syntax	ٱلْيَقِينِ is genitive as the mudaf ilayh of عَيْنَ.
ae:v3:s102:008:pass1:attach:a1	q:102:8:3	q:102:8:4	adverbial	head-to-dependent	high	لَتُسْأَلُنَّ | يَوْمَئِذٍ	case_government;local_syntax	يَوْمَئِذٍ is the temporal adverbial of تُسْـَٔلُنَّ.
ae:v3:s102:008:pass1:attach:a2	q:102:8:3	q:102:8:6	prep_complement	head-to-dependent	high	لَتُسْأَلُنَّ | النَّعِيمِ	case_government;local_syntax	ٱلنَّعِيمِ is governed by عَنِ as the topic complement of تُسْـَٔلُنَّ.
