attachment_unit_id	ayah_ref	qac_ayah_ref	unit_index	word_id	qac_word_ref	morpheme_ids	attachment_surfaces	attachment_roots	prep_bases	binding_method	binding_status
q:1:1:1	34:0	1:1	1	w-s034-a000-w001	1:1:1	m-w-s034-a000-w001-01	بِسْمِ		بـ	position_crosswalk	morpheme_aligned
q:1:1:2	34:0	1:1	2	w-s034-a000-w001	1:1:1	m-w-s034-a000-w001-02	بِسْمِ	س م و	بـ	position_crosswalk	morpheme_aligned
q:1:1:3	34:0	1:1	3	w-s034-a000-w002	1:1:2	m-w-s034-a000-w002-01	اللَّهِ	أ ل ه		position_crosswalk	morpheme_aligned
q:1:1:4	34:0	1:1	4	w-s034-a000-w003	1:1:3	m-w-s034-a000-w003-02	الرَّحْمَنِ	ر ح م		position_crosswalk	morpheme_aligned
q:1:1:5	34:0	1:1	5	w-s034-a000-w003	1:1:3	m-w-s034-a000-w003-02	الرَّحِيمِ	ر ح م		surface_root_sequence_fallback	morpheme_aligned
q:34:1:1	34:1	34:1	1	w-s034-a001-w001	34:1:1	m-w-s034-a001-w001-02	الْحَمْدُ	ح م د	لـ	position_crosswalk	morpheme_aligned
q:34:1:2	34:1	34:1	2	w-s034-a001-w001	34:1:1	m-w-s034-a001-w001-02			لـ	surface_root_sequence_fallback	morpheme_aligned
q:34:1:3	34:1	34:1	3	w-s034-a001-w002	34:1:2	m-w-s034-a001-w002-02	لِلَّهِ	أ ل ه	لـ	position_crosswalk	morpheme_aligned
q:34:1:4	34:1	34:1	4	w-s034-a001-w003	34:1:3	m-w-s034-a001-w003-01	الَّذِي	ل ل ذ		position_crosswalk	morpheme_aligned
q:34:1:5	34:1	34:1	5	w-s034-a001-w003	34:1:3	m-w-s034-a001-w003-01	لَهُ	و ل ي	لـ	surface_root_sequence_fallback	morpheme_aligned
q:34:1:6	34:1	34:1	6	w-s034-a001-w005	34:1:5	m-w-s034-a001-w005-01	مَا		لـ;فِي	surface_root_sequence_fallback	morpheme_aligned
q:34:1:7	34:1	34:1	7	w-s034-a001-w006	34:1:6	m-w-s034-a001-w006-01			فِي	surface_root_sequence_fallback	morpheme_aligned
q:34:1:8	34:1	34:1	8	w-s034-a001-w007	34:1:7	m-w-s034-a001-w007-02	السَّمَاوَاتِ	س م و	فِي	surface_root_sequence_fallback	morpheme_aligned
q:34:1:10	34:1	34:1	10	w-s034-a001-w008	34:1:8	m-w-s034-a001-w008-02	وَمَا		فِي	position_crosswalk	morpheme_aligned
q:34:1:11	34:1	34:1	11	w-s034-a001-w009	34:1:9	m-w-s034-a001-w009-01			فِي	surface_root_sequence_fallback	morpheme_aligned
