word_id	ayah_ref	qac_ayah_ref	word_index	qac_word_ref	surface_ar	lemma_ar	root	pos	aspect	mood	voice	measure	morphology_summary
w-s034-a000-w001	34:0	1:1	1	1:1:1	بِسْمِ	ٱسْم	س م و	N					PREFIX|bi+ | STEM|POS:N|LEM:{som|ROOT:smw|M|GEN
w-s034-a000-w002	34:0	1:1	2	1:1:2	ٱللَّهِ	ٱللَّه	ء ل ه	PN					STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|GEN
w-s034-a000-w003	34:0	1:1	3	1:1:3	ٱلرَّحْمَٰنِ	رَّحْمَٰن	ر ح م	ADJ					PREFIX|Al+ | STEM|POS:ADJ|LEM:r~aHoma`n|ROOT:rHm|MS|GEN
w-s034-a000-w004	34:0	1:1	4	1:1:4	ٱلرَّحِيمِ	رَّحِيم	ر ح م	ADJ					PREFIX|Al+ | STEM|POS:ADJ|LEM:r~aHiym|ROOT:rHm|MS|GEN
w-s034-a001-w001	34:1	34:1	1	34:1:1	ٱلْحَمْدُ	حَمْد	ح م د	N					PREFIX|Al+ | STEM|POS:N|LEM:Hamod|ROOT:Hmd|M|NOM
w-s034-a001-w002	34:1	34:1	2	34:1:2	لِلَّهِ	ٱللَّه	ء ل ه	PN					PREFIX|l:P+ | STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|GEN
w-s034-a001-w003	34:1	34:1	3	34:1:3	ٱلَّذِى	ٱلَّذِى		REL					STEM|POS:REL|LEM:{l~a*iY|MS
w-s034-a001-w004	34:1	34:1	4	34:1:4	لَهُۥ			PRON					PREFIX|l:P+ | STEM|POS:PRON|3MS
w-s034-a001-w005	34:1	34:1	5	34:1:5	مَا	مَا		REL					STEM|POS:REL|LEM:maA
w-s034-a001-w006	34:1	34:1	6	34:1:6	فِى	فِى		P					STEM|POS:P|LEM:fiY
w-s034-a001-w007	34:1	34:1	7	34:1:7	ٱلسَّمَٰوَٰتِ	سَمَآء	س م و	N					PREFIX|Al+ | STEM|POS:N|LEM:samaA^'|ROOT:smw|FP|GEN
w-s034-a001-w008	34:1	34:1	8	34:1:8	وَمَا	مَا		REL					PREFIX|w:CONJ+ | STEM|POS:REL|LEM:maA
w-s034-a001-w009	34:1	34:1	9	34:1:9	فِى	فِى		P					STEM|POS:P|LEM:fiY
w-s034-a001-w010	34:1	34:1	10	34:1:10	ٱلْأَرْضِ	أَرْض	ء ر ض	N					PREFIX|Al+ | STEM|POS:N|LEM:>aroD|ROOT:ArD|F|GEN
w-s034-a001-w011	34:1	34:1	11	34:1:11	وَلَهُ			PRON					PREFIX|w:CONJ+ | PREFIX|l:P+ | STEM|POS:PRON|3MS
w-s034-a001-w012	34:1	34:1	12	34:1:12	ٱلْحَمْدُ	حَمْد	ح م د	N					PREFIX|Al+ | STEM|POS:N|LEM:Hamod|ROOT:Hmd|M|NOM
w-s034-a001-w013	34:1	34:1	13	34:1:13	فِى	فِى		P					STEM|POS:P|LEM:fiY
w-s034-a001-w014	34:1	34:1	14	34:1:14	ٱلْءَاخِرَةِ	آخِر	ء خ ر	N					PREFIX|Al+ | STEM|POS:N|LEM:A^xir|ROOT:Axr|FS|GEN
w-s034-a001-w015	34:1	34:1	15	34:1:15	وَهُوَ			PRON					PREFIX|w:CONJ+ | STEM|POS:PRON|3MS
w-s034-a001-w016	34:1	34:1	16	34:1:16	ٱلْحَكِيمُ	حَكِيم	ح ك م	N					PREFIX|Al+ | STEM|POS:N|LEM:Hakiym|ROOT:Hkm|MS|NOM
w-s034-a001-w017	34:1	34:1	17	34:1:17	ٱلْخَبِيرُ	خَبِير	خ ب ر	ADJ					PREFIX|Al+ | STEM|POS:ADJ|LEM:xabiyr|ROOT:xbr|MS|NOM
w-s034-a002-w001	34:2	34:2	1	34:2:1	يَعْلَمُ	عَلِمَ	ع ل م	V	IMPF				STEM|POS:V|IMPF|LEM:Ealima|ROOT:Elm|3MS
w-s034-a002-w002	34:2	34:2	2	34:2:2	مَا	مَا		REL					STEM|POS:REL|LEM:maA
