edge_id	source_position	target_position	edge_type	direction	confidence	exact_surface_span	evidence	reason
ae:v3:s099:001:pass1:attach:a1	q:99:1:2	q:99:1:3	subject	head-to-dependent	high	زُلْزِلَتِ | الْأَرْضُ	agreement;case_government	ٱلْأَرْضُ is the nominative passive subject of زُلْزِلَتِ.
ae:v3:s099:001:pass1:attach:a2	q:99:1:2	q:99:1:4	cognate_acc	head-to-dependent	high	زُلْزِلَتِ | زِلْزَالَهَا	morphology;local_syntax	زِلْزَالَهَا is the verbal noun repeating the root of زُلْزِلَتِ as a cognate accusative.
ae:v3:s099:001:pass1:attach:a3	q:99:1:4	q:99:1:4	idafa	head-to-dependent	high	زِلْزَالَهَا	morphology;local_syntax	The هَا suffix in زِلْزَالَهَا is the genitive possessor attached to زِلْزَالَ.
ae:v3:s099:002:pass1:attach:a1	q:99:2:2	q:99:2:3	subject	head-to-dependent	high	وَأَخْرَجَتِ | الْأَرْضُ	agreement;case_government	ٱلْأَرْضُ is the explicit nominative subject of أَخْرَجَتِ.
ae:v3:s099:002:pass1:attach:a2	q:99:2:2	q:99:2:4	direct_object	head-to-dependent	high	وَأَخْرَجَتِ | أَثْقَالَهَا	case_government;local_syntax	أَثْقَالَهَا is the accusative thing brought out by أَخْرَجَتِ.
ae:v3:s099:002:pass1:attach:a3	q:99:2:4	q:99:2:4	idafa	head-to-dependent	high	أَثْقَالَهَا	morphology;local_syntax	The هَا suffix in أَثْقَالَهَا is the genitive possessor attached to أَثْقَالَ.
ae:v3:s099:003:pass1:attach:a1	q:99:3:2	q:99:3:3	subject	head-to-dependent	high	وَقَالَ | الْإِنْسَانُ	case_government;word_order	ٱلْإِنسَٰنُ is the explicit subject of قَالَ.
ae:v3:s099:003:pass1:attach:a2	q:99:3:2	q:99:3:4	quoted_complement	head-to-dependent	high	وَقَالَ | مَا	local_syntax	The utterance مَا لَهَا is the quoted content of قَالَ.
ae:v3:s099:003:pass1:attach:a3	q:99:3:4	q:99:3:6	prep_complement	head-to-dependent	high	مَا | لَهَا	case_government;local_syntax	هَا is governed by لَ in the predicate phrase لَهَا answering مَا.
ae:v3:s099:003:pass1:attach:a4	q:99:3:4	q:99:3:6	predication	head-to-dependent	high	مَا | لَهَا	local_syntax	لَهَا functions as the predicate of the nominal question مَا لَهَا.
ae:v3:s099:004:pass1:attach:a1	q:99:4:2	q:99:4:1	adverbial	head-to-dependent	high	تُحَدِّثُ | يَوْمَئِذٍ	case_government;local_syntax	يَوْمَئِذٍ sets the time of تُحَدِّثُ.
ae:v3:s099:004:pass1:attach:a2	q:99:4:2	q:99:4:3	direct_object	head-to-dependent	high	تُحَدِّثُ | أَخْبَارَهَا	case_government;local_syntax	أَخْبَارَهَا is the accusative object reported by تُحَدِّثُ.
ae:v3:s099:004:pass1:attach:a3	q:99:4:3	q:99:4:3	idafa	head-to-dependent	high	أَخْبَارَهَا	morphology;local_syntax	The هَا suffix in أَخْبَارَهَا is the genitive possessor attached to أَخْبَارَ.
ae:v3:s099:005:pass1:attach:a1	q:99:5:1	q:99:5:2	particle_complement	head-to-dependent	high	بِأَنَّ | رَبَّكَ	case_government;local_syntax	رَبَّكَ is the accusative ism of أَنَّ in بِأَنَّ.
ae:v3:s099:005:pass1:attach:a2	q:99:5:1	q:99:5:3	predication	head-to-dependent	high	بِأَنَّ | أَوْحَى	local_syntax	أَوْحَىٰ لَهَا supplies the predicate content of أَنَّ after رَبَّكَ.
ae:v3:s099:005:pass1:attach:a3	q:99:5:3	q:99:5:5	prep_complement	head-to-dependent	high	أَوْحَى | لَهَا	case_government;local_syntax	هَا is governed by لَ as the recipient complement of أَوْحَىٰ.
ae:v3:s099:005:pass1:attach:a4	q:99:5:2	q:99:5:2	idafa	head-to-dependent	high	رَبَّكَ	morphology;local_syntax	The كَ suffix in رَبَّكَ is the genitive possessor attached to رَبَّ.
ae:v3:s099:006:pass1:attach:a1	q:99:6:2	q:99:6:1	adverbial	head-to-dependent	high	يَصْدُرُ | يَوْمَئِذٍ	case_government;local_syntax	يَوْمَئِذٍ sets the time of يَصْدُرُ.
ae:v3:s099:006:pass1:attach:a2	q:99:6:2	q:99:6:3	subject	head-to-dependent	high	يَصْدُرُ | النَّاسُ	case_government;agreement	ٱلنَّاسُ is the nominative subject of يَصْدُرُ.
ae:v3:s099:006:pass1:attach:a3	q:99:6:2	q:99:6:4	circumstantial	head-to-dependent	high	يَصْدُرُ | أَشْتَاتَاً	case_government;local_syntax	أَشْتَاتًا describes the state in which ٱلنَّاسُ يَصْدُرُ.
ae:v3:s099:006:pass1:attach:a4	q:99:6:5	q:99:6:6	particle_complement	head-to-dependent	high	لِيُرَوْا | لِيُرَوْا	case_government;local_syntax	لِ governs يُرَوْا as a subjunctive purpose verb.
ae:v3:s099:006:pass1:attach:a5	q:99:6:6	q:99:6:7	direct_object	head-to-dependent	high	لِيُرَوْا | أَعْمَالَهُمْ	case_government;local_syntax	أَعْمَٰلَهُمْ is the accusative object shown in يُرَوْا.
ae:v3:s099:006:pass1:attach:a6	q:99:6:7	q:99:6:7	idafa	head-to-dependent	high	أَعْمَالَهُمْ	morphology;local_syntax	The هُمْ suffix in أَعْمَٰلَهُمْ is the genitive possessor attached to أَعْمَٰلَ.
ae:v3:s099:007:pass1:attach:a1	q:99:7:3	q:99:7:2	subject	head-to-dependent	high	يَعْمَلْ | فَمَنْ	local_syntax;word_order	مَنْ supplies the conditional subject for يَعْمَلْ.
ae:v3:s099:007:pass1:attach:a2	q:99:7:3	q:99:7:4	direct_object	head-to-dependent	high	يَعْمَلْ | مِثْقَالَ	case_government;local_syntax	مِثْقَالَ is the accusative object of يَعْمَلْ.
ae:v3:s099:007:pass1:attach:a3	q:99:7:4	q:99:7:5	idafa	head-to-dependent	high	مِثْقَالَ | ذَرَّةٍ	case_government;local_syntax	ذَرَّةٍ is genitive as the second term of the iḍāfa مِثْقَالَ ذَرَّةٍ.
ae:v3:s099:007:pass1:attach:a4	q:99:7:4	q:99:7:6	accusative_specification	head-to-dependent	high	مِثْقَالَ | خَيْرَاً	case_government;local_syntax	خَيْرًا specifies the kind of مِثْقَالَ ذَرَّةٍ being done.
ae:v3:s099:007:pass1:attach:a5	q:99:7:7	q:99:7:7	direct_object	head-to-dependent	high	يَرَهُ	morphology;local_syntax	The هُ suffix in يَرَهُ is the object pronoun of يَرَ.
ae:v3:s099:008:pass1:attach:a1	q:99:8:3	q:99:8:2	subject	head-to-dependent	high	يَعْمَلْ | وَمَنْ	local_syntax;word_order	مَن supplies the conditional subject for يَعْمَلْ.
ae:v3:s099:008:pass1:attach:a2	q:99:8:3	q:99:8:4	direct_object	head-to-dependent	high	يَعْمَلْ | مِثْقَالَ	case_government;local_syntax	مِثْقَالَ is the accusative object of يَعْمَلْ.
ae:v3:s099:008:pass1:attach:a3	q:99:8:4	q:99:8:5	idafa	head-to-dependent	high	مِثْقَالَ | ذَرَّةٍ	case_government;local_syntax	ذَرَّةٍ is genitive as the second term of the iḍāfa مِثْقَالَ ذَرَّةٍ.
ae:v3:s099:008:pass1:attach:a4	q:99:8:4	q:99:8:6	accusative_specification	head-to-dependent	high	مِثْقَالَ | شَرَّاً	case_government;local_syntax	شَرًّا specifies the kind of مِثْقَالَ ذَرَّةٍ being done.
ae:v3:s099:008:pass1:attach:a5	q:99:8:7	q:99:8:7	direct_object	head-to-dependent	high	يَرَهُ	morphology;local_syntax	The هُۥ suffix in يَرَهُۥ is the object pronoun of يَرَ.
