attachment_unit_id	ayah_ref	qac_ayah_ref	unit_index	word_id	qac_word_ref	morpheme_ids	attachment_surfaces	attachment_roots	prep_bases	binding_method	binding_status
q:1:1:1	81:0	1:1	1	w-s081-a000-w001	1:1:1	m-w-s081-a000-w001-01	بِسْمِ		بـ	position_crosswalk	morpheme_aligned
q:1:1:2	81:0	1:1	2	w-s081-a000-w001	1:1:1	m-w-s081-a000-w001-02	بِسْمِ	س م و	بـ	position_crosswalk	morpheme_aligned
q:1:1:3	81:0	1:1	3	w-s081-a000-w002	1:1:2	m-w-s081-a000-w002-01	اللَّهِ	أ ل ه		position_crosswalk	morpheme_aligned
q:1:1:4	81:0	1:1	4	w-s081-a000-w003	1:1:3	m-w-s081-a000-w003-02	الرَّحْمَنِ	ر ح م		position_crosswalk	morpheme_aligned
q:1:1:5	81:0	1:1	5	w-s081-a000-w003	1:1:3	m-w-s081-a000-w003-02	الرَّحِيمِ	ر ح م		surface_root_sequence_fallback	morpheme_aligned
q:81:1:1	81:1	81:1	1	w-s081-a001-w001	81:1:1	m-w-s081-a001-w001-01	إِذَا	أ ذ ي		position_crosswalk	morpheme_aligned
q:81:1:2	81:1	81:1	2	w-s081-a001-w002	81:1:2	m-w-s081-a001-w002-02	الشَّمْسُ	ش م س		position_crosswalk	morpheme_aligned
q:81:1:3	81:1	81:1	3	w-s081-a001-w003	81:1:3	m-w-s081-a001-w003-01	كُوِّرَتْ	ك و ر		position_crosswalk	morpheme_aligned
q:81:2:2	81:2	81:2	2	w-s081-a002-w001	81:2:1	m-w-s081-a002-w001-02	وَإِذَا	أ ذ ي		position_crosswalk	morpheme_aligned
q:81:2:3	81:2	81:2	3	w-s081-a002-w002	81:2:2	m-w-s081-a002-w002-02	النُّجُومُ	ن ج م		position_crosswalk	morpheme_aligned
q:81:2:4	81:2	81:2	4	w-s081-a002-w003	81:2:3	m-w-s081-a002-w003-01	انْكَدَرَتْ	ك د ر		position_crosswalk	morpheme_aligned
q:81:3:2	81:3	81:3	2	w-s081-a003-w001	81:3:1	m-w-s081-a003-w001-02	وَإِذَا	أ ذ ي		position_crosswalk	morpheme_aligned
q:81:3:3	81:3	81:3	3	w-s081-a003-w002	81:3:2	m-w-s081-a003-w002-02	الْجِبَالُ	ج ب ل		position_crosswalk	morpheme_aligned
q:81:3:4	81:3	81:3	4	w-s081-a003-w003	81:3:3	m-w-s081-a003-w003-01	سُيِّرَتْ	س ي ر		position_crosswalk	morpheme_aligned
q:81:4:2	81:4	81:4	2	w-s081-a004-w001	81:4:1	m-w-s081-a004-w001-02	وَإِذَا	أ ذ ي		position_crosswalk	morpheme_aligned
q:81:4:3	81:4	81:4	3	w-s081-a004-w002	81:4:2	m-w-s081-a004-w002-02	الْعِشَارُ	ع ش ر		position_crosswalk	morpheme_aligned
q:81:4:4	81:4	81:4	4	w-s081-a004-w003	81:4:3	m-w-s081-a004-w003-01	عُطِّلَتْ	ع ط ل		position_crosswalk	morpheme_aligned
q:81:5:2	81:5	81:5	2	w-s081-a005-w001	81:5:1	m-w-s081-a005-w001-02	وَإِذَا	أ ذ ي		position_crosswalk	morpheme_aligned
q:81:5:3	81:5	81:5	3	w-s081-a005-w002	81:5:2	m-w-s081-a005-w002-02	الْوُحُوشُ	و ح ش		position_crosswalk	morpheme_aligned
q:81:5:4	81:5	81:5	4	w-s081-a005-w003	81:5:3	m-w-s081-a005-w003-01	حُشِرَتْ	ح ش ر		position_crosswalk	morpheme_aligned
q:81:6:2	81:6	81:6	2	w-s081-a006-w001	81:6:1	m-w-s081-a006-w001-02	وَإِذَا	أ ذ ي		position_crosswalk	morpheme_aligned
q:81:6:3	81:6	81:6	3	w-s081-a006-w002	81:6:2	m-w-s081-a006-w002-02	الْبِحَارُ	ب ح ر		position_crosswalk	morpheme_aligned
q:81:6:4	81:6	81:6	4	w-s081-a006-w003	81:6:3	m-w-s081-a006-w003-01	سُجِّرَتْ	س ج ر		position_crosswalk	morpheme_aligned
q:81:7:2	81:7	81:7	2	w-s081-a007-w001	81:7:1	m-w-s081-a007-w001-02	وَإِذَا	أ ذ ي		position_crosswalk	morpheme_aligned
q:81:7:3	81:7	81:7	3	w-s081-a007-w002	81:7:2	m-w-s081-a007-w002-02	النُّفُوسُ	ن ف س		position_crosswalk	morpheme_aligned
q:81:7:4	81:7	81:7	4	w-s081-a007-w003	81:7:3	m-w-s081-a007-w003-01	زُوِّجَتْ	ز و ج		position_crosswalk	morpheme_aligned
q:81:8:2	81:8	81:8	2	w-s081-a008-w001	81:8:1	m-w-s081-a008-w001-02	وَإِذَا	أ ذ ي		position_crosswalk	morpheme_aligned
q:81:8:3	81:8	81:8	3	w-s081-a008-w002	81:8:2	m-w-s081-a008-w002-02	الْمَوْءُودَةُ	و أ د		position_crosswalk	morpheme_aligned
q:81:8:4	81:8	81:8	4	w-s081-a008-w003	81:8:3	m-w-s081-a008-w003-01	سُئِلَتْ	س أ ل		position_crosswalk	morpheme_aligned
q:81:9:1	81:9	81:9	1	w-s081-a009-w001	81:9:1	m-w-s081-a009-w001-01			بـ	position_crosswalk	morpheme_aligned
q:81:9:2	81:9	81:9	2	w-s081-a009-w001	81:9:1	m-w-s081-a009-w001-02	بِأَيِّ	أ ي ي	بـ	position_crosswalk	morpheme_aligned
