source_token_id	ayah_ref	source_token_index	surface_ar	word_ids	qac_word_refs	binding_status
t-s086-a000-w001	86:0	1	بِسْمِ	w-s086-a000-w001	1:1:1	one_to_one
t-s086-a000-w002	86:0	2	ٱللَّهِ	w-s086-a000-w002	1:1:2	one_to_one
t-s086-a000-w003	86:0	3	ٱلرَّحْمَٰنِ	w-s086-a000-w003	1:1:3	one_to_one
t-s086-a000-w004	86:0	4	ٱلرَّحِيمِ	w-s086-a000-w004	1:1:4	one_to_one
t-s086-a001-w001	86:1	1	وَٱلسَّمَآءِ	w-s086-a001-w001	86:1:1	one_to_one
t-s086-a001-w002	86:1	2	وَٱلطَّارِقِ	w-s086-a001-w002	86:1:2	one_to_one
t-s086-a002-w001	86:2	1	وَمَآ	w-s086-a002-w001	86:2:1	one_to_one
t-s086-a002-w002	86:2	2	أَدْرَىٰكَ	w-s086-a002-w002	86:2:2	one_to_one
t-s086-a002-w003	86:2	3	مَا	w-s086-a002-w003	86:2:3	one_to_one
t-s086-a002-w004	86:2	4	ٱلطَّارِقُ	w-s086-a002-w004	86:2:4	one_to_one
t-s086-a003-w001	86:3	1	ٱلنَّجْمُ	w-s086-a003-w001	86:3:1	one_to_one
t-s086-a003-w002	86:3	2	ٱلثَّاقِبُ	w-s086-a003-w002	86:3:2	one_to_one
t-s086-a004-w001	86:4	1	إِن	w-s086-a004-w001	86:4:1	one_to_one
t-s086-a004-w002	86:4	2	كُلُّ	w-s086-a004-w002	86:4:2	one_to_one
t-s086-a004-w003	86:4	3	نَفْسٍۢ	w-s086-a004-w003	86:4:3	one_to_one
t-s086-a004-w004	86:4	4	لَّمَّا	w-s086-a004-w004	86:4:4	one_to_one
t-s086-a004-w005	86:4	5	عَلَيْهَا	w-s086-a004-w005	86:4:5	one_to_one
t-s086-a004-w006	86:4	6	حَافِظٌۭ	w-s086-a004-w006	86:4:6	one_to_one
t-s086-a005-w001	86:5	1	فَلْيَنظُرِ	w-s086-a005-w001	86:5:1	one_to_one
t-s086-a005-w002	86:5	2	ٱلْإِنسَٰنُ	w-s086-a005-w002	86:5:2	one_to_one
t-s086-a005-w003	86:5	3	مِمَّ	w-s086-a005-w003	86:5:3	one_to_one
t-s086-a005-w004	86:5	4	خُلِقَ	w-s086-a005-w004	86:5:4	one_to_one
t-s086-a006-w001	86:6	1	خُلِقَ	w-s086-a006-w001	86:6:1	one_to_one
t-s086-a006-w002	86:6	2	مِن	w-s086-a006-w002	86:6:2	one_to_one
t-s086-a006-w003	86:6	3	مَّآءٍۢ	w-s086-a006-w003	86:6:3	one_to_one
t-s086-a006-w004	86:6	4	دَافِقٍۢ	w-s086-a006-w004	86:6:4	one_to_one
t-s086-a007-w001	86:7	1	يَخْرُجُ	w-s086-a007-w001	86:7:1	one_to_one
t-s086-a007-w002	86:7	2	مِنۢ	w-s086-a007-w002	86:7:2	one_to_one
t-s086-a007-w003	86:7	3	بَيْنِ	w-s086-a007-w003	86:7:3	one_to_one
t-s086-a007-w004	86:7	4	ٱلصُّلْبِ	w-s086-a007-w004	86:7:4	one_to_one
t-s086-a007-w005	86:7	5	وَٱلتَّرَآئِبِ	w-s086-a007-w005	86:7:5	one_to_one
t-s086-a008-w001	86:8	1	إِنَّهُۥ	w-s086-a008-w001	86:8:1	one_to_one
t-s086-a008-w002	86:8	2	عَلَىٰ	w-s086-a008-w002	86:8:2	one_to_one
t-s086-a008-w003	86:8	3	رَجْعِهِۦ	w-s086-a008-w003	86:8:3	one_to_one
t-s086-a008-w004	86:8	4	لَقَادِرٌۭ	w-s086-a008-w004	86:8:4	one_to_one
t-s086-a009-w001	86:9	1	يَوْمَ	w-s086-a009-w001	86:9:1	one_to_one
t-s086-a009-w002	86:9	2	تُبْلَى	w-s086-a009-w002	86:9:2	one_to_one
t-s086-a009-w003	86:9	3	ٱلسَّرَآئِرُ	w-s086-a009-w003	86:9:3	one_to_one
t-s086-a010-w001	86:10	1	فَمَا	w-s086-a010-w001	86:10:1	one_to_one
t-s086-a010-w002	86:10	2	لَهُۥ	w-s086-a010-w002	86:10:2	one_to_one
t-s086-a010-w003	86:10	3	مِن	w-s086-a010-w003	86:10:3	one_to_one
t-s086-a010-w004	86:10	4	قُوَّةٍۢ	w-s086-a010-w004	86:10:4	one_to_one
t-s086-a010-w005	86:10	5	وَلَا	w-s086-a010-w005	86:10:5	one_to_one
t-s086-a010-w006	86:10	6	نَاصِرٍۢ	w-s086-a010-w006	86:10:6	one_to_one
t-s086-a011-w001	86:11	1	وَٱلسَّمَآءِ	w-s086-a011-w001	86:11:1	one_to_one
t-s086-a011-w002	86:11	2	ذَاتِ	w-s086-a011-w002	86:11:2	one_to_one
t-s086-a011-w003	86:11	3	ٱلرَّجْعِ	w-s086-a011-w003	86:11:3	one_to_one
t-s086-a012-w001	86:12	1	وَٱلْأَرْضِ	w-s086-a012-w001	86:12:1	one_to_one
t-s086-a012-w002	86:12	2	ذَاتِ	w-s086-a012-w002	86:12:2	one_to_one
t-s086-a012-w003	86:12	3	ٱلصَّدْعِ	w-s086-a012-w003	86:12:3	one_to_one
t-s086-a013-w001	86:13	1	إِنَّهُۥ	w-s086-a013-w001	86:13:1	one_to_one
t-s086-a013-w002	86:13	2	لَقَوْلٌۭ	w-s086-a013-w002	86:13:2	one_to_one
t-s086-a013-w003	86:13	3	فَصْلٌۭ	w-s086-a013-w003	86:13:3	one_to_one
t-s086-a014-w001	86:14	1	وَمَا	w-s086-a014-w001	86:14:1	one_to_one
t-s086-a014-w002	86:14	2	هُوَ	w-s086-a014-w002	86:14:2	one_to_one
t-s086-a014-w003	86:14	3	بِٱلْهَزْلِ	w-s086-a014-w003	86:14:3	one_to_one
t-s086-a015-w001	86:15	1	إِنَّهُمْ	w-s086-a015-w001	86:15:1	one_to_one
t-s086-a015-w002	86:15	2	يَكِيدُونَ	w-s086-a015-w002	86:15:2	one_to_one
t-s086-a015-w003	86:15	3	كَيْدًۭا	w-s086-a015-w003	86:15:3	one_to_one
t-s086-a016-w001	86:16	1	وَأَكِيدُ	w-s086-a016-w001	86:16:1	one_to_one
t-s086-a016-w002	86:16	2	كَيْدًۭا	w-s086-a016-w002	86:16:2	one_to_one
t-s086-a017-w001	86:17	1	فَمَهِّلِ	w-s086-a017-w001	86:17:1	one_to_one
t-s086-a017-w002	86:17	2	ٱلْكَٰفِرِينَ	w-s086-a017-w002	86:17:2	one_to_one
t-s086-a017-w003	86:17	3	أَمْهِلْهُمْ	w-s086-a017-w003	86:17:3	one_to_one
t-s086-a017-w004	86:17	4	رُوَيْدًۢا	w-s086-a017-w004	86:17:4	one_to_one
