cooccurrence_id	ayah_ref	left_word_id	right_word_id	left_root	right_root	word_distance	root_distance_min	root_distance_max	local_pair_count	corpus_window_count	corpus_pair_count	source_pair_id
co-10_0-00001	10:0	w-s010-a000-w002	w-s010-a000-w003	ء ل ه	ر ح م	1	1	2	2	130	254	intra_ayah:1:1:root:1
co-10_0-00002	10:0	w-s010-a000-w002	w-s010-a000-w004	ء ل ه	ر ح م	2	1	2	2	130	254	intra_ayah:1:1:root:1
co-10_0-00003	10:0	w-s010-a000-w002	w-s010-a000-w001	ء ل ه	س م و	1	1	1	1	185	319	intra_ayah:1:1:root:2
co-10_0-00004	10:0	w-s010-a000-w003	w-s010-a000-w001	ر ح م	س م و	2	2	3	2	18	21	intra_ayah:1:1:root:3
co-10_0-00005	10:0	w-s010-a000-w004	w-s010-a000-w001	ر ح م	س م و	3	2	3	2	18	21	intra_ayah:1:1:root:3
co-10_1-00006	10:1	w-s010-a001-w003	w-s010-a001-w005	ء ي ي	ح ك م	2	2	2	1	17	21	intra_ayah:10:1:root:1
co-10_1-00007	10:1	w-s010-a001-w003	w-s010-a001-w004	ء ي ي	ك ت ب	1	1	1	1	33	37	intra_ayah:10:1:root:2
co-10_1-00008	10:1	w-s010-a001-w005	w-s010-a001-w004	ح ك م	ك ت ب	1	1	1	1	31	39	intra_ayah:10:1:root:3
co-10_2-00009	10:2	w-s010-a002-w014	w-s010-a002-w012	ء م ن	ب ش ر	2	1	1	1	27	32	intra_ayah:10:2:root:1
co-10_2-00010	10:2	w-s010-a002-w014	w-s010-a002-w021	ء م ن	ق و ل	7	5	5	1	185	327	intra_ayah:10:2:root:10
co-10_2-00011	10:2	w-s010-a002-w017	w-s010-a002-w021	ق د م	ق و ل	4	4	4	1	14	16	intra_ayah:10:2:root:100
co-10_2-00012	10:2	w-s010-a002-w017	w-s010-a002-w022	ق د م	ك ف ر	5	5	5	1	8	8	intra_ayah:10:2:root:101
co-10_2-00013	10:2	w-s010-a002-w017	w-s010-a002-w001	ق د م	ك و ن	16	9	9	1	7	7	intra_ayah:10:2:root:102
co-10_2-00014	10:2	w-s010-a002-w017	w-s010-a002-w010	ق د م	ن ذ ر	7	4	4	1	2	2	intra_ayah:10:2:root:103
co-10_2-00015	10:2	w-s010-a002-w017	w-s010-a002-w002	ق د م	ن و س	15	3	8	2	3	4	intra_ayah:10:2:root:104
co-10_2-00016	10:2	w-s010-a002-w017	w-s010-a002-w011	ق د م	ن و س	6	3	8	2	3	4	intra_ayah:10:2:root:104
co-10_2-00017	10:2	w-s010-a002-w017	w-s010-a002-w005	ق د م	و ح ي	12	6	6	1	1	1	intra_ayah:10:2:root:105
co-10_2-00018	10:2	w-s010-a002-w021	w-s010-a002-w022	ق و ل	ك ف ر	1	1	1	1	132	211	intra_ayah:10:2:root:106
co-10_2-00019	10:2	w-s010-a002-w021	w-s010-a002-w001	ق و ل	ك و ن	20	13	13	1	369	573	intra_ayah:10:2:root:107
co-10_2-00020	10:2	w-s010-a002-w021	w-s010-a002-w010	ق و ل	ن ذ ر	11	8	8	1	34	43	intra_ayah:10:2:root:108
co-10_2-00021	10:2	w-s010-a002-w021	w-s010-a002-w002	ق و ل	ن و س	19	7	12	2	57	90	intra_ayah:10:2:root:109
co-10_2-00022	10:2	w-s010-a002-w021	w-s010-a002-w011	ق و ل	ن و س	10	7	12	2	57	90	intra_ayah:10:2:root:109
co-10_2-00023	10:2	w-s010-a002-w014	w-s010-a002-w022	ء م ن	ك ف ر	8	6	6	1	126	190	intra_ayah:10:2:root:11
