left	right	score	edge_jaccard	branch_jaccard	root_jaccard	ayah_jaccard	branch_containment	edge_containment	edge_type
P0021	P0206	0.667123	0.577178	0.617453	0.912847	1.0	0.777778	0.75	mutual_knn
P0218	P0484	0.654795	0.564358	0.605456	0.889238	1.0	0.777778	0.75	mutual_knn
P0211	P0682	0.652267	0.552775	0.61156	0.894718	1.0	0.777778	0.75	mutual_knn
P0217	P0546	0.651923	0.553749	0.60185	0.920887	1.0	0.777778	0.75	mutual_knn
P0185	P0318	0.651689	0.572128	0.587135	0.887341	1.0	0.777778	0.75	mutual_knn
P0316	P0858	0.651145	0.549983	0.620141	0.866031	1.0	0.777778	0.75	mutual_knn
P0662	P0858	0.650227	0.552373	0.608377	0.887274	1.0	0.777778	0.75	mutual_knn
P0014	P0346	0.648757	0.553824	0.599108	0.898481	1.0	0.777778	0.75	mutual_knn
P0013	P0459	0.648387	0.557895	0.603828	0.85994	1.0	0.777778	0.75	mutual_knn
P0453	P0915	0.647829	0.5668	0.579395	0.899804	1.0	0.777778	0.75	mutual_knn
P0031	P0046	0.647395	0.557387	0.590452	0.899123	1.0	0.777778	0.75	mutual_knn
P0051	P0491	0.646583	0.569126	0.622427	0.726273	1.0	0.777778	0.75	mutual_knn
P0150	P0605	0.646042	0.571041	0.618476	0.726064	1.0	0.777778	0.75	mutual_knn
P0002	P0117	0.645803	0.548631	0.588077	0.930917	1.0	0.777778	0.75	mutual_knn
P0371	P0736	0.645495	0.572725	0.612588	0.733628	1.0	0.777778	0.75	mutual_knn
P0540	P0918	0.645371	0.548791	0.590341	0.917957	1.0	0.777778	0.75	mutual_knn
P0213	P0633	0.644892	0.556511	0.585283	0.896125	1.0	0.777778	0.75	mutual_knn
P0785	P0817	0.644884	0.567475	0.587908	0.837525	1.0	0.777778	0.75	mutual_knn
P0023	P0236	0.644542	0.550475	0.584951	0.920955	1.0	0.777778	0.75	mutual_knn
P0451	P0489	0.644437	0.538279	0.601396	0.917232	1.0	0.777778	0.75	mutual_knn
P0385	P0667	0.644422	0.561009	0.579294	0.892151	1.0	0.777778	0.75	mutual_knn
P0211	P0535	0.643891	0.55148	0.589297	0.894718	1.0	0.777778	0.75	mutual_knn
P0019	P0382	0.643781	0.570898	0.605488	0.892421	0.857143	0.777778	0.75	mutual_knn
P0275	P0379	0.64334	0.55832	0.627233	0.725644	1.0	0.777778	0.75	mutual_knn
P0071	P0470	0.643298	0.549314	0.582877	0.920993	1.0	0.777778	0.75	mutual_knn
P0005	P0353	0.642865	0.547433	0.586386	0.912847	1.0	0.777778	0.75	mutual_knn
P0055	P0223	0.642409	0.54978	0.582066	0.912847	1.0	0.777778	0.75	mutual_knn
P0532	P0762	0.642076	0.543787	0.586907	0.919539	1.0	0.777778	0.75	mutual_knn
P0152	P0597	0.641737	0.567282	0.601201	0.760395	1.0	0.777778	0.75	mutual_knn
P0037	P0345	0.641622	0.555729	0.575414	0.90149	1.0	0.777778	0.75	mutual_knn
P0267	P0688	0.6414	0.569093	0.615233	0.699765	1.0	0.777778	0.75	mutual_knn
P0184	P0502	0.641018	0.562219	0.573311	0.873601	1.0	0.777778	0.75	mutual_knn
P0225	P0567	0.6408	0.54689	0.585425	0.898011	1.0	0.777778	0.75	mutual_knn
P0442	P0600	0.640603	0.548309	0.584599	0.892544	1.0	0.777778	0.75	mutual_knn
