rank	path_family_id	family_score	label_hint	members	ayahs	roots	core_branches	optional_branches	representative_path_id	construction_paths
1	PF0001	0.6548	disease / captain / pilot / sailor	2	1,2,3,5,6	ر ب ب ر ح م ع ب د ع و ن ق و م ه د ي	ر ب ب:B017@2:رباني الملاحين | ر ح م:B004@1,3:وجع الرَّحِم بعد الولادة | ع ب د:B012@5:صَلاءة الطيب | ع و ن:B004@5:النخلة العَوانة القديمة | ق و م:B020@6:قوام في قوائم الشاة | ه د ي:B003@6:المتقدم الهادي وأوائل الشيء		P1538	P1538[ر ح م:B004→ق و م:B020 ; ر ب ب:B017→ق و م:B020 ; ر ب ب:B017→ع ب د:B012 ; ع ب د:B012→ع و ن:B004] | P2866[ر ب ب:B017→ع ب د:B012 ; ر ب ب:B017→ق و م:B020 ; ه د ي:B003→ق و م:B020]
2	PF0002	0.5958	family / relative / stay / permanence	2	1,2,3,6	ر ب ب ر ح م ق و م	ر ب ب:B007@2:لزوم وإقامة ودوام | ر ح م:B002@1,3:الرَّحِم والقرابة | ق و م:B011@6:قامة وقوام الجسم والطول | ق و م:B016@6:جمود ووقوف وكلال		P3677	P3677[ر ح م:B002→ر ب ب:B007 ; ر ب ب:B007→ق و م:B011] | P4013[ر ح م:B002→ر ب ب:B007 ; ر ب ب:B007→ق و م:B016]
3	PF0003	0.586	comfort / settlement / residence / intent	2	2,6,7	ر ب ب ن ع م ه د ي	ر ب ب:B002@2:إصلاح وتربية وإتمام | ر ب ب:B007@2:لزوم وإقامة ودوام | ن ع م:B011@7:موافقة المكان وطيب المقام | ه د ي:B002@6:جهة الأمر وسيرته وقصده		P4678	P4678[ه د ي:B002→ن ع م:B011 ; ر ب ب:B002→ن ع م:B011] | P4893[ه د ي:B002→ن ع م:B011 ; ر ب ب:B007→ن ع م:B011]
4	PF0004	0.5795	praise / comfort / reputation / settlement	6	1,2,4,5,6,7	ح م د ر ب ب س م و ض ل ل ع ب د غ ض ب ق و م م ل ك ن ع م ه د ي	ح م د:B002@2:وجود الشيء محمودا | ر ب ب:B007@2:لزوم وإقامة ودوام | س م و:B008@1:الصيت الحسن المنتشر | ع ب د:B009@5:قلة اللبث وسرعة العدو | ق و م:B011@6:قامة وقوام الجسم والطول | ن ع م:B011@7:موافقة المكان وطيب المقام | ه د ي:B010@6:هدي السكون وحسن الهيئة	ر ب ب:B002@2:إصلاح وتربية وإتمام | ض ل ل:B002@7:الغيبوبة والخفاء | ض ل ل:B003@7:فقدان الشيء | ض ل ل:B005@7:الضالّة في المضيعة | ع ب د:B012@5:صَلاءة الطيب | غ ض ب:B002@7:الغضب لشخص حي أو به بعد موته | غ ض ب:B004@7:صلابة الصخرة وتماسكها | م ل ك:B001@4:قوة الشيء وتماسكه | ن ع م:B005@7:مال الأنعام والإبل	P1729	P1729[ه د ي:B010→ق و م:B011 ; ع ب د:B009→ه د ي:B010 ; س م و:B008→ه د ي:B010 ; ق و م:B011→ن ع م:B011 ; ر ب ب:B002→ن ع م:B011] | P0486[ه د ي:B010→ق و م:B011 ; ع ب د:B009→ه د ي:B010 ; س م و:B008→ه د ي:B010 ; ق و م:B011→ن ع م:B011 ; ح م د:B002→ن ع م:B011 ; ح م د:B002→ض ل ل:B003 ; م ل ك:B001→ض ل ل:B003 ; م ل ك:B001→غ ض ب:B004 ; ر ب ب:B007→ق و م:B011] | P0922[ه د ي:B010→ق و م:B011 ; ع ب د:B009→ه د ي:B010 ; س م و:B008→ه د ي:B010 ; ق و م:B011→ن ع م:B011 ; ح م د:B002→ن ع م:B011 ; ح م د:B002→ض ل ل:B002 ; غ ض ب:B002→ض ل ل:B002] | P1055[ه د ي:B010→ق و م:B011 ; ع ب د:B009→ه د ي:B010 ; س م و:B008→ه د ي:B010 ; ر ب ب:B007→ق و م:B011 ; ر ب ب:B007→ض ل ل:B005 ; ن ع م:B005→ض ل ل:B005]
5	PF0005	0.5792	dominion / hierarchy / governance / property	7	1,2,3,4,5,6,7	ء ل ه د ي ن ر ب ب ر ح م س م و ض ل ل ع ب د ع و ن غ ض ب ق و م م ل ك ن ع م ه د ي	ء ل ه:B002@1,2:اسم الله في القسم والنداء | ر ب ب:B001@2:ربوبية وملك وسيادة | س م و:B005@1:الاسم تنويه ودلالة | ض ل ل:B005@7:الضالّة في المضيعة | ع ب د:B001@5:الرق والملك | م ل ك:B003@4:المُلك والسلطان | ن ع م:B005@7:مال الأنعام والإبل	د ي ن:B004@4:الإذلال والملك | ع و ن:B002@5:العَوان بين السنين | ق و م:B004@6:رعاية وحفظ وولاية | ه د ي:B002@6:جهة الأمر وسيرته وقصده | ه د ي:B005@6:الهدي المهدى إلى الحرم	P1070	P1070[ع و ن:B002→ض ل ل:B005 ; ر ب ب:B001→ض ل ل:B005 ; ء ل ه:B002→ر ب ب:B001 ; ن ع م:B005→ض ل ل:B005 ; ر ب ب:B001→م ل ك:B003 ; ه د ي:B005→ن ع م:B005 ; م ل ك:B003→ع ب د:B001] | P0254[ء ل ه:B002→ه د ي:B003 ; ه د ي:B003→ق و م:B020 ; ر ح م:B004→ق و م:B020 ; ء ل ه:B002→ر ب ب:B001 ; ر ب ب:B001→م ل ك:B003 ; م ل ك:B003→ع ب د:B001 ; ر ب ب:B001→ض ل ل:B005 ; ن ع م:B005→ض ل ل:B005 ; د ي ن:B004→ع ب د:B001] | P0400[ء ل ه:B002→ر ب ب:B001 ; ر ب ب:B001→م ل ك:B003 ; م ل ك:B003→ق و م:B004 ; ه د ي:B002→ق و م:B004 ; م ل ك:B003→ع ب د:B001 ; ر ب ب:B001→ض ل ل:B005 ; ن ع م:B005→ض ل ل:B005 ; غ ض ب:B003→ض ل ل:B005 ; س م و:B007→غ ض ب:B003] | P0552[س م و:B005→ء ل ه:B002 ; ء ل ه:B002→ر ب ب:B001 ; ر ب ب:B001→م ل ك:B003 ; م ل ك:B003→ع ب د:B001 ; ر ب ب:B001→ض ل ل:B005 ; ن ع م:B005→ض ل ل:B005 ; د ي ن:B004→ع ب د:B001 ; س م و:B005→ق و م:B003 ; ع و ن:B001→ق و م:B003]
6	PF0006	0.5703	family / society / thousand / relative	2	1,2,3	ر ب ب ر ح م س م و ع ل م	ر ب ب:B004@2:ربة وجماعات كثيرة | ر ح م:B002@1,3:الرَّحِم والقرابة | س م و:B006@1:الخروج للصيد | ع ل م:B005@2:ماء كثير مجتمع في عيلم		P3482	P3482[ر ح م:B002→ر ب ب:B004 ; ر ب ب:B004→ع ل م:B005] | P4998[س م و:B006→ر ب ب:B004 ; ر ح م:B002→ر ب ب:B004]
7	PF0007	0.5554	duration / span / time_measure_quantity/time / period	2	1,2,4,6	ر ب ب س م و ه د ي ي و م	ر ب ب:B009@2:شاة رُبّى وحداثة | س م و:B002@1:الشخص المرتفع الظاهر | ه د ي:B003@6:المتقدم الهادي وأوائل الشيء | ي و م:B002@4:مدة من الزمان		P5007	P5007[ي و م:B002→ه د ي:B003 ; ر ب ب:B009→ه د ي:B003] | P5129[ي و م:B002→ه د ي:B003 ; س م و:B002→ه د ي:B003]
8	PF0008	0.5406	family / nurse / stepchild / pubis	3	1,2,3,4,5,6	د ي ن ر ب ب ر ح م ع و ن ق و م ه د ي	ر ب ب:B005@2:ربيب وربيبة ورابة | ر ح م:B002@1,3:الرَّحِم والقرابة | ع و ن:B007@5:عانة الرجل | ه د ي:B011@6:إهداء الشعر ومهاداته	د ي ن:B007@4:التصديق والتفويض | ر ح م:B004@1,3:وجع الرَّحِم بعد الولادة | ق و م:B011@6:قامة وقوام الجسم والطول	P1985	P1985[د ي ن:B007→ع و ن:B007 ; ر ب ب:B005→ع و ن:B007 ; ر ح م:B002→ر ب ب:B005 ; ع و ن:B007→ه د ي:B011] | P2935[ع و ن:B007→ق و م:B011 ; ر ب ب:B005→ع و ن:B007 ; ر ح م:B002→ر ب ب:B005] | P3041[ع و ن:B007→ه د ي:B011 ; ر ب ب:B005→ع و ن:B007 ; ر ح م:B004→ر ب ب:B005]
9	PF0009	0.5344	cohesion / material / greenery / boulder	10	1,2,3,4,5,6,7	ر ب ب ر ح م س م و ص ر ط ع ب د ع ل م ع و ن غ ض ب ق و م م ل ك ن ع م ه د ي	ر ب ب:B012@2:ربة نبات | س م و:B004@1:السماء وما علا فأظل | غ ض ب:B004@7:صلابة الصخرة وتماسكها | م ل ك:B001@4:قوة الشيء وتماسكه | ن ع م:B009@7:النعامى ريح لينة	ر ح م:B002@1,3:الرَّحِم والقرابة | ر ح م:B003@1,3:رَحِم الأنثى | ع ب د:B007@5:القوة والصلابة | ع ب د:B008@5:الأنفة والغضب | ع ب د:B012@5:صَلاءة الطيب | ع و ن:B004@5:النخلة العَوانة القديمة | ق و م:B003@6:عزم ونهوض إلى الأمر	P1726	P1726[س م و:B004→ر ب ب:B012 ; ر ب ب:B012→غ ض ب:B004 ; م ل ك:B001→غ ض ب:B004 ; م ل ك:B001→ع ب د:B007 ; ر ح م:B002→ر ب ب:B012] | P0625[ر ب ب:B012→غ ض ب:B004 ; م ل ك:B001→غ ض ب:B004 ; س م و:B004→ر ب ب:B012 ; ع ب د:B012→غ ض ب:B004 ; ع ب د:B012→ع و ن:B004 ; ع و ن:B004→ص ر ط:B003 ; ص ر ط:B003→ق و م:B018 ; ر ب ب:B012→ن ع م:B009 ; ر ح م:B002→ر ب ب:B012] | P1859[ر ب ب:B012→غ ض ب:B004 ; م ل ك:B001→غ ض ب:B004 ; ر ب ب:B012→ن ع م:B006 ; ر ح م:B003→ن ع م:B006 ; ع ل م:B006→ن ع م:B006] | P1117[ر ب ب:B012→ن ع م:B009 ; ر ب ب:B012→غ ض ب:B004 ; م ل ك:B001→غ ض ب:B004 ; س م و:B004→ر ب ب:B012 ; م ل ك:B001→ع ب د:B007 ; ع ب د:B007→ق و م:B003 ; ع و ن:B001→ق و م:B003]
10	PF0010	0.5266	law_governance/justice_judgment / disease / indemnity / restitution	30	1,2,3,4,5,6,7	ء ل ه ح م د د ي ن ر ب ب ر ح م س م و ض ل ل ع ب د ع ل م ع و ن غ ض ب غ ي ر ق و م م ل ك ن ع م ه د ي ي و م	د ي ن:B002@4:الحساب والجزاء | ر ح م:B004@1,3:وجع الرَّحِم بعد الولادة | غ ي ر:B002@7:الغَيْر في الدية | ق و م:B020@6:قوام في قوائم الشاة | ه د ي:B007@6:هدي الحرمة والأسير | ي و م:B002@4:مدة من الزمان	ر ب ب:B009@2:شاة رُبّى وحداثة | ر ب ب:B011@2:ربابة عهد وميثاق | ع ب د:B001@5:الرق والملك | ع ب د:B007@5:القوة والصلابة | م ل ك:B002@4:المِلْك والتصرف | م ل ك:B008@4:المتقدم القائد في الحيوان | ه د ي:B003@6:المتقدم الهادي وأوائل الشيء	P0488	P0488[ر ب ب:B011→ه د ي:B007 ; ه د ي:B007→غ ي ر:B002 ; ق و م:B020→غ ي ر:B002 ; ر ح م:B004→ق و م:B020 ; د ي ن:B002→غ ي ر:B002 ; ر ب ب:B011→ع ب د:B001 ; ي و م:B002→د ي ن:B002 ; م ل ك:B003→ع ب د:B001] | P0034[ر ح م:B004→ق و م:B020 ; ه د ي:B003→ق و م:B020 ; م ل ك:B008→ه د ي:B003 ; ر ب ب:B017→م ل ك:B008 ; ر ب ب:B017→ع ب د:B012 ; ع ب د:B012→ع و ن:B004 ; ق و م:B020→غ ي ر:B002 ; د ي ن:B002→غ ي ر:B002 ; ي و م:B002→د ي ن:B002] | P0164[ي و م:B002→د ي ن:B002 ; د ي ن:B002→غ ي ر:B002 ; ق و م:B020→غ ي ر:B002 ; ر ح م:B004→ق و م:B020 ; ر ح م:B004→ر ب ب:B009 ; ه د ي:B007→غ ي ر:B002 ; ر ح م:B004→ع و ن:B005 ; ع ب د:B007→ع و ن:B005 ; ع ب د:B007→غ ض ب:B007] | P0178[ي و م:B002→د ي ن:B002 ; د ي ن:B002→غ ي ر:B002 ; ق و م:B020→غ ي ر:B002 ; ر ح م:B004→ق و م:B020 ; ع و ن:B006→ق و م:B020 ; ر ب ب:B014→ع و ن:B006 ; ه د ي:B007→غ ي ر:B002 ; ر ب ب:B014→ض ل ل:B005 ; ن ع م:B005→ض ل ل:B005]
