source_token_id	ayah_ref	source_token_index	surface_ar	word_ids	qac_word_refs	binding_status
t-s066-a000-w001	66:0	1	بِسْمِ	w-s066-a000-w001	1:1:1	one_to_one
t-s066-a000-w002	66:0	2	ٱللَّهِ	w-s066-a000-w002	1:1:2	one_to_one
t-s066-a000-w003	66:0	3	ٱلرَّحْمَٰنِ	w-s066-a000-w003	1:1:3	one_to_one
t-s066-a000-w004	66:0	4	ٱلرَّحِيمِ	w-s066-a000-w004	1:1:4	one_to_one
t-s066-a001-w001	66:1	1	يَٰٓأَيُّهَا	w-s066-a001-w001	66:1:1	one_to_one
t-s066-a001-w002	66:1	2	ٱلنَّبِىُّ	w-s066-a001-w002	66:1:2	one_to_one
t-s066-a001-w003	66:1	3	لِمَ	w-s066-a001-w003	66:1:3	one_to_one
t-s066-a001-w004	66:1	4	تُحَرِّمُ	w-s066-a001-w004	66:1:4	one_to_one
t-s066-a001-w005	66:1	5	مَآ	w-s066-a001-w005	66:1:5	one_to_one
t-s066-a001-w006	66:1	6	أَحَلَّ	w-s066-a001-w006	66:1:6	one_to_one
t-s066-a001-w007	66:1	7	ٱللَّهُ	w-s066-a001-w007	66:1:7	one_to_one
t-s066-a001-w008	66:1	8	لَكَ	w-s066-a001-w008	66:1:8	one_to_one
t-s066-a001-w009	66:1	9	تَبْتَغِى	w-s066-a001-w009	66:1:9	one_to_one
t-s066-a001-w010	66:1	10	مَرْضَاتَ	w-s066-a001-w010	66:1:10	one_to_one
t-s066-a001-w011	66:1	11	أَزْوَٰجِكَ	w-s066-a001-w011	66:1:11	one_to_one
t-s066-a001-w012	66:1	12	وَٱللَّهُ	w-s066-a001-w012	66:1:12	one_to_one
t-s066-a001-w013	66:1	13	غَفُورٌۭ	w-s066-a001-w013	66:1:13	one_to_one
t-s066-a001-w014	66:1	14	رَّحِيمٌۭ	w-s066-a001-w014	66:1:14	one_to_one
t-s066-a002-w001	66:2	1	قَدْ	w-s066-a002-w001	66:2:1	one_to_one
t-s066-a002-w002	66:2	2	فَرَضَ	w-s066-a002-w002	66:2:2	one_to_one
t-s066-a002-w003	66:2	3	ٱللَّهُ	w-s066-a002-w003	66:2:3	one_to_one
t-s066-a002-w004	66:2	4	لَكُمْ	w-s066-a002-w004	66:2:4	one_to_one
t-s066-a002-w005	66:2	5	تَحِلَّةَ	w-s066-a002-w005	66:2:5	one_to_one
t-s066-a002-w006	66:2	6	أَيْمَٰنِكُمْ	w-s066-a002-w006	66:2:6	one_to_one
t-s066-a002-w007	66:2	7	وَٱللَّهُ	w-s066-a002-w007	66:2:7	one_to_one
t-s066-a002-w008	66:2	8	مَوْلَىٰكُمْ	w-s066-a002-w008	66:2:8	one_to_one
t-s066-a002-w009	66:2	9	وَهُوَ	w-s066-a002-w009	66:2:9	one_to_one
t-s066-a002-w010	66:2	10	ٱلْعَلِيمُ	w-s066-a002-w010	66:2:10	one_to_one
t-s066-a002-w011	66:2	11	ٱلْحَكِيمُ	w-s066-a002-w011	66:2:11	one_to_one
t-s066-a003-w001	66:3	1	وَإِذْ	w-s066-a003-w001	66:3:1	one_to_one
t-s066-a003-w002	66:3	2	أَسَرَّ	w-s066-a003-w002	66:3:2	one_to_one
t-s066-a003-w003	66:3	3	ٱلنَّبِىُّ	w-s066-a003-w003	66:3:3	one_to_one
t-s066-a003-w004	66:3	4	إِلَىٰ	w-s066-a003-w004	66:3:4	one_to_one
t-s066-a003-w005	66:3	5	بَعْضِ	w-s066-a003-w005	66:3:5	one_to_one
t-s066-a003-w006	66:3	6	أَزْوَٰجِهِۦ	w-s066-a003-w006	66:3:6	one_to_one
t-s066-a003-w007	66:3	7	حَدِيثًۭا	w-s066-a003-w007	66:3:7	one_to_one
t-s066-a003-w008	66:3	8	فَلَمَّا	w-s066-a003-w008	66:3:8	one_to_one
t-s066-a003-w009	66:3	9	نَبَّأَتْ	w-s066-a003-w009	66:3:9	one_to_one
t-s066-a003-w010	66:3	10	بِهِۦ	w-s066-a003-w010	66:3:10	one_to_one
t-s066-a003-w011	66:3	11	وَأَظْهَرَهُ	w-s066-a003-w011	66:3:11	one_to_one
t-s066-a003-w012	66:3	12	ٱللَّهُ	w-s066-a003-w012	66:3:12	one_to_one
t-s066-a003-w013	66:3	13	عَلَيْهِ	w-s066-a003-w013	66:3:13	one_to_one
t-s066-a003-w014	66:3	14	عَرَّفَ	w-s066-a003-w014	66:3:14	one_to_one
t-s066-a003-w015	66:3	15	بَعْضَهُۥ	w-s066-a003-w015	66:3:15	one_to_one
t-s066-a003-w016	66:3	16	وَأَعْرَضَ	w-s066-a003-w016	66:3:16	one_to_one
t-s066-a003-w017	66:3	17	عَنۢ	w-s066-a003-w017	66:3:17	one_to_one
t-s066-a003-w018	66:3	18	بَعْضٍۢ	w-s066-a003-w018	66:3:18	one_to_one
